"Answer with the same title in this poll","同じタイトルの回答がすでに投票にあります。"
"Poll with the same question","同じ回答の投票があります"
"Invalid Answer","不正な回答"
"Actions","アクション"
"Delete","削除"
"Are you sure you want to delete it?","削除しても構わないですか？"
"Assigned Answers","割り当て済みの回答"
"Save Answer","回答の保存"
"Answer Title","回答タイトル"
"Answer Title:","回答タイトル:"
"Answer was successfully saved","回答を保存しました"
"Delete Answer","回答を削除"
"Unable to find answer to delete.","回答を削除できません。"
"Add Answer","回答を追加"
"Add New Answer","回答を追加"
"Number of Responses","回答数"
"Status","状態"
"Edit Answer '%s'","答え'%s'を編集"
"Date Closed","終了日"
"Date Posted","登録日"
"Visible In","表示"
"Closed","閉じる"
"Open","開く"
"ID","ID"
"Community Poll","投票"
"Polls","投票"
"Vote","投票"
"Edit Poll '%s'","投票'%s'編集"
"Save Poll","投票の保存"
"Poll Answers","投票の回答"
"Edit Poll Answer","投票の回答を編集"
"Poll Question","投票の質問"
"Poll not exists","投票はありません"
"Delete Poll","投票を削除"
"Poll Manager","投票管理"
"Poll Information","投票情報"
"Poll Information","投票情報"
"Poll information","投票情報"
"Poll information","投票情報"
"Votes Count","投票数"
"Votes Count:","投票数:"
"New Poll","新しい投票"
"Add New Poll","新しい投票を追加"
