"Please try again later","しばらくしてから再度おためしください"
"You will no longer receive stock alerts for this product","この商品について在庫情報を受け取りません"
"Click here not to receive alerts for this product","この商品について通知しない場合はここをクリックしてください"
"You will no longer receive price alerts for this product","この商品からの価格通知を受け取りません"
"Unsubscribe from all price alerts","すべての価格通知を購読解除"
"Price:","価格:"
"Sign up for price alert","価格通知するにはサインアップ"
"Price alert Email Template","価格通知Emailテンプレート"
"Unsubscribe from all stock alerts","在庫通知を登録解除"
"Stock alert Email Template","在庫通知Emailテンプレート"
"You will no longer receive stock alerts","在庫情報をうけとりません"
"Not enough parameters","パラメータ不足"
"Special price:","スペシャルプライス:"
"Allow alert when product price changes","商品の価格が変更されると通知する"
"Sign up to get notified when this product is back in stock","商品が在庫になった場合に通知を受け取るためにサインアップ"
"Allow alert when product comes back in stock","商品が在庫ありに戻ったばあいに通知する"
"Product not found","商品が見つかりませんでした"
"Product price alert","商品価格通知"
"Product stock alert","商品在庫通知"
"Product Alerts","商品通知"
"Product Alerts Run Settings","商品通知実行設定"
"Product alerts Cron error","商品通知Cronエラー"
"Error Email Recipient","Email受信者エラー"
"Error Email Template","Emailテンプレートエラー"
"Error Email Sender","Email送信者エラー"
"Alert Email Sender","Email送信者通知"
"Frequency","頻度"
"Start Time","開始時間"
"Alert subscription was saved successfully","通知行動を正常に保存しました"
"Alert subscription was deleted successfully","通知購読は正常に削除されました。"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:"
