"Tags submited by %s","%sによって送信されたタグ"
"Tags submitted to %s","%sへ送信されたタグ"
"Wishlists","ほしい物リスト"
"Wishlist vs. Regular Order","ほしい物リスト vs. 通常の注文"
"Add to Wishlist","ほしい物リストに追加"
"Number of wishlists: %s","ほしい物リストの数: %s"
"Number of items bought from a wishlist: %s","ほしい物リストから購入された商品数: %s"
"Bought from wishlists","ほしい物リストから購入済み"
"Wishlist Report","ほしい物リストレポート"
"Number of wishlist conversions: %s","ほしい物リストコンバージョンの数: %s"
"Customers that have wishlist: %s%","ほしい物リストを持つ顧客: %s%"
"Revenue","収入"
"Orders","受注"
"Quantity Ordered","受注数"
"Number of wishlist referrals: %s","参照されたほしい物リストの数: %s"
"First Name","名"
"Name","名前"
"Total","合計"
"Total Tags","合計タグ数"
"Number Of Historical Uses","多く使われているもの"
"Last Name","姓"
"Subtotal","小計"
"Average rating","平均格付け"
"Year","年"
"Popularity","人気"
"Number Of Uses","使用数"
"Created at","作成元"
"Price","価格"
"Low stock","在庫僅か"
"Out of stock","在庫切れ"
"Stock Qty","在庫数"
"Popular Tags","ポピュラーなタグ"
"Number of Unique Tags","ユニークタグ数"
"Reports","レポート"
"Review","レビュー"
"Reviews","レビュー"
"Number Of Reviews","レビュー数"
"Number Of Reviews","レビュー数"
"Number of Reviews","レビュー数"
"Number of Reviews","レビュー数"
"Hits","ヒット"
"Discounts","ディスカウント"
"Bestsellers","ベストセラー"
"Quantity of Items","アイテムの個数"
"Online Refunded","オンラインの払い戻し"
"Offline Refunded","オフラインの払い戻し"
"Items in Cart","カーとの中の商品"
"Carts","カート"
"Add to Cart","カートに入れる"
"Products in carts","カート内の商品"
"Coupons","クーポン"
"Applied Coupon","クーポンを適用"
"Guest","ゲスト様"
"Shopping Cart","ショッピングカート"
"Sales","セールス"
"Title","タイトル"
"Tag","タグ"
"Tag ""%s"" details","タグ""%s""の詳細"
"Tag use","タグで使用"
"Number of Total Tags","タグの合計数"
"Tag Name","タグ名"
"Tag Detail","タグ詳細"
"Shipping","出荷中"
"Products","商品"
"Products Tags","商品のタグ"
"Number of Items","商品の数"
"Product Name","商品名"
"Poducts Report","商品レポート"
"Products Report","商品レポート"
"Product Reviews","商品レビュー"
"Products Reviews","商品レビュー"
"Product Tags","商品タグ"
"Number of times wishlists have been shared (emailed): %s","共有された(emailされた)ほしい物リストの数: %s"
"Number of times deleted","削除数"
"CSV","CSVファイル"
"Customers by number of orders","Customers by number of orders"
"Customers by orders total","Customers by orders total"
"Tax","税"
"Tax Rate","税率"
"Tax Amount","税金"
"Results","結果"
"Number Fulfilled","番号化されたもの"
"Email","Eメール"
"Excel","Excel"
"Carrier/Method","荷台/メソッド"
"Customer","顧客"
"Customers","顧客"
"Customers Report","顧客のレポート"
"Customers Reviews","顧客のレビュー"
"Customer Tags","顧客のタグ"
"Customers Tags","顧客のタグ"
"Customer Name","顧客名"
"Visible In","表示先"
"Number of Views","表示回数"
"Detail","詳細"
"Total invoiced","請求額合計"
"Invoiced","請求済み"
"Sales Report","販売実績"
"Number Purchased","購入数"
"Number Added","追加された数"
"Number Viewed","閲覧数"
"Total Shipping","配送料合計"
"Submitted In","送信元"
"ID","ID"
"Product Sku","Product Sku"
"Show for Current","Show for Current"
"Submitted On","Submitted On"
"Total invoiced captured","Total invoiced captured"
"Total invoiced not captured","Total invoiced not captured"
"Search Terms","検索用語"
"Add to Compare","比較対象に入れる"
"Items Ordered","注文済商品"
"Number of Orders","注文数"
"Month","月"
"Most Viewed","最も見られた"
"Most viewed","最も見られた"
"Recently Viewed Products","最近チェックした商品"
"Recently Viewed/Compared Products","最近表示された/比較された商品"
"Your Recently Viewed","最近見たもの"
"Your Recently Compared","最近比較したもの"
"Recently Compared Products","最近比較された商品"
"Last Review","最新のレビュー"
"New Accounts","新しいアカウント"
"Number of New Accounts","新しいアカウントの数"
"Day","日"
"Abandoned carts","放棄されたカート"
"Total Refunded","払い戻し合計"
"Total refunded","払い戻し合計"
"Refunded","払い戻し済み"
"Updated at","更新日"
