"Details for %s #%s","%s #%sの詳細"
"%s - Discounts and Coupons","%s - ディスカウントとクーポン"
"%s - Special Discounts","%s - スペシャルディスカウント"
"Products tagged with %s","%sでタグ付けされた商品"
"%s's Wishlist","%sのほしい物リスト"
"%s has reached a quantity of %s.","%sは%sの個数に達しました"
"There are no %s.","%sはありません。"
"Purchased From: %s","%sから購入済み"
"New Products from %s","%sより新しい商品"
"Wishlist","ほしい物リスト"
"Cannot retrieve the wishlist","ほしい物リストを取得できませんでした"
"Grand Total","合計"
"Total: %s<br/>","合計: %s<br/>"
"Subtotal","小計"
"Message:","メッセージ:"
"Review: %s <br/>","レビュー: %s<br/>"
"Summary of review: %s <br/>","レビューの概要: %s <br/>"
"click <a href=""%s"">here</a> to view the review","レビューを表示するには<a href=""%s"">ここをクリック</a>してください"
"Discount ","ディスカウント"
"Get Feed","フィードを取得"
"Top Level Category","カテゴリの最上位"
"Catalog","カタログ"
"Gift Message","ギフトメッセージ"
"Coupons/Discounts","クーポン/ディスカウント"
"Comment: %s<br/>","コメント: %s<br/>"
"Special/Discount Products","スペシャル/ディスカウント品"
"Special Products","スペシャル品"
"Store: %s <br/>","ストアー: %s<br/>"
"Tags Products","タグ商品"
"Product: ""%s"" review By: %s","商品: ""%s"" %sによるレビュー"
"Product: <a href=""%s"">%s</a> <br/>","商品: <a href=""%s"">%s</a> <br/>"
"Current Status: %s<br/>","現在の状態: %s<br/>"
"Tax","税"
"To:","終了:"
"Customer Name: %s","顧客名: %s"
"Customer Order Status Notification","顧客注文状態通知"
"Pendng product review(s)","認証待ち商品レビュー"
"From:","開始:"
"Shipping & Handling","配送処理"
"Notified Date: %s<br/>","通知日: %s<br/>"
"RSS Feeds","RSSフィード"
"Enable RSS","RSSを有効化"
"Rss Config","RSS設定"
"Error in processing xml. %s","xml処理中にエラーが発生しました。%s"
"Low Stock Products","残りわずかな商品"
"Order # %s Notification(s)","注文 # %s通知"
"Order #%s created at %s","注文 #%s は%sに作成されました"
"New Products","新しい商品"
"New Orders","新しい注文"
