"""%s"" coupon code is not valid.","""%s""クープンコードは正しくありません。"
"separate by "",""",""",""によって分割"
"The item %s (SKU %s) doesn't exist in the catalog anymore","%s(SKU %s)の商品はカタログに存在しません"
"Create New Order for %s in %s","%sの受注を%sで新規作成する"
"Create New Order for %s","%sの受注を新規作成する"
"Create New Order for New Customer in %s","%sの新規顧客の受注を新規作成する"
"<span style=""color:red"">Warning: when catalog prices include tax, should be set to ""No""</span>","<span style=""color:red"">カタログ価格が税込みの場合は""いいえ""にセットしてください</span>"
"<span style=""color:red"">Requires Tax Based On Shipping Origin</span>","<span style=""color:red"">Requires Tax Based On Shipping Origin</span>"
"Add a gift message for the <strong>entire order</strong>","<strong>全体の注文に</strong>ギフトメッセージを追加"
"Adjustment Refund","Adjustment Refund"
"Adjustment Refund:","Adjustment Refund:"
"Allow Reorder","Allow Reorder"
"Append Comments","Append Comments"
"Apply Tax after Discount","Apply Tax after Discount"
"Ship to First Name","お届け先名"
"Ship to First name","お届け先名"
"Ship to Last name","お届け先姓"
" The customer doesn't exist in the system anymore","その顧客はシステムに存在しません"
"Wishlist","ほしい物リスト"
"To Name","あて先"
"Track this shipment","この配送を追跡"
"About This Order:","この注文について:"
"Gift Message for this Order","この注文のギフトメッセージ"
"This order no longer exists.","この注文は存在しません。"
"Are you sure? This order will be cancelled and a new one will be created instead","この注文はキャンセルされ、新しいものが代わりに作られますがよろしいですか？"
"My Orders","ご注文"
"My Orders - Details","ご注文 - 詳細"
"Add To Order","ご注文にくわえる"
"Back to My Orders","ご注文に戻る"
"Are you sure you want to cancel this order?","ご注文をキャンセルしてもよろしいですか？"
"About Your Order","ご注文概要"
"Track all shipment(s)","すべての配送を追跡"
"Track all shipments","すべての配送を追跡"
"Print All","すべて印刷"
"Print","印刷"
"SKU","単位"
"Sku","単位"
"Apply","反映"
"Order","受注"
"Orders","受注"
"Edit Order #%s","受注の編集 No.%s"
"You have placed no orders.","受注はありません"
"Order History","受注履歴"
"Order Comment","受注コメント"
"Order Status","受注ステータス"
"View Order","受注を見る"
"Order Details","受注詳細"
"Order View","受注詳細"
"Track Order","受注追跡"
"Order Currency:","受注通貨:"
"Submit Order","受注送信"
"Ordered","受注済"
"Information","受注情報"
"Order Information","受注情報"
"Create New Order","受注新規作成"
"Order Date","受注日"
"Order Date: %s","受注日: %s"
"Qty Ordered","受注数"
"First Name","名"
"Grand Total","合計"
"Order Total","合計"
"Order Totals","合計"
"Total Due","合計"
"Total(ex)","合計(税別)"
"Total(inc)","合計(税込み)"
"Total Qty","合計量"
"G.T. (Base)","合計（基本）"
"G.T. (Purchased)","合計（請求）"
"Update Changes","変更"
"Last Name","姓"
"Order Subtotal","小計"
"Subtotal","小計"
"Unknown Status","不明なステータス"
"Unknown State","不明な状態"
"Please select a store","店舗を選択してください"
"Address","住所"
"Add New Address","住所追加"
"Created At","作成元"
"Price","価格"
"Pending","ペンディング"
"Checkout totals sort order","チェックアウトの合計ソート順序"
"Backordered","バックオーダー中"
"Newsletter Subscription","メールマガジン購読"
"Subscribe to Newsletter","メールマガジン購読"
"Email","メールアドレス"
"Message","メッセージ"
"Message:","メッセージ:"
"Tracking Number(s)","トラッキング番号"
"Add Tracking Number","トラッキング番号を追加"
"Tracking number can not be empty.","トラッキング番号欄が空です"
"Hold","ホールド"
"Unhold","アンホールド"
"Account Information","アカウント情報"
"Action","アクション"
"Actions","アクション"
"Website","ウェブサイト"
"Add to Cart","カートに入れる"
"Cancel","キャンセル"
"Canceled","キャンセル済"
"Gift","ギフト"
"Gift Message","ギフトメッセージ"
"Add a gift message for <strong>each gift item</strong>","ギフトメッセージを<strong>それぞれのギフト商品に</strong>追加する"
"Gift Certificate","ギフト券"
"Click to change shipping method","クリックして配送方法を変更"
"Credit Memo","クレジットメモ"
"Credit Memos","クレジットメモ"
"Creditmemo","クレジットメモ"
"Submit Credit Memo","クレジットメモ送信"
"Coupons","クーポン"
"Remove Coupon Code","クーポンコードの削除"
"Apply Coupon Code","クーポンコードを適用する"
"Guest","ゲスト様"
"Comment","コメント"
"Submit Comment","コメント送信"
"Shopping Cart","ショッピングカート"
"Store Credit","ストアクレジット"
"Sales","セールス"
"Sales Emails","セールスメール"
"Title","タイトル"
"Are you sure?","よろしいですか？"
"Reorder","再注文"
"Ship","出荷"
"Shipping","出荷中"
"Ship to","出荷先"
"Shipped","出荷済"
"Items Shipped","出荷済商品"
"Qty Shipped","出荷数"
"Item","商品"
"Product","商品"
"Products","商品"
"No items","商品なし"
"Product Name","商品名"
"Add Product","商品を追加"
"Item qty declare error","商品個数の定義エラー"
"Print All Invoices","全ての請求書を印刷する"
"View All","全て見る"
"Gift Message for Entire Order","全注文のギフトメッセージ"
"Delete","削除"
"Remove","削除"
"Link to the previous order","前の注文にリンクする"
"Discount Amount","割引額"
"Country","国"
"Discount","値引き"
"Discount ","値引き"
"QTY","個数"
"Qty","個数"
"Update Qty's","個数を更新"
"Can nod add order history.","Can nod add order history."
"Can not add new comment.","Can not add new comment."
"Can not add tracking number.","Can not add tracking number."
"Can not create block ""%s""","Can not create block ""%s"""
"Can not delete tracking number.","Can not delete tracking number."
"Can not do credit memo for order","Can not do credit memo for order"
"Can not do invoice for order","Can not do invoice for order"
"Can not do shipment for order.","Can not do shipment for order."
"Can not initialize shipment for adding tracking number.","Can not initialize shipment for adding tracking number."
"Can not initialize shipment for delete tracking number.","Can not initialize shipment for delete tracking number."
"Can not load track with retrieving identifier.","Can not load track with retrieving identifier."
"Can not register existing creditmemo","Can not register existing creditmemo"
"Can not register existing invoice","Can not register existing invoice"
"Can not register existing shipment","Can not register existing shipment"
"Can not retrieve tracking number detail.","Can not retrieve tracking number detail."
"Can not save creditmemo","Can not save creditmemo"
"Can not save invoice","Can not save invoice"
"Can not save shipment.","Can not save shipment."
"Can not send shipment information.","Can not send shipment information."
"Can not update item qty","Can not update item qty"
"Can't get order instance","Can't get order instance"
"Capture","Capture"
"Capture Amount","Capture Amount"
"Carrier","Carrier"
"Catalog prices include tax","Catalog prices include tax"
"Change Status","Change Status"
"Closed","Closed"
"Comment Text","Comment Text"
"Comment text field can not be empty.","Comment text field can not be empty."
"Comments History","Comments History"
"Complete","Complete"
"Create","Create"
"Create Shipment","Create Shipment"
"Credit Memo #","Credit Memo #"
"Credit Memo # ","Credit Memo # "
"Credit Memo Comment Email Sender","Credit Memo Comment Email Sender"
"Credit Memo Comment Email Template","Credit Memo Comment Email Template"
"Credit Memo Comments","Credit Memo Comments"
"Credit Memo email not sent","Credit Memo email not sent"
"Credit Memo Email Sender","Credit Memo Email Sender"
"Credit Memo email sent","Credit Memo email sent"
"Credit Memo Email Template","Credit Memo Email Template"
"Credit Memo total must be positive.","Credit Memo total must be positive."
"Creditmemo cancel error.","Creditmemo cancel error."
"Creditmemo void error","Creditmemo void error"
"Creditmemo was successfully canceled.","Creditmemo was successfully canceled."
"Creditmemo was successfully created","Creditmemo was successfully created"
"Creditmemo was successfully voided","Creditmemo was successfully voided"
"Creditmemos","Creditmemos"
"Status","状態"
"Custom Value","Custom Value"
"Tax","税"
"Tax Calculation","税計算"
"Tax Amount","税金"
"Grand Total:","総計："
"Edit","編集"
"State/Province","県"
"To","終了"
"To:","終了:"
"Sorry, no quotes are available for this order at this time.","申し訳ありません、現在品切れです。"
"Void","無効"
"Signed Up From","登録元"
"Select from existing customer addresses:","登録済の顧客と住所から選択:"
"Date Shipped","Date Shipped"
"Discount (%s)","Discount (%s)"
"Discount :","Discount :"
"Document","Document"
"Email Copy of Credit Memo","Email Copy of Credit Memo"
"Email Copy of Invoice","Email Copy of Invoice"
"Email Copy of Shipment","Email Copy of Shipment"
"Email Order Confirmation","Email Order Confirmation"
"Add Selected Product(s) to Order","選択した商品をご注文に追加する"
"There are no printable documents related to selected orders","選択した注文に関連した印刷可能な書類はありません"
"Some items have quantities exceeding allowed quantities. Please select a lower quantity to checkout.","選択された商品のいくつかは限定量を超えています。限定量以下でお願いします"
"Track your order","荷物をトラッキングする"
"Notify Customer","顧客に通知"
"Customer Name","顧客名"
"Customer Group","顧客グループ"
"Please select a customer","顧客を選択してください"
"View","表示"
"Row Total","行合計"
"Adjustment Fee","調整料"
"Adjustment Fee:","調整料:"
"Bill to Name","請求先"
