"Edit Rule '%s'","'%s'のルールを編集"
"To Percentage of the original price","原価と比べた割合(%)"
"Yes","はい"
"This rule no longer exists","このルールは存在していません"
"Apply the rule only if the following conditions are met (leave blank for all products)","このルールを以下の条件に合った場合のみ適用する（すべての商品に適用するには空白のまま）"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","このルールを以下の条件に合ったカート商品にのみ適用する(すべての商品に適用するには空白のまま）"
"Apply the rule to cart items matching the following conditions","このルールを以下の条件に合ったカート商品に適用する"
"Stop further rules processing","これ以上のルールの適用をとめる"
"No","いいえ"
"Apply","反映"
"Name: %s","名前: %s"
"Total Items Quantity","合計商品数"
"Total Weight","合計重量"
"Fixed amount discount","定額割引"
"Subtotal","小計"
"For matching items only","一致する商品のみ"
"For shipment with matching items","一致する商品の出荷"
"Update prices using the following information","以下の情報を使って価格を更新する"
"Save Rule","保存"
"The page you are trying to save no longer exists","保存対象のページは存在していません"
"Checkout Price Rule","チェックアウト価格ルール"
"Delete Rule","ルールの削除"
"Edit Rule","ルールの編集"
"Rule Name","ルール名"
"Rule was successfully saved","ルールを保存しました"
"Rule was successfully deleted","ルールを削除しました"
"Rule Information","ルール情報"
"Promotions","プロモーション"
"Actions","アクション"
"Price in cart","カートの中の価格"
"Quantity in cart","カートの中の個数"
"Row total in cart","カートの中の行数"
"Cart Attribute","カート属性"
"Fixed amount discount for whole cart","カート内の全商品の定額割引"
"Catalog","カタログ"
"Uses per coupon","クーポンごと"
"Coupon Code","クーポンコード"
"Coupon Code","クーポンコード"
"Coupon code","クーポンコード"
"Coupon code","クーポンコード"
"Shopping Cart Price Rules","ショッピングカート価格ルール"
"Priority","優先度"
"Product attribute combination","商品属性の組み合わせ"
"Percent of product price discount","商品価格値引率"
"Update the Product","商品を更新"
"Update product's %s %s: %s","商品を更新 %s %s: %s"
"By Percentage of the original price","元の料金からのパーセンテージ"
"Unable to find a page to delete","削除対象のページが見つかりません"
"To Percentage","割合"
"By Fixed value","固定値"
"By Percentage","固定率"
"By Fixed Amount","固定量"
"To Fixed Amount","固定量"
"Maximum Qty Discount is Applied to","値引きを許可する最大個数"
"Discount amount","値引き量"
"Status","状態"
"General Information","総合情報"
"Date Expire","終了日"
"Expire at: %s","終了日: %s"
"Inactive","無効"
"Special price","特別価格"
"Discount Qty Step (Buy X)","Discount Qty Step (Buy X)"
"Uses per customer","顧客ごと"
"Customer Groups","顧客グループ"
"Customer registered: %s","顧客登録日: %s"
"Shipping Country","輸送国"
"Date Start","開始日"
"From Date","開始日"
"Start at: %s","開始日: %s"
"To Fixed Value","金額"
"Shipping Region","配送地域"
"Shipping State/Province","配送県"
"Shipping Postcode","配送郵便コード"
"Shipping Method","配送方法"
"Free shipping","送料無料"
"ID","ID"
"Public In RSS Feed","RSSフィードで公開"
"Buy X get Y free (discount amount is Y)","X個購入するとY個は無料(Yが無料分)"
"Conditions","条件"
"Conditions Combination","条件の組み合わせ"
"Conditions Combination","条件の組み合わせ"
"Conditions combination","条件の組み合わせ"
"Conditions combination","条件の組み合わせ"
"Description","概要"
"Description: %s","概要: %s"
"Apply to","次に適用"
"NOT LOGGED IN","未ログイン"
"Active","有効"
"New Rule","新規ルール"
"Add New Rule","新規ルール追加"
"Customer is new buyer: %s","新規顧客: %s"
"To Date","日付で"
"Payment Method","支払方法"
