"Max Products Sent in 1 Hour","1時間あたりの最大送信量"
"You cannot email this product to a friend","この商品を友達に紹介できません"
"Some emails was not sent","いくつかのemailが送信されませんでした"
"Recipient:","受信者:"
"Email to a Friend","友達にメールする"
"Send product to a friend","友達に商品を送る"
"Link to a friend was sent.","友達へリンクを送信しました"
"Name","名前"
"Name:","名前:"
"You cannot send more than %d times in an hour","一時間に%d回以上送信できません"
"Remove Email","メールの削除"
"Email templates","メールテンプレート"
"Select email template","メールテンプレート選択"
"Email Address","メールアドレス"
"Email Address:","メールアドレス:"
"Send email","メール送信"
"Message:","メッセージ:"
"Some problems with data.","データにいくつかの問題があります"
"Allow for Guests","ゲストに許可する"
"Email:","Eメール:"
"Limit Sending By","送信制限"
"Sender:","送信者:"
"Enabled","有効"
"Maximum %d email addresses allowed.","最大%d件のメールアドレスを許可する"
"Max Recipients","最大受信者数"
"Add Recipient","新規受け取り先の追加"
