"Daily","1日ごと"
"Hourly","1時間ごと"
"Never","まだ"
"This sitemap no longer exists","このサイトマップはもう存在していません"
"Always","常に"
"Yearly","年ごと"
"Path","パス"
"Filename","ファイル名"
"Categories Options","カテゴリーオプション"
"Store View","ストアビュー"
"Sitemap","サイトマップ"
"Sitemap generate Warnings","サイトマップは警告を作成しました"
"Sitemap was successfully saved","サイトマップは正常に保存されました"
"Sitemap was successfully deleted","サイトマップは正常に削除されました"
"Edit Sitemap","サイトマップ編集"
"Add Sitemap","サイトマップ追加"
"Priority","優先度"
"Priority must be between 0 and 1","優先度は0と1の間で設定してください"
"Products Options","商品オプション"
"Unable to find a sitemap to delete","削除対象のサイトマップが見つかりません"
"CMS Pages Options","CMSページオプション"
"Generation Settings","生成設定"
"Error Email Recipient","Email受信者エラー"
"Error Email Template","Emailテンプレートエラー"
"Error Email Sender","Email送信者エラー"
"Frequency","頻度"
"Start Time","開始時間"
"Weekly","週ごと"
"Link for Google","Googleへリンク"
"Google Sitemap","Googleサイトマップ"
"Google Sitemaps","Googleサイトマップ"
"Manage Google Sitemaps","Googleサイトマップを管理"
"ID","ID"
"Monthly","月ごと"
"Enabled","有効"
"Last Time Generated","最終生成時"
"New Sitemap","新しいサイトマップ"
