"You cannot delete this tax class as it is used for %d products.","%d商品へ使われているこの税区分を削除できません。"
"You cannot delete this tax class as it is used for %d customer groups.","%d顧客グループで使用されているこの税区分を削除できません。"
"-- Please Select --","-- 選択して下さい --"
"This class no longer exists","この区分はもう存在しません"
"Error while deleting this class. Please try again later.","この区分を削除中にエラーが発生しました。しばらくしてから再度試してみて下さい。"
"Error while saving this tax class. Class with the same name ","この税区分を保存中にエラーが発生しました。区分が同じ名前です。"
"Error while saving this tax rule. This product tax class and customer tax class combination","この税ルールを保存中にエラーが発生しました。この商品の税区分と顧客の税区分の組み合わせです。"
"Error while deleting this rate. Incorrect rate ID","この税率を削除中にエラーが発生しました。正しくない税率IDです"
"One of row has invalid country code.","いくつかの行が正しい国コードではありません。"
"Are you sure you want to do this?","実行してもいいですか？"
"Incorrect rate Data","不正なレートデータです"
"Invalid file upload attempt","不正なファイルがアップロードされました"
"Invalid file format upload attempt","不正なファイルフォーマットがアップロードされました。"
"Edit Class '%s'","区分'%s'を編集"
"Save Class","区分の保存"
"Delete Class","区分の削除"
"Class Name","区分名"
"Edit Class","区分を編集"
"Reset","リセット"
"Save Rule","ルールの保存"
"Delete Rule","ルールの削除"
"Edit Rule","ルールの編集"
"This rule no longer exists","ルールはありません。"
"Save Rate","レートの保存"
"Error while saving this rate. Please try again later.","レートの保存中にエラーが発生しました。 やり直してください。"
"Delete Rate","レートの削除"
"Error while deleting this rate. Please try again later.","レートの削除中にエラーが発生しました。 やり直してください。"
"Sales","セールス"
"Manage Product Tax Classes","商品の税区分を管理"
"Product Tax Class","商品税区分"
"Product Tax Classes","商品税区分"
"Product Tax Class Information","商品税区分情報"
"Country","国"
"Please select Country","国を選択してください"
"CSV","CSVファイル"
"Tax","税"
"Error while saving this tax class. Please try again later.","税区分の保存中にエラーが発生しました。 やり直してください。"
"Invalid data for tax rate calculation","税区分の計算の情報が正しくありません"
"Tax class was successfully saved","税区分を保存しました"
"Tax class was successfully deleted","税区分を削除しました"
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","税ルールで使用されている税区分を削除できません。まず使用されているルールを削除してください。"
"Excl. Tax","税別"
"Tax Rate","税率"
"Tax Rates","税率"
"Import Tax Rates","税率のインポート"
"Import / Export Tax Rates","税率のインポート / エクスポート"
"Tax Rates Import / Export","税率のインポート / エクスポート"
"Export Tax Rates","税率のエクスポート"
"Edit Tax Rate","税率の編集"
"Tax rate was successfully imported","税率は正常にインポートされました"
"Tax rate was successfully saved","税率を保存しました"
"Tax rate was successfully deleted","税率を削除しました"
"Manage Tax Rates","税率管理"
"Tax Rate Information","税率情報"
"Tax Rule Information","税率情報"
"Error while saving this tax rule. Please try again later.","税算出区分の保存中にエラーが発生しました。 やり直してください。"
"Error while deleting this tax rule. Please try again later.","税算出区分の削除中にエラーが発生しました。 やり直してください。"
"Inc. Tax","税込み"
"Incl. Tax","税込み"
"State","県"
"State/Region","県"
"Please select State","県を選択してください"
"Manage Customer Tax Classes","顧客の税区分を管理"
"Customer Tax Class","顧客課税区分"
"Customer Tax Classes","顧客課税区分"
"Customer Tax Class Information","顧客課税区分情報"
"Tax Rules","課税方法"
"Tax rule was successfully saved","課税方法を保存しました"
"Tax rule was successfully deleted","課税方法を削除しました"
"Manage Tax Rules","課税方法管理"
"County","郡"
"Please select County","郡を選択してください。"
"Zip/Post Code","郵便番号"
"ID","ID"
"XML","XML"
"Back","戻る"
"New Class","新しい区分"
"New Rule","新しいルール"
"Add New Class","新規区分の追加"
"New Tax Rate","新規税率"
"Add New Tax Rate","新規税率の追加"
"Add New Tax Rule","新規税算出の追加"
