"Invalid DHL XML code for type %s: %s","%sタイプに対して不正なDHL XMLコードです: %s"
"Invalid FedEx XML code for type %s: %s","%sタイプに対して不正なFeedExコードです: %s"
"Invalid UPS CGI code for type %s: %s","%sタイプに対して不正なUPS CGIコードです: %s"
"Invalid USPS XML code for type %s: %s","%sタイプに対して不正なUSPS XMLコードです: %s"
"2 Day Freight","2営業日配達"
"Second Day Service","2営業日配達"
"2Day","2日配達"
"3 Day Freight","3営業日配達"
"Yes","はい"
"No","いいえ"
"All Services","すべてのサービス"
"Weight Unit","単位(重量)"
"Dropoff","収荷場所"
"Drop Box","収荷ボックス"
"Allowed methods","可能な方法"
"Pickup method","受け取り方法"
"Receiver","受取人"
"Sort order","受注のソート"
"Large","大きい"
"Variable","変数"
"Flat","定額"
"Flat Rate Envelope","定額封筒"
"Flat Rate Box","定額ボックス"
"Package","小包"
"Parcel","小包"
"Package Description","小包説明"
"Invalid DHL XML code type: %s","不正なDHL XMLコードタイプです: %s"
"Invalid FedEx XML code type: %s","不正なFeedExのXMLコードタイプです: %s"
"Invalid UPS CGI code type: %s","不正なUPS CGIコードタイプです: %s"
"Invalid USPS XML code type: %s","不正なUSPS XMLコードタイプです: %s"
"Request Courier","希望配送業者"
"Show method if not applicable","当てはまらない場合に違う方法を表示"
"Unknown error","例外エラー"
"Express Saturday","土曜配達エクスプレス便"
"Packaging","包装"
"Your Packaging","包装"
"Media Mail","メディアメール"
"User ID","ユーザーID"
"UserId","ユーザーID"
"Europe First Priority","ヨーロッパ速達"
"Library","ライブラリ"
"Unable to retrieve tracking","トラッキングを読み込みできません"
"Tracking XML URL","トラッキングXML URL"
"Password","パスワード"
"Business Service Center","ビジネスサービスセンター"
"Account number","アカウント番号"
"Account ID","アカウントID"
"Access license number","アクセスライセンス番号"
"Access ID","アクセスID"
"Error #%s : %s (%s)","エラー #%s : %s (%s)"
"Error #%s: %s","エラー #%s: %s"
"Displayed Error Message","エラーメッセージ表示"
"Express","エクスプレス便"
"Express 10:30 AM","エクスプレス便10:30"
"Express Saver","エコノミーエクスプレス便"
"Gateway URL","ゲートウェイURL"
"Gateway XML URL","ゲートウェイXML URL"
"Station","ステーション"
"Title","タイトル"
"Third Party","サードパティ"
"Size","サイズ"
"Priority Mail","優先メール"
"United Parcel Service","共通郵便サービス"
"United Parcel Service XML","共通郵便サービスXML"
"Response is in the wrong format","回答のフォーマットが間違っています"
"International Priority","国際優先便"
"International Economy","国際船便"
"International First","国際速達"
"Intl Priority Freight","国際速達航空便"
"Bound Printed Matter","Bound Printed Matter"
"Empty response","空の返信"
"Next Afternoon","翌日午後"
"Priority Overnight","翌日午前配達"
"1 Day Freight","翌日配達"
"First Overnight","翌日早朝配達"
"Minimum order amount for free shipping","無料配送の最低額"
"Free method","無料方法"
"Ship to Specific countries","特定の国に発送"
"Sender","発送人"
"Origin of the shipment","発送元"
"DHL","DHL"
"International Express","EMS国際スピード郵便"
"There is no available method for selected shipping address.","選択された住所へはご利用可能な発送方法がありません"
"Please enter the package weight","荷物の重さを入力してください"
"Non-rectangular","非長方形の"
"Oversize","規格外"
"Parcel Post","郵便小包"
"Intl Economy Freight","船便"
"Shipment Duty Payment Type","関税の支払いタイプ"
"Home Delivery","自宅配達"
"Rectangular","長方形"
" was not delivered nor scanned","配達されなかったか配送データを収集出来ませんでした"
"Destination type","配達先のタイプ"
"Delivered","配達済み"
"Cannot retrieve shipping rates","配達料金を参照出来ません"
"Shipment Dutiable","配送の課税可否"
"Shipment is not available.","配送は利用できません"
"Shipment picked up","配送収集済"
"Shipping key","配送キー"
"Shipping key (International)","配送キー(国際便)"
"Shipment type","配送タイプ"
"Express Mail","速達便"
"Free shipping with minimum order amount","送料無料となる最小の額"
"FedEx 10kg Box","FedEx 10kgボックス"
"FedEx 25kg Box","FedEx 25kgボックス"
"FedEx Tube","FedEx チューブ"
"FedEx Box","FedEx ボックス"
"FedEx Pak","FedEx パック"
"FedEx Envelope","FedEx エンベロップ"
"FedEx","FeedEx"
"Ground","Ground"
"Machinable","Machinable"
"UPS","UPS"
"UPS type","UPSタイプ"
"USPS","USPS"
"Container","梱包"
"Handling Applied","梱包料がかかります"
"Standard Overnight","標準の翌日配達"
"Regular Pickup","標準収集サービス"
"Order","注文"
"Ship to applicable countries","指定された国へ配送"
"Enabled","有効"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","最大荷物重量(配送業者の最大の荷物重量をお調べください)"
"Letter","手紙"
"Handling fee","手数料"
"Calculate Handling Fee","手数料を計算"
"First-Class","普通郵便"
"Regular","普通配達"
