"Actions","Ações"
"An error occurred while marking notification as read.","Ocorreu um erro ao marcar a notificação como lida."
"An error occurred while marking the messages as read.","Ocorreu um erro ao marcar as mensagens como lidas."
"An error occurred while removing messages.","Ocorreu um erro ao remover as mensagens."
"An error occurred while removing the message.","Ocorreu um erro ao remover a mensagem."
"Are you sure?","Tem a certeza?"
"critical","Crítico"
"Date Added","Data Adição"
"Error while marking as read. Please try again later.","Erro enquanto as mensagens eram marcadas como lidas. Por favor tente novamente mais tarde."
"Error while marking. Please try again later.","Erro ao marcar mensagens. Por favor tente novamente mais tarde."
"Error while removing. Please try again later.","Erro ao remover. Por favor tente novamente mais tarde."
"Last update","Última atualização"
"major","IMPORTANTE"
"Mark as Read","Marcar como lida"
"Message","Mensagem"
"Message was successfully marked as read","A mensagem foi corretamente marcada como lida"
"Message was successfully removed","A mensagem foi corretamente removida"
"Messages Inbox","Caixa de Entrada"
"minor","MENOR"
"notice","INFORMAÇÃO"
"Notifications","Notificações"
"Please select messages","Por favor selecione mensagens"
"Please select messages.","Por favor selecione as mensagens"
"Read Details","Ler detalhes"
"Remove","Remove"
"Severity","Importância"
"Show List","Mostrar Lista"
"Show Toolbar","Mostrar Barra de Ferramentas"
"The message has been marked as read.","A mensagem foi marcada como lida."
"The message has been removed.","A mensagem foi removida."
"Total of %d record(s) have been marked as read.","Um total de %d registos foram marcados como lidos."
"Total of %d record(s) have been removed.","Um total de %d registos foram removidos."
"Total of %d record(s) were successfully marked as read","%d mensagem(ns) foram corretamente marcadas como lidas"
"Total of %d record(s) were successfully removed","%d mensagem(ns) foram corretamente removidas"
"Unable to proceed. Please, try again","Erro ao executar a ação. Por favor tente novamente mais tarde."
"Unable to proceed. Please, try again.","Incapaz de completar ação. Por favor tente novamente."
"Update frequency","Frequência de atualização"
"Use HTTPS to get feed","Utilizar HTTPS para obter o Feed"
