" and ","e"
" note that the URLs provided below are the correct values for your current website): ","de notar que as URL's abaixo são as corretas para o seu site atual:"
" The customer does not exist in the system anymore.","O cliente já não existe no sistema"
" The customer doesn't exist in the system anymore","O Cliente já não existe no sistema"
" [deleted]","[removido]"
"%s (Default Template from Locale)","%s (Model por Omissão Regional)"
"%s cache type(s) disabled.","Tipo(s) de cache inativo(s) %s"
"%s cache type(s) enabled.","Tipo(s) de cache ativo(s) %s"
"%s cache type(s) refreshed.","Tipo(s) de cache atualizado(s) %s"
"(Absolute path or Relative to Magento install root, ex. var/export)","(Caminho absoluto ou relativo para o diretório principal do Magento, ex. var/export)"
"(For Type "Local Server" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(Para o Tipo "Servidor Local" necessita de utilizar caminhos relativos ao Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)"
"(For US 2-letter state names)","(Para os EUA 2 letras para o nome do Estado)"
"(If left empty will be auto-generated)","(Se deixado em branco será auto-gerado)"
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","(Inclui mais países que os listados abaixo. Como responsável pela aplicação, é responsável por cumprir os procedimentos legais relacionados com vendas nos países, incluindo o seu)"
"(Leave empty for first spreadsheet)","(Deixe em branco para a primeira folha de cálculo)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Os produtos serão adicionados/atualizados a esta loja se a coluna 'loja' estiver em branco ou não existir no ficheiro a importar.)"
"(Shift-)Click or drag to change value","(Shift-)Clique ou arraste para alterar o valor"
"(Starting with)","(Iniciando com)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Quando 'Não', apenas os campos mapeados serão importados. Quando mapeado, use 'column1','column2',etc'"
"(You have to increase php memory_limit before changing this value)","(Necessita de aumentar o memory_limit do PHP antes de alterar este valor )"
"(t for tab)","(t para tabulação)"
"(\t for tab)","(t para tabulação)"
"* - If indexing is in progress, it will be killed and new indexing process will start","* - Se a indexação estiver a decorrer, será terminada e um novo processo de indexação será iniciado"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - Se a indexação estiver em execução, será parada e uma nova indexação será iniciada."
"- Click on any of the time parts to increase it","- Clique sobre algumas das partes do tempo para aumentá-lo"
"- Hold mouse button on any of the above buttons for faster selection.","- Mantenha qualquer um dos botões do rato premido para uma seleção mais rápida"
"- or click and drag for faster selection.","- ou clique e arraste para uma seleção mais rápida"
"- or Shift-click to decrease it","- ou Shift-clique para diminuí-lo"
"- Use the %s buttons to select month","- Utilize os botões %s para selecionar o mês"
"- Use the %s, %s buttons to select year","- Utilize o botões %s, %s para selecionar o ano"
"-- Not Selected --","-- Não Selecionado --"
"-- Please Select --","-- Por Favor Selecione --"
"-- Please select a category --","-- Por favor selecione uma categoria--"
"-- Please Select Billing Agreement--","-- Por Favor Selecione um Acordo de Faturação --"
"--Please Select--","--Por favor selecione--"
"1 Hour","1 Hora"
"10:40 AM","10:40 AM"
"12 Hours","12 Horas"
"12h AM/PM","12h AM/PM"
"2 Hours","2 Horas"
"24 Hours","24 Horas"
"24h","24h"
"2YTD","2 Anos até à data"
"6 Hours","6 Horas"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"<h1 class="page-heading">404 Error</h1><p>Page not found.</p>","<h1 class="page-heading">404 Error</h1><p>Página Não Encontrada.</p>"
"<h1 class="page-heading">Access denied</h1><p>Access denied.</p>","<h1 class="page-heading">Acesso negado</h1><p>Acesso Negado</p>"
"A new password was sent to your email address. Please check your email and click Back to Login.","Uma nova palavra-passe foi enviada para o seu email. Por favor verifique o seu email e clique Voltar para Iniciar Sessão"
"A user with the same user name or email aleady exists.","Já existe um utilizador com o mesmo email ou nome de utilizador."
"Abandoned Carts","Carrinhos Abandonados"
"About the calendar","Acerca do Calendário"
"Access Denied","Acesso Negado"
"Access Denied.","Acesso negado."
"Access Deny","Acesso negado"
"Account Created in:","Conta criada em:"
"Account Created on (%s):","Conta criada em (%s)"
"Account Created on:","Conta criada a:"
"Account Information","Informação da conta"
"Account status","Estado da conta"
"Account successfully saved","Conta corretamente guardada"
"Action","Ação"
"Actions","Ações"
"Actions XML","Ações XML"
"Activate","Ativar"
"Active","Ativo"
"Add","Adicionar"
"Add after","Adicionar após"
"Add Author","Adicionar Autor"
"Add Contents Path","Adicionar Caminho Conteúdo"
"Add Exception","Adicionar Excepção"
