" and ","e"
" note that the URLs provided below are the correct values for your current website): ","de notar que as URL's abaixo são as corretas para o seu site atual:"
"(Absolute path or Relative to Magento install root, ex. var/export)","(Caminho absoluto ou relativo para o diretório principal do Magento, ex. var/export)"
"(For Type "Local Server" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(Para o Tipo "Servidor Local" necessita de utilizar caminhos relativos ao Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)"
"(For US 2-letter state names)","(Para os EUA 2 letras para o nome do Estado)"
"(If left empty will be auto-generated)","(Se deixado em branco será auto-gerado)"
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","(Inclui mais países que os listados abaixo. Como responsável pela aplicação, é responsável por cumprir os procedimentos legais relacionados com vendas nos países, incluindo o seu)"
"(Leave empty for first spreadsheet)","(Deixe em branco para a primeira folha de cálculo)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Os produtos serão adicionados/atualizados a esta loja se a coluna 'loja' estiver em branco ou não existir no ficheiro a importar.)"
"(Shift-)Click or drag to change value","(Shift-)Clique ou arraste para alterar o valor"
"(Starting with)","(Iniciando com)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Quando 'Não', apenas os campos mapeados serão importados. Quando mapeado, use 'column1','column2',etc'"
"(You have to increase php memory_limit before changing this value)","(Necessita de aumentar o memory_limit do PHP antes de alterar este valor )"
"(t for tab)","(t para tabulação)"
"(\t for tab)","(t para tabulação)"
"- Click on any of the time parts to increase it","- Clique sobre algumas das partes do tempo para aumentá-lo"
"- Hold mouse button on any of the above buttons for faster selection.","- Mantenha qualquer um dos botões do rato premido para uma seleção mais rápida"
"- or click and drag for faster selection.","- ou clique e arraste para uma seleção mais rápida"
"- or Shift-click to decrease it","- ou Shift-clique para diminuí-lo"
"- Use the %s buttons to select month","- Utilize os botões %s para selecionar o mês"
"- Use the %s, %s buttons to select year","- Utilize o botões %s, %s para selecionar o ano"
"-- Please Select Billing Agreement--","-- Por Favor Selecione um Acordo de Faturação --"
"10:40 AM","10:40 AM"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"About the calendar","Acerca do Calendário"
"Access Denied.","Acesso negado."
"Account Created in:","Conta criada em:"
"Account Created on (%s):","Conta criada em (%s)"
"Account Created on:","Conta criada a:"
"Action","Ação"
"Actions","Ações"
"Activate","Ativar"
"Add","Adicionar"
"Add Author","Adicionar Autor"
"Add Contents Path","Adicionar Caminho Conteúdo"
"Add Field with URL:","Adicionar campo com URL:"
"Add Maintainer","Adicionar Técnico de Manutenção"
"Add More Templates","Adicionar Mais Modelos"
"Add New Role","Adicionar novo acesso"
"Add new store view map","Adicionar novo mapa de visão da loja"
"Add New Template","Adicionar novo Template"
"Add New User","Adicionar utilizadores"
"Add new website map","Adicionar novo Mapa de Site"
"Add Package dependency","Adicionar Dependência Pacote"
"Add PHP Extension dependency","Adicionar Dependência Extensão PHP"
"Add Subpackage dependency","Adicionar dependência de Subpacote"
"Add to Cart","Adicionar ao Carrinho"
"Add to Wishlist","Adicionar à Lista de Presentes"
"Address Type:","Tipo de Endereço"
"AirMail Template Preview","Pré-visualização de templates AirMail"
"All","Todos"
"All fields","Todos os campos"
"All locations","Todas as localizações"
"All Websites","Todos os Sites"
"API:","API:"
"Apply Theme","Aplicar Tema"
"Archive file name:","Nome de ficheiro do arquivo:"
