"* Required Fields","* Campos obrigatórios"
"-- Select --","-- Selecionar --"
"--Select--","--Selecione--"
"Add New Option","Adicionar Nova Opção"
"Add Selection","Adicionar Seleção"
"As low as","A partir de"
"Bundle Items","Pacote de Produtos"
"Bundle Product","Pacote de Produtos"
"Buy %1$s with %2$s discount each","Compre %1$s com %2$s de desconto em cada"
"Catalog Product View (Bundle)","Catálogo Produto Visualizar (Pacote)"
"Checkbox","Caixa de seleção"
"Choose a selection...","Selecione as suas escolhas"
"Close","Fechar"
"Default","Por Omissão"
"Default Qty","Qt. por omissão"
"Default Title","Título Omissão"
"Drop-down","Menu de seleção"
"Dynamic","Dinâmico"
"Excl. Tax","Excl. Imp."
"Fixed","Fixo"
"From","De"
"From:","De:"
"Gift Message","Mensagem de Presente"
"Incl. Tax","Incl. Imp."
"Input Type","Tipo de Entrada"
"Is Required","É obrigatório"
"Message:","Mensagem:"
"Multiple Select","Selecão Múltipla"
"N/A","N/D"
"No options of this product are available.","Não existem opções disponíveis para este produto"
"None","Nenhum"
"Percent","Percentagem"
"Percent Discount","Desconto Percentagem"
"Please enter search conditions to view products.","Por favor insira condições de pesquisa para visualizar produtos."
"Please select options for product.","Por favor selecione as opções para o produto."
"Please select products to add","Selecione os produtos a adicionar"
"Please specify product option(s)","Por favor especifique as opções do produto"
"Please specify product option(s).","Por favor, especifique as opções do(s) produto(s)."
"Position","Posição"
"Price as configured","Preço como definido"
"Price Range","Variação Preço"
"Price Type","Tipo Preço"
"Qty:","Qtd:"
"Radio Buttons","Botões de seleção"
"Required options are not selected.","As opções exigidas não foram selecionadas."
"Required options not selected.","Opções obrigatórias não selecionadas"
"Selected required options are not available.","As opções obrigatórias selecionadas não estão disponíveis."
"Selected required options not available.","Opções requeridas selecionadas não disponíveis"
"Separately","Separadamente"
"Ship Bundle Items","Enviar pacote de itens"
"Shipment","Envio"
"Store View Title","Título da Vista de Loja"
"There is no defined renderer for "%s" option type","Não existe renderer especificado para a opção do tipo "%s""
"There is no defined renderer for "%s" option type.","Não existe um render definido para o tipo de opção "%s""
"This product is also part of bundle(s)","Este produto também faz parte de um pacote(s)"
"To","Até"
"To:","Para:"
"Together","Juntos"
"Use Default Value","Utilizar Valor por Omissão"
"User Defined Qty","Qtd definida pelo utilizador"
