"# of Use","# Usado"
"%1$s incl tax.","%1$s incl. imposto."
"%s - %s","%s - %s"
"%s Item(s)","&s Item(ns)"
"(%d)","(%d)"
"(Copy data from: %s)","(Copiar dados de: %s)"
"(Will make search for the query above return results for this search.)","(Irá fazer com que uma pesquisa dos termos acima, retorne os resultados desta pesquisa )"
"* Required Fields","* Campos obrigatórios"
"-- Please Select --","-- Por Favor Selecione --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 por omissão. Para atualização instantanea, limpe o cache de saída dos Blocos HTML."
"<strong style="color:red">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style="color:red">Atenção!</strong>Aplicar MAP por omissão vai ocultar todos os preços de produtos na loja online."
"A group with the same name already exists.","Já existe um grupo com o mesmo nome."
"A name is required","Um nome é necessário"
"A product type is not defined for the indexer.","Um tipo de produto não está definido para o indexante."
"Action","Ação"
"Actual Price","Preço Atual"
"Add Attribute","Adicionar Atributo"
"Add Design Change","Adicionar alteração ao Desenho"
"Add Group","Adicionar Grupo"
"Add Items to Cart","Adicionar itens ao Carrinho"
"Add New","Adicionar novo"
"Add New Attribute","Adicionar novo atributo"
"Add New Attribute Set","Adicionar novo grupo de atributos"
"Add New Group","Adicionar novo grupo"
"Add New Images","Adicionar Novas Imagens"
"Add New Option","Adicionar Nova Opção"
"Add New Row","Adicionar Novo Registo"
"Add New Search Term","Adicionar Termo de Pesquisa"
"Add New Set","Adicionar novo grupo"
"Add Option","Adicionar opção"
"Add Product","Adicionar Produto"
"Add Product To Websites","Adicionar Produto a Sites"
"Add Root Category","Adicionar Categoria Mãe"
"Add Subcategory","Adicionar subcategoria"
"Add Tax","Adicionar Imposto"
"Add Tier","Adicionar desconto quantidade"
"Add to Cart","Adicionar ao Carrinho"
"Add to Compare","Adicionar para comparar"
"Add to My Wishlist","Adicionar à minha Lista de Presentes"
"Add to Wishlist","Adicionar à Lista de Presentes"
"Additional Information","Informação Adicional"
"Alert Urls","Urls de Notificação"
"All","Todos"
"ALL GROUPS","TODOS OS GRUPOS"
"All Product Types","Todos os Tipos de Produtos"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Todos os produtos deste grupo serão removidos! Tem a certeza que deseja remover este grupo de atributos?"
"All Websites","Todos os Sites"
"Allow All Products per Page","Permitir Todos os Produtos Numa Página"
"Allow Dynamic Media URLs in Products and Categories","Permitir URL's Dinâmicos para Média nos Produtos e Categorias"
"Allow HTML Tags on Frontend","Permitir Tags HTML no Frontend"
"Allow HTML-tags on Front-end","Permitir tags HTML no frontend"
"Allowed File Extensions","Extensões de ficheiros permitidas"
"Allowed file extensions to upload","Extensões de ficheiros permitidas para Carregamento"
"AM","AM"
"Amount","Quantidade"
"An error occurred while adding customers for the %s alert. Message: %s","Ocorreu um erro ao adicionar clientes ao alerta %s. Mensagem: %s"
"An error occurred while adding products to websites.","Ocorreu um erro ao adicionar produtos a sites."
"An error occurred while clearing comparison list.","Ocorreu um erro ao limpar a lista de comparação."
"An error occurred while removing products from websites.","Ocorreu um erro ao remover produtos de sites."
"An error occurred while saving the attribute set.","Ocorreu um erro ao guardar o grupo de atributos."
"An error occurred while saving the collection, aborting. Error message: %s","Ocorreu um erro ao guardar a coleção, cancelando. Mensagem de erro: %s"
"An error occurred while saving the product. ","Ocorreu um erro ao guardar o produto"
"An error occurred while saving the search query.","Ocorreu um erro ao guardar a pesquisa."
"An error occurred while saving the URL rewrite","Ocorreu um erro ao guardar a rescrita de URL"
"An error occurred while saving the URL rewrite.","Ocorreu um erro ao guardar a rescrita de URL"
"An error occurred while saving this group.","Ocorreu um erro ao guardar o grupo."
"An error occurred while trying to delete the category.","Ocorreu um erro ao tentar remover a categoria."
"An error occurred while updating the product(s) attributes.","Ocorreu um erro ao tentar atualizar os atributos do(s) produto(s)"
"An error occurred while updating the product(s) status.","Ocorreu um erro ao atualizar o estado do(s) produto(s)."
"An invalid group ID is specified, skipping the record.","Id de grup inválido, a ignorar registo."
"An invalid option ID is specified for %s (%s), skipping the record.","Foi especificada um valor de opção inválida para %s (%s), ignorando o registo."
"An invalid store was specified.","Foi especifica uma loja inválida"
