"%d Catalog Price Rules based on "%s" attribute have been disabled.","%s Regras de Preço no Catálogo baseadas no atributo "%s" foram desativadas."
"Actions","Ações"
"Active","Ativo"
"Add New Rule","Adicionar Nova Regra"
"An error occurred while deleting the rule. Please review the log and try again.","Ocorreu um erro ao remover a regra. Por favor analise o ficheiro de registo e tente novamente."
"An error occurred while saving the rule data. Please review the log and try again.","Ocorreu um erro ao guardar a regra. Por favor analise o ficheiro de registo e tente novamente."
"Apply Rules","Aplicar Regras"
"Attribute Set","Grupo de Atributos"
"Catalog","Catálogo"
"Catalog Price Rule","Regras de preço no catálogo"
"Catalog Price Rules","Regras de Preços no Catálogo"
"Catalog Price Rules based on deleted attribute "%s" has been disabled.","Regra de Preços do Catálogo baseada no atributo "%s" foi desativada."
"Category","Categoria"
"Comments History","Histórico de Comentários"
"Conditions","Condições"
"Conditions (leave blank for all products)","Condições (deixe em branco para todos os produtos)"
"Conditions Combination","Condições de Combinação"
"Credit Memos","Notas de Crédito"
"Customer Groups","Grupos de Clientes"
"Customer is a New Buyer: %s","O Cliente é um Novo Comprador: %s"
"Customer is new buyer: %s","Cliente é um novo comprador: %s"
"Customer registered: %s","Cliente registado em: %s"
"Date Expire","Data Validade"
"Date From","Data início"
"Date Start","Data início"
"Date To","Data Fim"
"Delete Rule","Remover Regra"
"Description","Descrição"
"Description: %s","Descrição: %s"
"Edit Rule","Editar Regra"
"Edit Rule '%s'","Editar Regra '%s'"
"Expire at: %s","Expira em: %s"
"From Date","Data início"
"General Information","Informação Geral"
"Gift Messages","Mensagens de Presente"
"ID","ID"
"Inactive","Inativo"
"Invoices","Faturas"
"Name: %s","Nome: %s"
"New Rule","Nova regra"
"No","Não"
"NOT LOGGED IN","Não está ligado"
"Options","Opções"
"Order Credit Memos","Notas de Crédito da Encomenda"
"Order Gift Messages","Mensagens de Presente Encomenda"
"Order History","Histórico de encomendas"
"Order Invoices","Faturas Encomenda"
"Order Shipments","Envios Encomenda"
"Priority","Prioridade"
"Product Attribute","Atributo do Produto"
"Promotions","Promoções"
"Rule Information","Informação da Regra"
"Rule Name","Nome da Regra"
"Rule was successfully deleted","Regra corretamente removida"
"Rule was successfully saved","A Regra foi corretamente guardada"
"Rules were successfully applied","As regras foram corretamente aplicadas"
"Save and Apply","Guardar e Aplicar"
"Save and Continue Edit","Guardar e Continuar Edição"
"Save Rule","Guardar Regra"
"Shipments","Envios"
"Start at: %s","Iniciar em: %s"
"Status","Estado"
"Stop further rules processing","Parar processamento de regras"
"The page you are trying to save no longer exists","A página que está a tentar guardar não existe"
"The rule has been deleted.","A regra foi removida"
"The rule has been saved.","A regra foi guardada"
"The rules have been applied.","As regras foram aplicadas."
"There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog.","Existem regras que foram alteras mas não aplicadas. Por favor clique Aplicar Regras" para ver reflectidas as alterações de imediato no catálogo""
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Existem regras que foram alteradas mas ainda não aplicadas. Por favor clique em Aplicar Regras para que estas sejam aplicas de imediato no catálogo"
"This rule no longer exists","Esta regra já não existe"
"This rule no longer exists.","Esta regra já não existe."
"To Date","Data término"
"Unable to apply rules","Incapaz de aplicar regras"
"Unable to apply rules.","Incapaz de aplicar regras."
"Unable to find a page to delete","Não foi possível encontrar a página a remover"
"Unable to find a rule to delete.","Não foi possível encontrar a regra a remover"
"Update product's %s %s: %s","Atualizar produtos %s %s: %s"
"Websites","Sites"
"Wrong rule specified.","Regra inválida especificada"
"Yes","Sim"
