"3D Secure Card Validation","Validação Cartão 3D Secure"
"3D Secure Cardholder Validation","3D Secure Cardholder Validation"
"3D Secure CAVV","3D Secure CAVV"
"3D Secure Electronic Commerce Indicator","3D Secure Electronic Commerce Indicator"
"3D Secure Verification Result","3D Secure Verification Result"
"3D Secure XID","3D Secure XID"
"Card Issuer Liability","Card Issuer Liability"
"Card Verification","Card Verification"
"Enrolled","Enrolled"
"Enrolled but Authentication Unavailable","Enrolled but Authentication Unavailable"
"Failed","Falhado"
"MasterCard SecureCode","MasterCard SecureCode"
"Merchant Liability","Responsabilidade Comerciante"
"Not Enrolled","Not Enrolled"
"Order cannot be placed.","Não foi possível criar a encomenda."
"Payment information error. Please start over.","Payment information error. Please start over."
"Please continue with placing order.","Por favor, continue para registar encomenda."
"Please verify the card with the issuer bank before placing the order.","Please verify the card with the issuer bank before placing the order."
"Please verify the card with the issuer bank:","Please verify the card with the issuer bank:"
"Start/Reset Validation...","Iniciar/Reiniciar Validação..."
"Successful","Successful"
"Successful attempt","Successful attempt"
"The card has failed verification with the issuer bank.","O cartão falhou a validade junto da entidade emissora."
"There has been wrong payment information submitted or the time limit has expired. Please, try again.","There has been wrong payment information submitted or the time limit has expired. Please, try again."
"There has been wrong payment information submitted or time limit has expired. Please, try again.","A submetida informação de pagamento está incorreta ou expirou o tempo. Por favor tente novamente."
"This card has failed validation and cannot be used.","This card has failed validation and cannot be used."
"This card has failed validation, but it is possible to place the order.","This card has failed validation, but it is possible to place the order."
"To ensure the security of your transactions","To ensure the security of your transations"
"Unable to complete","Unable to complete"
"Validation failed.","Validation failed."
"Verification cannot be processed","Não foi possível processar a verificação"
"Verification Failed","Verificação Falhou"
"Verification Successful","Verificação efetuada com sucesso"
"Verified by Visa","Verified by Visa"
