"%s was added to your shopping cart.","%s foi adicionado ao seu carrinho de compras."
"%s was successfully added to your shopping cart.","%s Foi corretamente adicionado ao seu carrinho de compras"
"%s was updated in your shopping cart.","%s foi atualizado no seu carrinho de compras."
"&laquo; Back to Billing Information","&laquo; Voltar à Informação de Faturação"
"&laquo; Back to Select Addresses","&laquo; Voltar para selecionar Endereços"
"&laquo; Back to Shopping Cart","&laquo; Voltar ao Carrinho de Compras"
"* Required Fields","* Campos obrigatórios"
"Add coupon code for shopping cart","Adicionar cupão para carrinho de compras"
"Add gift messages to shopping cart","Adicionar mensagens de presente ao carrinho de compras"
"Add New Address","Adicionar Novo Endereço"
"Add New Condition","Adicionar Nova condição"
"Add product to shopping cart","Adicionar produto ao carrinho de compras"
"Add product(s) to shopping cart","Adicionar produto(s) ao carrinho de compras"
"Add to Cart","Adicionar ao Carrinho"
"Add to Compare","Adicionar para comparar"
"Add to Wishlist","Adicionar à Lista de Presentes"
"Additional Product Info","Informação Adicional Produto"
"Address","Endereço"
"Address %s of %s","Endereços %s de %s"
"After adding a product redirect to shopping cart","Depois de adicionar um produto redirecionar para o caminho de compras"
"Allow Guest Checkout","Permitir encomendas por parte de utilizadores convidados"
"Already registered?","Já está registado?"
"An error occurred in the process of payment","Ocorreu um erro no processo de pagamento"
"An error occurred while deleting this condition.","Ocorreu um erro ao apagar esta condição."
"An error occurred while saving this condition.","Ocorreu um erro ao gravar esta condição."
"Apply Coupon","Aplicar Cupão"
"Are you sure you would like to remove this item from the shopping cart?","Tem a certeza que deseja remover este item do seu carrinho de compras?"
"Back","Voltar"
"Back to Billing Information","Voltar para Informação de Faturação"
"Back to Select Addresses","Voltar para Seleção de Endereços"
"Back to Shipping Information","Voltar à Informação de Envio"
"Back to Shopping Cart","Voltar para o Carrinho de Compras"
"Based on your selection, you may be interested in the following items:","Baseado na sua seleção, também poderá estar interessado num destes produtos"
"Billing Address","Endereço de Faturação"
"Billing Information","Informações de Faturação"
"Billing Information - %s","Informação de Faturação - %s"
"Can not add item to shopping cart","Não foi possível adicionar ao carrinho de compras"
"Can not apply coupon code.","Não é possível aplicar o cupão"
"Can't open overview page","Não é possível abrir a página de informações"
"Cancel Coupon","Cancelar cupão"
"Cannot add item to the shopping cart.","Não foi possível adicionar o item ao carrinho de compras."
"Cannot add the item to shopping cart","Não foi possível adicionar o item ao carrinho de compras"
"Cannot add the item to shopping cart.","Não foi poissível adicionar o item ao carrinho de compras."
"Cannot apply the coupon code.","Não foi possível aplicar o cupão de desconto."
"Cannot configure product.","Não é possível configurar produto"
"Cannot open the overview page","Não foi possível abrir o sumário da página."
"Cannot process the item.","Não foi possível configurar item"
"Cannot remove item","Não é possível remover o Item"
"Cannot remove the item.","Não foi possível remover o item"
"Cannot update shopping cart","Não foi possível atualizar o seu carrinho"
"Cannot update shopping cart.","Não foi possível atualizar o carrinho de compras."
"Cannot update the item.","Não foi possível atualizar o item"
"Card Verification Number Visual Reference","Referência Visual Verificação Número Cartão Crédito"
"Cart Api","API Carrinho"
"Cart Product Api","API Produto Carrinho"
"Cart Subtotal:","Sub-total Carrinho"
"Change","Alterar"
"Change Billing Address","Alterar Endereço de faturação"
"Checkbox text","Texto caixa de seleção"
