"(eg: domain.com/identifier)","(ex. exemplo.com/identificador)"
"A block identifier with the same properties already exists in the selected store.","Um identificador de bloco com as mesmas propriedades já existe na loja selecionada."
"A directory with the same name already exists. Please try another folder name.","Já existe um diretório com o mesmo nome. Por favor tente com um nome diferente."
"A page URL key for specified store already exists.","Já existe uma página com a chave de URL especifica."
"Action","Ação"
"Add New Block","Adicionar novo bloco"
"Add New Page","Adicionar página"
"All countries","Todos os países"
"An error occurred while saving the page.","Ocorreu um erro ao guardar a página."
"Anchor Custom Text","Texto Personalizado da Âncora"
"Anchor Custom Title","Título Personalizado da Âncora"
"Are you sure you want to delete current folder?","Tem a certeza que desejar remover a pasta atual?"
"Are you sure you want to delete the selected file?","Tem a certeza que desejar remover o ficheiro atual?"
"Block","Bloco"
"Block Information","Informação do bloco"
"Block Title","Título do Bloco"
"Block was successfully deleted","Bloco removido corretamente"
"Block was successfully saved","O bloco foi corretamente guardado"
"Cannot create new directory.","Não foi possível criar um novo diretório."
"Cannot delete directory %s.","Não foi possível remover o diretório %s."
"Cannot delete root directory %s.","Não foi possível remover o diretório root %."
"Cannot upload file.","Não foi possível carregar o ficheiro."
"CMS","CMS"
"CMS Content Wrapper","Contentor Conteúdo CMS"
"CMS Home Page","Página Principal CMS"
"CMS No Cookies Page","CMS Página Sem Cookies"
"CMS No Route Page","CMS sem rota de página"
"CMS No-Route Page","CMS Sem Route"
"CMS Page","Página CMS"
"CMS Page Link","CMS Página Ligação"
"CMS Page Link Block Template","Página CMS Modelo de Ligação de Bloco"
"CMS Page Link Inline Template","Página CMS Ligação Modelo Local"
"CMS Pages (All)","Páginas CMS (Todas)"
"CMS Static Block","CMS Bloco Estático"
"CMS Static Block Default Template","CMS Bloco Estático Modelo por Omissão"
"Collapse All","Fechar tudo"
"Content","Conteúdo"
"Content Heading","Cabeçalho Conteúdo"
"Content Management","Gestão Conteúdo"
"Contents of a Static Block","Conteúdo de Bloco Estático"
"Create Folder...","Criar Página..."
"Custom Design","Desenho Personalizado"
"Custom Design From","Desenho Personalizado De"
"Custom Design To","Desenho Personalizado Até"
"Custom Layout","Layout Personalizado"
"Custom Layout Update XML","Atualização Personalizada ao XML do Layout"
"Custom Theme","Tema Personalizado"
"Custom Theme From","Tema Personalizado de"
"Custom Theme To","Tema Personalizado Para"
"Customer Tax Class Information","Informação da Classe de Imposto do Clientes"
"Date Created","Data criação"
"Delete Block","Remover Bloco"
"Delete File","Remover Ficheiro"
"Delete Folder","Remover Pasta"
"Delete Page","Remover Página"
"Description","Descrição"
"Design","Desenho"
"Disabled","Inativo"
"Disabled by Default","Inativo por Omissão"
"Disabled Completely","Desativar por Completo"
"Edit Block","Editar Bloco"
"Edit Block '%s'","Editar Bloco '%s'"
"Edit Page","Editar Página"
"Edit Page '%s'","Editar Página '%s'"
"Enable WYSIWYG Editor","Ativar Editor WYSIWYG"
"Enabled","Ativo"
"Enabled by Default","Ativar por Omissão"
"Expand All","Expandir tudo"
"General Information","Informação Geral"
"Go to Home Page","Ir para a Página Inicial"
"Home","Início"
"ID","ID"
"Identifier","Identificador"
"If empty, the Page Title will be used","Se em branco, o título da página será utilizado"
"Images (%s)","Imagens (%s)"
"Insert File","Inserir Ficheiro"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","Nome de pasta inválido. Por favor utilize apenas letras, números, sublinhado e hifenes."
"Keywords","Palavras-chave"
"Last Modified","Última modificação"
"Layout","Layout"
"Layout Update XML","Atualização Layout XML"
"Link to a CMS Page","Hiperligação a uma Página CMS"
"Manage Pages","Gestão de Páginas"
"Media Gallery","Galeria de mídia"
"Media Storage","Armazenamento de Média"
"Meta Data","Meta Data"
"Meta Description","Meta Description"
"Meta Keywords","Meta Palavras-chave"
"New Block","Novo Bloco"
"New Folder Name:","Nome da nova pasta:"
"New Page","Nova página"
"No files found","Não foram encontrados ficheiros"
"Page Identifier cannot consist only of numbers.","Identificador da página não pode ser apenas números"
"Page Identifier for specified store already exist.","Identificador de página para a Loja especificada já existe"
"Page Information","Informação da página"
"Page Layout","Layout da Página"
"Page Status","Estado da Página"
"Page Title","Título da Página"
"Page was successfully deleted","A Página foi corretamente removida"
"Page was successfully saved","A Página foi corretamente guardada"
"Pages","Páginas"
"Poll Manager","Gestão de Sondagens"
"Product Tax Class Information","Informação da classe de imposto do produto"
"px.","px."
"Redirect to CMS-page if Cookies are Disabled","Redirecionar para a página CMS se os cookies estiverem inativos"
"Relative to Website Base URL","Relativo à URL base do Site"
"Save Block","Guardar Bloco"
"Save Page","Guardar Página"
"Save Process","Guardar Processo"
"SEF URL Identifier","Identificador SEF da URL"
"Select Block...","Selecione o Bloco..."
"Select Page...","Selecione a Página..."
"Show breadcrumbs for CMS pages","Mostrar menu de localização para as páginas CMS"
"Show Notice if JavaScript is Disabled","Mostrar informação se JavaScript não estiver ativo."
"Static Blocks","Blocos Estáticos"
"Status","Estado"
"Storage Root","Caminho Mãe Armazenamento"
"Store View","Vista da Loja"
"Such a block identifier in selected store already exist.","Já existe um bloco com o mesmo identificador nesta Loja."
"Template","Template"
"The block has been deleted.","O bloco foi removido."
"The block has been saved.","O bloco foi guardado."
"The directory %s is not writable by server.","O Diretório %s não é passível de escrita pelo servidor."
"The page has been deleted.","A página foi removida."
"The page has been saved.","A página foi guardada."
"The page URL key cannot consist only of numbers.","A chave de URL não pode ser apenas números."
"The page URL key contains capital letters or disallowed symbols.","A chave de URL contém Letras Maiúsculas ou símbolos não permitidos."
"The page you are trying to save no longer exists","A página que está a tentar guardar não existe"
"This block no longer exists","Este bloco não existe"
"This block no longer exists.","A página já não existe."
"This page no longer exists","Esta página já não existe"
"This page no longer exists.","A página já não existe."
"Title","Título"
"Unable to find a block to delete","Incapaz de encontrar o bloco a remover"
"Unable to find a block to delete.","Não foi possível encontrar o bloco a remover"
"Unable to find a page to delete","Não foi possível encontrar a página a remover"
"Unable to find a page to delete.","Não foi possível encontrar a página a remover"
"URL Key","Chave URL"
"WYSIWYG Options","Opções WYSIWYG"
