"%s","%s"
"%s already exist","%s já existe"
"%s already exist.","%s já existe"
"%s already exists","%s já existe"
"%s already exists.","%s já existe"
"(Shift-)Click or drag to change value","(Shift-)Clique ou arraste para alterar o valor"
"- Click on any of the time parts to increase it","- Clique sobre algumas das partes do tempo para aumentá-lo"
"- Hold mouse button on any of the above buttons for faster selection.","- Mantenha qualquer um dos botões do rato premido para uma seleção mais rápida"
"- or click and drag for faster selection.","- ou clique e arraste para uma seleção mais rápida"
"- Use the %s buttons to select month","- Utilize os botões %s para selecionar o mês"
"- Use the %s, %s buttons to select year","- Utilize o botões %s, %s para selecionar o ano"
"-- Please Select --","-- Por Favor Selecione --"
"<strong style="color:red">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style="color:red">Atenção!</strong> Quando utiliza CDN, em alguns casos o JavaScript pode não funcionar corretamente se o CDN não estiver no seu sub-domínio"
"A category object is required for determining the product request path.","Um objeto de categoria é obrigatório para determinar o caminho pedido do produto."
"About the calendar","Acerca do Calendário"
"Add Block Names to Hints","Adicionar Nomes do Blocos às dicas"
"Add Secret Key to URLs","Adicionar chave secreta às URL's"
"Add Store Code to Urls","Adicionar Código Loja na URL"
"Admin","Admin"
"Admin Base URL","Url Base Admin"
"Admin User Emails","Emails dos utilizadores administrativos"
"Advanced","Avançado"
"After selecting a new media storage location, press the Synchronize button
                                to transfer all media to that location. Media will not be available in the new
                                location until the synchronization process is complete.","Depois de selecionar a nova localização para a média, pressione o butão de Sincronização para transferir toda a média para essa localização. Média não estará disponível na nova localização até que esteja totalmente transferida."
"Allow countries","Países Permitidos"
"Allow Symlinks","Permitir Links Simbólicos"
"Allowed file types: ICO, PNG, GIF, JPEG, APNG, SVG. Not all browsers support all these formats!","Tipos de ficheiros permitidos: ICO, PNG, GIF, JPEG, APNG, SVG. Nem todos os Navegadores suportam este tipo de Ficheiros"
"Allowed IPs (comma separated)","IP permitidos (separe-os por vírgula)"
"Allows customers to stay logged in when switching between different stores.","Permite aos clientes permanecerem com a sessão iniciada quando mudam de loja."
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Texto alternativo para a ligação seguinte no menu de paginação. Se deixado em branco, será utilizada a imagem com seta por omissão."
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Texto alternativo para a ligação anterior no menu de paginação. Se deixado em branco, será utilizada a imagem com seta por omissão."
"An error occurred while saving. Please review the error log.","Ocorreu um erro ao guardar. Por favor analise o ficheiro de registo"
"Anchor symbol (#) is not supported in request path","O símbolo ancora (#) não é suportado no caminho pedido"
"Anchor symbol (#) is not supported in url rewrite suffix","O símbolo ancora (#) não é suportado no sufixo da escrita de url"
"Anchor Text for Next","Texto Âncora para Seguinte"
"Anchor Text for Previous","Texto Âncora para Anterior"
"Are you sure?","Tem a certeza?"
"Auto-redirect to Base URL","Auto-Redirecionar para URL base"
"Back","Voltar"
"Back to Main Product Info","Voltar à página do produto"
"Backup options","Opções de cópia de seguração"
"Base JavaScript URL","URL base de JavaScript"
"Base Link URL","URL ligação base"
"Base Media URL","URL Base Media"
"Base Skin URL","URL Base Skin"
"Base URL","Url Base"
"Before modifying the store view code please make sure that it is not used in index.php","Antes de alterar o código da Vista de Loja, por favor confirme que este não está a ser utilizado em index.php"
"Before modifying the store view code please make sure that it is not used in index.php.","Antes de modificar o código da vista de loja certifique-se que não está a ser utilizado no ficheiro index.php."
"Before modifying the website code please make sure that it is not used in index.php","Antes de alterar o código do Site, por favor confirme que este não está a ser utilizado em index.php"
"Before modifying the website code please make sure that it is not used in index.php.","Antes de modificar o código do site certifique-se que não está a ser utilizado no ficheiro index.php."
"Block with name "%s" already exists","Já existe um bloco com o nome "%s""
"Blocks HTML output","Bloqueia a saída HTML"
"Browser Capabilities Detection","Deteção de Capacidades do Navegador"
"Cache Storage Management","Gestão do Cache de Armazenamento"
"Cache storage may contain additional data. Are you sure that you want flush it?","A cache de armazenamento pode conter dados adicionais. Tem a certeza que a deseja limpar?"
"Cache storage may contain another data. Are you sure that you want flush it?","O cache de armazenamento pode conter outros dados. Tem a certeza que o deseja limpar?"
"Can not create invoice. Order was not found.","Não foi possível criar a fatura. Encomenda não encontrada."
"Can't retrieve entity config: %s","Não foi possível obter a entidade de configuração: %s"
"Can't retrieve request object","Não foi possível obter o objeto pedido"
"Cancel","Cancelar"
"Cannot complete this operation from non-admin area.","Não é possível completar esta ação através de uma área não administrativa"
"Cannot Delete Email Template","Não é possível remover o Template de email"
"Cannot retrieve entity config: %s","Não foi possível obter a configuração para a entidade: %s"
