"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Tarefas Agendadas) - Todos os tempos em minutos"
"Daily","Diariamente"
"Failure history lifetime","Tempo de vida do histórico de falhas"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Para gerar URL's correctas durante a execução de tarefas, por favor confirme que web> Url base seguras e não seguras estão bem definidas"
"Generate schedules every","Gerar agendamentos a cada"
"History cleanup every","Limpar o histórico a cada"
"Invalid callback: %s::%s does not exist","Callback inválido: %s::%s não existe"
"Invalid model/method definition, expecting "model/class::method".","Definição de modelo/método inválido, esperando "model/class::method"."
"Missed if not run within","Falha se não correr em"
"Monthly","Mensalmente"
"No callbacks found","Não foram encontrados callbacks"
"Schedule ahead for","Agendado para"
"Success history lifetime","Histórico de sucesso"
"Too late for the schedule","Demasiado tarde para agendar"
"Too late for the schedule.","Demasiado tarde para agendar."
"Unable to save Cron expression","Não foi possível guardar a expressão do Cron"
"Unable to save the cron expression.","Não foi possível guardar a expressão cron"
"Unknown error","Erro Desconhecido"
"Unknown error.","Erro desconhecido."
"Weekly","Semanalmente"
