""%s" contains not only digit characters.",""%s" não contém apenas caracteres numéricos."
""%s" does not fit the entered date format.",""%s" não está em conformidade com o formato de data."
""%s" exceeds the allowed file size.",""%s" excede o tamanho máximo."
""%s" exceeds the allowed length.",""%s" excede o comprimento máximo."
""%s" has not only alphabetic and digit characters.",""%s" não tem apenas caracteres numéricos e ltras"
""%s" has not only alphabetic characters.",""%s" não contém apenas caracteres alfabéticos"
""%s" height exceeds allowed value of %s px.","A altura de "%s" excede o valor permitido de %s px."
""%s" invalid type entered.",""%s" tipo inserido inválido"
""%s" is a required value.",""%s" é um valor obrigatório"
""%s" is an empty string.",""%s" é um texto vazio"
""%s" is not a valid date.",""%s" não é uma data válida"
""%s" is not a valid email address.",""%s" não é um endereço de email válido"
""%s" is not a valid file",""%s" não é um ficheiro válido"
""%s" is not a valid file extension.",""%s" não é uma extensão de ficheiro válida"
""%s" is not a valid file.",""%s" não é um ficheiro válido"
""%s" is not a valid hostname.",""%s" não é um nome de host válido"
""%s" is not a valid image format",""%s" não é um formato de imagem válido"
""%s" is not a valid URL.",""%s" não é um URL válido"
""%s" length must be equal or greater than %s characters.","O comprimento de "%s" deve ser igual ou maior que %s caracteres"
""%s" length must be equal to or greater than %s characters.","O comprimento de "%s" deve ser igual ou maior que %s caracteres."
""%s" length must be less than or equal to %s characters.","O comprimento de "%s" tem que ser inferior ou igual a %s caracteres"
""%s" width exceeds allowed value of %s px.","A largura de "%s" excede o valor permitido de %s px."
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' parece ser um hostname DNS válido, mas não foi possível extrair a parte TLD"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' parece ser um hostname DNS válido, mas não foi possível encontrar correspondência para o shema TLD '%tld%'"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' parece ser um hostname DNS válido, mas não foi possível encontrar correspondência do TLD numa lista branca."
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' parece ser um hostname DNS válido, mas contém um _ numa posição errada."
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' parece ser um hostname DNS válido, mas o punycode não parece ser descodificado"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' parece ser um nome de uma rede local, mas redes locais não são permitidas."
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' parece ser um endereço IP, mas endereços IP's não são permitidos"
"'%value%' does not appear to be a valid local network name","'%value%' não parece ser um nome de rede local válido."
"* Required Fields","* Campos obrigatórios"
"A new password has been sent.","Foi enviada uma nova palavra-passe"
"A new password was sent","Foi enviada uma nova palavra-passe"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href="%s">click here</a>.","É necessário confirmar a conta. Por favor, verifique a sua caixa de correio para confirmar o link. Para reenviar a confirmação do email por favor, <a href="%s">clique aqui</a>."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href="%s">click here</a>.","É necessário a confirmação da conta.Por favor, verifique o seu e-mail para obter o link de confirmação. Para reenviar o e-mail de confirmação, por favor<a href="%s">clique aqui</a>."
"Account Dashboard","Sumário da Conta"
"Account Information","Informação da conta"
"Account information was successfully saved","A informação da conta foi guardada corretamente"
"Account Sharing Options","Opções de Partilha de Conta"
"Action","Ação"
"Add New Address","Adicionar Novo Endereço"
"Add New Customer","Adicionar cliente"
"Add New Customer Group","Adicionar novo grupo de clientes"
"Added From","Adicionado de"
"Additional Address Entries","Registos adicionais"
"Address","Endereço"
"Address Book","Livro de Endereços"
"Address Books","Livro de Endereços"
"Address Information","Informação de endereço"
"Address Templates","Templates de Endereço"
"Addresses","Endereços"
"Admin","Admin"
"All","Todos"
"All countries","Todos os países"
"ALL GROUPS","TODOS OS GRUPOS"
"All Store Views","Todas as Lojas"
"Always optional","Sempre opcional"
"Always optional.","Sempre opcional."
"Amount","Quantidade"
"An error occurred while deleting the address.","Ocorreu um erro ao remover o endereço."
"An error occurred while retrieving the option value: %s.","Ocorreu um erro ao obter o valor da opção: %s."
"An error occurred while saving the collection, aborting. Error: %s","Ocorreu um erro ao guardar a coleção, abortando. Erro: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","Foi especificada um valor de opção inválida para %s (%s), ignorando o registo."
"Approved","Aprovado"
"Are you sure that you want to remove this item?","Tem a certeza que deseja remover este item?"
"Are you sure you want to cancel adding of this address?","Tem a certeza que deseja cancelar a adição deste endereço?"
"Are you sure you want to delete this address?","Tem a certeza que deseja remover este endereço?"
"Are you sure?","Tem a certeza?"
"Array of Entity collections is expected","Lista de coleções de Entidades esperada"
"Array of Entity collections is expected.","Esperada um Array de Coleções de Entidades."
"Assign a customer group","Definir um grupo de clientes"
"Attribute object is undefined","O atributo do abjeto não está definido"
"Average Sale","Média vendas"
"Back","Voltar"
"Back - link to the previously viewed page","Voltar - Ligação para a página anteriormente vista"
"Back to Login","Voltar ao início de sessão"
"Bad request.","Pedido inválido"
"Bill to Name","Nome Faturação"
"Billing Information","Informações de Faturação"
"Bought From","Comprado Em"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Ao criar uma conta na nossa loja conseguirá processar a sua encomenda de uma forma mais rápida, armazenar múltiplos endereços, visualizar e seguir o progresso das suas encomendas e mais."
"Can't save address","Não foi possível guardar o endereço"
"Can't save customer","Não foi possível guardar o cliente"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","Não é possível partilhar a conta. Já existe alguma conta de cliente com o mesmo email em múltiplos sites e não podem ser unidos"
"Cancel","Cancelar"
"Cannot save address.","Não foi possível guardar o endereço."
"Cannot save the address.","Não foi possível guardar o endereço."
"Cannot save the customer.","Não foi possível guardar o cliente."
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","Não é possível partilhar as contas de clientes de modo global, porque algumas contas de clientes já existem em múltiplos sites e não podem ser unificadas."
"Change Account Password","Alterar palavra-passe da conta"
"Change Billing Address","Alterar Endereço de faturação"
"Change Password","Alterar palavra-passe"
"Change Shipping Address","Alterar Morada de Envio"
"City","Cidade"
"Company","Empresa"
"Config","Configurar"
"Configure","Configurar"
"Confirm New Password","Confirmar nova palavra-passe"
"Confirm Password","Confirmar palavra-passe"
"Confirmation Link Email","Email de confirmação"
"Confirmed","Confirmado"
"Contact Information","Informação de contacto"
"Continue Shopping","Continuar compras"
"Country","País"
"Create","Criar"
"Create an Account","Criar uma nova conta"
"Create customer","Criar Cliente"
"Create customer address","Criar endereço ao cliente"
"Create New Account Options","Opções de Criação de Nova Conta"
"Create New Customer Account","Criar nova conta de cliente"
"Create Order","Criar encomenda"
"CSV","CSV"
"Current Password","Palavra-passe atual"
"Customer","Cliente"
"Customer Account Edit Form","Formulário de edição da Conta de Cliente"
"Customer Account Login Form","Formulário de login da Conta de Cliente"
"Customer Account Logout Success","Cliente Conta Sessão Terminada Sucesso"
"Customer Account Registration Form","Formulário de registo de Conta de Cliente"
"Customer Addresses","Endereço do cliente"
"Customer Api","Api cliente"
"Customer collection expected","Esperado uma coleção de cliente"
"Customer collection expected.","Esperada coleção de clientes"
"Customer Configuration","Configuração Cliente"
"Customer doesn't have primary billing address","O Cliente não tem um endereço de faturação primário"
"Customer email already exists","Já existe um cliente com o mesmo email que inseriu"
"Customer email is required","O email do cliente é obrigatório"
"Customer email is required.","O email de cliente é obrigatório."
"Customer Forgot Password Form","Formulário de recuperação de senha da Conta de Cliente"
"Customer Group","Grupo do Cliente"
"Customer Group was successfully deleted","O Grupo de Clientes foi corretamente removido"
"Customer Group was successfully saved","Grupo de Clientes corretamente guardado"
"Customer Groups","Grupos de Clientes"
"Customer Information","Informação do cliente"
"Customer Login","Inicio de Sessão para Clientes"
"Customer My Account (All Pages)","A Minha Conta Cliente"
"Customer My Account Address Book","Livro de Endereços da Minha Conta Cliente"
"Customer My Account Address Edit Form","Formulário de Edição de Endereço da Minha Conta Cliente"
"Customer My Account Dashboard","Painel A Minha Conta de Cliente"
"Customer Since","Cliente desde"
"Customer View","Vista do cliente"
"Customer website ID must be specified when using the website scope","O Id de website do cliente tem que ser especificado no âmbito do site."
"Customer website ID must be specified when using the website scope.","O ID de site do cliente tem que ser especificado ao âmbito do site."
"Customer website id must be specified, when using website scope.","O id do site do cliente tem que ser especificado, quando utiliza o 'âmbito sítio'"
"Customer will stay on the current page if "No" is selected.","O Cliente ficará na página atual se "Não" estiver selecionado."
"Customers","Clientes"
"Customers Only","Apenas Clientes"
"Customers Section","Secção de Clientes"
"Date","Data"
"Date Added","Data Adição"
"Date of Birth","Data de nascimento"
"Date of Birth is required.","A data de nascimento é obrigatória"
"Day","Dia"
"Days in Wishlist","Dias na Lista de Presentes"
"DD","DD"
"Default Addresses","Endereço por Omissão"
"Default Billing Address","Endereço de Faturação por Omissão"
"Default Email Domain","Domínio de email por omissão"
"Default Group","Grupo por Omissão"
"Default Shipping Address","Endereço de envio por omissão"
"Default Welcome Email","Email de boas-vindas por omissão"
"Delete","Remover"
"Delete Address","Remover endereço"
"Delete Customer","Remover Cliente"
"Delete customer address","Remover endereço do cliente"
"Delete Customer Group","Remove Grupo de Clientes"
"Deleted Stores","Lojas Removidas"
"Details","Detalhes"
"Disabled","Inativo"
"Edit","Editar"
"Edit Account Info","Editar informações da Conta"
"Edit Account Information","Editar Informação da Conta"
"Edit Address","Editar Endereço"
"Edit Address Entry","Editar registo"
"Edit Customer Group "%s"","Editar Grupo do Cliente "%s""
"Edit Customer Groups","Editar grupo de clientes"
"Edit Customer's Address","Editar Endereço do Cliente"
"Edit Group","Editar Grupo"
"Edit Newsletter Subscription","Editar subscrição de Newsletter"
"Edit Newsletters","Editar Newsletter"
"Edit Personal Information","Editar Informação Pessoal"
"Email","Email"
"Email Address","Endereço de Email"
"Email Sender","Remetente Email"
"Email:","Email:"
"Entity collection is expected","Coleção de Entidades esperada"
"Entity collection is expected.","Esperada coleção de entidades"
"Entity instance is not defined","A instância da entidade não está definida"
"Entity object is undefined","O objeto de entidade não está definido."
"Error during retrieval of option value: %s","Erro durante a recepção do valor da opção: %s"
"Excel XML","Excel XML"
"Ext. Price","Preço est."
"Failed to confirm customer account.","Falha ao confirmar conta do cliente."
"Fax","Fax"
"First Name","Primeiro Nome"
"First name can't be empty","O primeiro nome não pode ficar em branco"
"Forgot Email Sender","Remetente para recuperação email"
"Forgot Email Template","Template para recuperação email"
"Forgot Your Password","Esqueceu-se da sua Palavra-passe"
"Forgot Your Password?","Esqueceu-se da sua palavra-passe?"
"Form code is not defined","Código Formulário não está definido"
"Form Fields Before","Antes Campos Formulário"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","A partir do sumário da Minha Conta, tem a possibilidade de ver um resumo da sua atividade recente e de atualizar a informação da sua conta. Selecione uma ligação abaixo para editar ou visualizar."
"Gender","Sexo"
"General Subscription","Subscrição Geral"
"Generate Human-Friendly Customer ID","Gerar ID de Clientes Elegíveis por Humanos"
"Global","Global"
"Go to Address Book","Voltar ao Livro de Endereços"
"Grand Total","Total"
"Grand Total: %s","Total final: %s"
"Group","Grupo"
"Group "%s" can not be deleted","O grupo "%s" não pode ser removido"
"Group Information","Informação do Grupo"
"Group Name","Nome do Grupo"
"Guest","Convidado"
"Hello, %s!","Viva, %s!"
"HTML","HTML"
"ID","ID"
"If you have an account with us, please log in.","Se já tem uma conta, por favor inicie sessão"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Opção de atributo inválida para atributo especificado. Ignorando registo"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Opção para o atributo especificada inválida %s (%s), ignorando o registo."
"Invalid attribute set specified, skipping the record","Grupo de atributos especificado inválido. Ignorando o registo"
"Invalid attribute set specified, skipping the record.","Grupo de Atributos especificado inválido, a ignorar o registo."
"Invalid current password","Palavra-passe atual inválida"
"Invalid customer data","Dados de cliente inválidos"
"Invalid email address","Endereço de Email inválido"
"Invalid email address "%s"","Endereço de email inválido "%s""
"Invalid email address.","Endereço de Email inválido."
"Invalid login or password.","Nome de Utilizador ou Palavra-Passe inválido."
"Invalid option id specified for %s (%s), skipping the record","Id de opção especificada inválida para %s (%s), ignorando os dados"
"Invalid store specified, skipping the record","Loja inválida especificada, ignorando registo"
"Invalid store specified, skipping the record.","Loja especificada inválida, a ignorar o registo."
"IP Address","Endereço IP"
"Items Order","Itens da encomenda"
"Last 5 Orders","Últimas 5 encomendas"
"Last Activity","Última atividade"
"Last date subscribed","Última data de subscrição"
"Last date unsubscribed","Última data de cancelamento de Subscrição"
"Last Name","Apelido"
"Last name can't be empty","O apelido não pode ficar em branco"
"Last Url","Última Url"
"Last Viewed Items","Últimos itens vistos"
"Leave empty for default (15 minutes).","Deixe em branco para valor por omissão (15 minutos)"
"Leave empty for default (2). Valid range: 1-4","Deixe em branco para valor por omissão (2). Valores entre 1-4"
"Lifetime Sales","Total acumulado de Vendas"
"Log In","Iniciar Sessão"
"Log in or Create an Account","Iniciar sessão ou criar uma conta"
"Log Out","Terminar sessão"
"Login","Iniciar Sessão"
"Login and password are required","Nome de utilizador e palavra-passe obrigatórios"
"Login and password are required.","Login e palavra passe são necessários."
"Login Information","Informação de inicio de sessão"
"Login Options","Opções de Login"
"Login or Create an Account","Iniciar Sessão ou Criar uma Conta"
"M.I.","M.I."
"Manage Addresses","Gerir endereços"
"Manage Customers","Gerir Clientes"
"Missing email, skipping the record","Email não encontrado, ignorando registo"
"Missing email, skipping the record.","Email em falta, a ignorar o registo."
"Missing firstname, skipping the record","Primeiro nome não encontrado, ignorando registo"
"Missing firstname, skipping the record.","Primeiro nome em falta, a ignorar o registo."
"Missing lastname, skipping the record","Apelido não encontrado, ignorando registo"
"Missing lastname, skipping the record.","Apelido em falta, a ignorar o registo."
"MM","MM"
"Month","M&ecirc;s"
"My Account","A Minha Conta"
"My Account Dashboard","Painel da Minha Conta"
"My Account Wrapper","Composição Minha Conta"
"My Dashboard","O Meu Painel"
"My Orders","As minhas encomendas"
"My Reviews","As minhas análises"
"My Tags","As minhas Etiquetas"
"My Wishlist","My Wishlist"
"n/a","N/D"
"Name","Nome"
"Name and Address Options","Opções de Nome e Endereço"
"Never","Nunca"
"New account","Nova Conta"
"New account confirmation key","Chave de confirmação de nova conta"
"New account confirmed","Nova conta confirmada"
"New Address","Novo endereço"
"New Address Entry","Adicionar novo endereço"
"New Customer","Novo cliente"
"New Customer Address","Endereço de novo utilizador"
"New Customer Group","Novo Grupo de Clientes"
"New Customer Groups","Novo Grupo Clientes"
"New Customers","Novos Clientes"
"New Group","Novo grupo"
"New Password","Nova palavra-passe"
"New password field cannot be empty.","O campo de nova palavra-passe não pode estar em branco"
"Newsletter","Newsletter"
"Newsletter Finish","Newsletter Terminada"
"Newsletter Information","Informação de Newsletter"
"Newsletter Received","Newsletter Recebida"
"Newsletter Start","Início Newsletter"
"Newsletter Subscription","Subscrição Newsletter"
"Newsletters","Newlsetters"
"No","Não"
"No customer collections found","Não foram encontradas coleções de clientes"
"No item specified.","Nenhum item especificado."
"No Items Found","Não foram encontrados resultados"
"No Newsletter Found","Não foi encontrado nenhuma Newsletter"
"No product collections found","Não foram encontradas coleções de produtos"
"Not confirmed, can login","Não confirmado, pode iniciar sessão"
"Not confirmed, cannot login","Não confirmado, não pode iniciar sessão"
"Not Sent","Não enviado"
"Number of lines in a street address ","Número de linhas no endereço"
"Offline","Desligado"
"Online","Ligado"
"Online Customers","Clientes online"
"Online Customers Options","Opções de Clientes Online"
"Online Minutes Interval","Intervalo de Minutos Online"
"or","OU"
"Order #","Encomenda #"
"Order #%s (%s)","Encomenda $%s (%s)"
"Order List...","Lista de encomendas..."
"Order Total","Total encomendado"
"Orders","Encomendas"
"Password","Senha"
"Password can't be empty","A palavra-passe não pode ficar em branco"
"Password fields can't be empty.","Deve preesncher os campos de palavra-passe"
"Password forgotten","Esqueci-me da palavra-passe"
"Password Management","Gestão de Palavras-passe"
"Password minimal length must be more %s","O número mínimo de caracteres na palavra-passe é de %s"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","A palavra-passe deverá conter 6 caracteres."
"Password Options","Opções de Palavra-passe"
"Password:","Palavra-passe:"
"Paused","Pausado"
"Payment Method","Método de Pagamento"
"PDF","PDF"
"Pending","Pendente"
"Per Website","Por Site"
"Personal Information","Informação Pessoal"
"Please enter your email below and we will send you a new password.","Por favor digite o seu endereço de email abaixo e enviaremos a nova palavra-passe."
"Please enter your email below and we'll send you a new password.","Por favor insira o seu email abaixo para lhe ser enviada a nova palavra-passe"
"Please enter your email below and we'll send you confirmation link for it.","Por favor insira o seu email e ser-lhe-á enviado um link de confirmação"
