"<a href="%s" target="_blank">Link</a>","<a href="%s" target="_blank">Link</a>"
"Access denied to destination folder "%s"","Acesso negado para a pasta de destino "%s""
"Access denied to destination folder "%s".","Acesso negado à pasta de destino "%s"."
"An error occurred while opening file: "%s".","Ocorreu um erro ao abrir o ficheiro: "%s"."
"Could not load file: "%s"","Não foi possível carregar o ficheiro: "%s""
"Could not load file: "%s".","Não foi possível carregar o ficheiro "%s"."
"Could not save file: %s","Não foi possível guardar o ficheiro: %s"
"Could not save file: %s.","Não foi possível guardar o ficheiro: "%s"."
"Declared adapter %s not found","Adapter declarado %s não encontrado"
"Declared adapter %s was not found.","O adapter declarado não foi encontrado."
"Destination folder "%s" does not exist or not access to create","Pasta de destino "%s" não existe ou não tem privilégios de criação"
"Destination folder "%s" does not exist or there is no access to create it.","A pasta de destino "%s" não existe ou não existem permissões para a aceder."
"Destination folder "%s" is not a directory","Pasta de Destino "%s" não é um diretório"
"Destination folder "%s" is not a directory.","A pasta de destino "%s" não é um diretório"
"Destination folder "%s" is not a writeable","Pasta de Destino "%s" não é um passível de escrita"
"Destination folder "%s" is not writable.","A pasta de destino "%s" não tem permissões de escrita."
"Done","Feito"
"Dry run set, stopping execution","Limpar e parar execução"
"Dry run set, stopping execution.","Execução em seco, a parar execução."
"Error field mapping! Fields list for mapping is not defined","Erro ao mapear campo. Lista de Campos não está definida"
"Error in field mapping: field list for mapping is not defined.","Erro no mapeamento de campos: lista de campos para mapear não está definida."
"Error occured during file opening: "%s"","Ocorreu um erro ao abrir o ficheiro: "%s""
"ETA: %s","TRE: %s"
"File "%s" does not exist.","O ficheiro "%s" não existe."
"File "%s" don't exist","O Ficheiro "%s" não existe"
"Found %d rows","%d linhas encontradas"
"Found %d rows.","Encontradas %s linhas."
"hour","hora"
"hours","horas"
"Less than a minute","Menos de um minutos"
"Loaded successfully: "%s"","Carregado com sucesso: "%s""
"Loaded successfully: "%s".","Carregado com sucesso: "%s"."
"Memory Used: %s","Memória Utilizada: %s"
"Method "%s" not defined in adapter %s","Método "%s" não definido no adapter %s"
"Method "%s" not defined in adapter %s.","Método "%s" não está definifo no adapter %s."
"Method "%s" was not defined in adapter %s.","Método "%s" não foi definifo no adapter %s."
"minute","minuto"
"minutes","minutos"
"Please declare "adapter" and "method" node first","Por favor declare primeiro "adapter" e "method""
"Please declare "adapter" and "method" nodes first.","Por favor declare os nós "adapter" e "method" primeiro"
"Processed records: %s","Registos processados: %s"
"Saved successfully: "%s" [%d byte(s)]","Guardado corretamente: "%s" [%d byte(s)]"
"Saved successfully: "%s" [%d byte(s)].","Guardado com sucesso: "%s" [%d byte(s)]."
"Sheet 1","Folha 1"
"Skip undefined row","Ignorar linha indefinida"
"Skip undefined row.","Ignorando linha indefinida"
"Starting %s :: %s","Inciando %s :: %s"
"The destination folder "%s" does not exist or there is no access to create it.","A pasta de destino "%s" não existe ou não existe acesso para a criar."
"Total records: %s","Total de Registos: %s"
