"-- Please select --","-- Por Favor Selecione --"
"Allowed currencies","Moedas permitidas"
"Base currency","Moeda base"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope ("Catalog" > "Price" > "Catalog Price Scope").","A moeda base é utilizada para todas as transações de pagamentos. O âmbito é definido pelo alcance do preço ("Catálogo" > "Preço" > "Espaço Preço Catálogo")."
"Cannot retrieve rate from %s","Não foi possível obter a taxa de %s"
"Cannot retrieve rate from %s.","Não foi possível obter a taxa de %s."
"Connection timeout in seconds","Tempo de espera da ligação terminado"
"Continue &raquo;","Continuar &raquo;"
"Country","País"
"Country and Format Type combination should be unique","A combinação entre o País e o Tipo de Formato devem ser únicos"
"Country Api","Api País"
"Currency","Moeda"
"Currency Options","Opções moeda"
"Currency Setup","Configurar moeda"
"Currency Update Warnings","Alertas de Atualização de Moeda"
"Currency will be used for all online payment transactions","A moeda será utilizada para todas as transações de pagamentos online"
"Default display currency","Mostrar moeda por omissão"
"Directory","Diretório"
"Enabled","Ativo"
"Error Email Recipient","Email do Destinatário de Erros"
"Error Email Sender","Email do Remetente de Erros"
"Error Email Template","Template do Email de Erros"
"FATAL ERROR:","ERRO FATAL:"
"Frequency","Frequência"
"Installed Currencies","Moedas Instaladas"
"Invalid country code: %s","Código de País Inválido: %s"
"Invalid Import Service Specified","Serviço de importação especificado inválido"
"Invalid Import Service specified.","Serviço de importação especificado inválido."
"Invalid rates received","Taxas inválidas recebidas"
"Invalid target currency","Moeda especificada inválida"
"Invalid target currency.","Moeda de destino inválida."
"List of countries","Lista de Países"
"List of regions in specified country","Lista de regiões no país especificado"
"Postal Code is Optional for the following countries","O código postal é opcional para os seguintes países"
"Region","Região"
"Region Api","API Região"
"Remove space from currency sign","Remova espaços do sinal da moeda"
"Scheduled Import Settings","Configurações de Importação Agendadas"
"Select Your Currency","Selecione a sua moeda"
"Service","Serviço"
"Start Time","Data Início"
"State/Province","Estado/Província"
"Strikeiron Email Update Warnings","Email de atualização de avisos Strikeiron"
"Unable to initialize import model","Incapaz de iniciar o modelo de importação"
"Unable to initialize the import model.","Não foi possível iniciar o modelo de importação."
"Undefined rate from "%s-%s"","Taxa indefinida de "%s-%s""
"Undefined rate from "%s-%s".","Taxa indefinida de "%s-%s"."
"WARNING:","ATENÇÃO:"
"Webservicex","Webservicex"
"Your current currency is: %s","O diretório atual é: %s"
