"Add New Row","Adicionar Novo Registo"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Alfanumérico, hífen e sublinhado são caracteres recomendados para nomes de ficheiros. Caracteres impróprios serão substituídos por '_'."
"An error occurred while getting requested content. Please contact the store owner.","Ocorreu um erro ao obter o conteúdo pedido. Por favor contacte o dono da loja."
"An error occurred while getting the requested content.","Ocorreu um erro ao obter o conteúdo pedido."
"An error occurred while getting the requested content. Please contact the store owner.","Ocorreu um erro ao obter o conteúdo pedido. Por favor contacte o dono da loja."
"An error occurred while saving the file(s).","Ocorreu um erro ao guardar o(s) ficheiro(s)"
"attachment","anexo"
"Availability:","Disonibilidade:"
"Availability: In stock.","Disponibilidade: Disponível"
"Availability: Out of stock.","Disponibilidade: Esgotado"
"Back","Voltar"
"Can't connect to remote host, error: %s","Não foi possível ligar-se ao servidor remoto, erro: %s"
"Canceled","Cancelado"
"Cannot connect to remote host, error: %s.","Não foi possível ligar-se ao servidor remoto, erro: %s."
"Catalog Product View (Downloadable)","Catálogo Produto Visualizar (Descarregáveis)"
"Customer My Account Downloadable Items","Cliente A Minha Conta Itens Descarregáveis"
"Date","Data"
"Default Link Title","Título por omissão da ligação"
"Default Maximum Number of Downloads","Número Máximo de Descargas por Omissão"
"Default Sample Title","Título por defeito da amostra"
"Delete","Remover"
"Disable Guest Checkout if cart contains downloadable items","Desativar Finalização de Encomenda para utilizadores não registados se o carrinho de compras contiver itens para descarga"
"download","Transferir"
"Downloadable Information","Informação de Descarregamento"
"Downloadable Product","Produto Descarregável"
"Downloadable Product Options","Opções de Produto Descarregável"
"Downloadable product Section","Secção de Produtos Descarregáveis"
"Edit","Editar"
"Edit item parameters","Editar parâmetros do item"
"Excl. Tax","Excl. Imp."
"File","Ficheiro"
"File does not exists","O ficheiro não existe"
"From:","De:"
"Gift Message","Mensagem de Presente"
"Go to <a href="%s">My Downloadable Products</a>","Ir para <a href="%s">Os Meus Produtos Descarregáveis</a>"
"Guest checkout will only work with shareable","Finalização da encomenda para utilizadores não registados apenas funcionará para partilháveis"
"Guest checkout will only work with shareable.","Finalização de Encomenda como convidado apenas funcionará com partilhável."
"In Stock","Disponível"
"Incl. Tax","Incl. Imp."
"inline","no local"
"Invalid download link type","Tipo de ligação para descarga inválido"
"Invalid download link type.","Tipo de URL de descarregamento inválido."
"Invalid download URL host","Servidor de URL para descarga inválido"
"Invalid download URL host.","Servidor de URL de transferência inválido."
"Invalid download URL scheme","Formato de URL para descarga inválido"
"Invalid download URL scheme.","Tipo de URL de descarregamento inválido."
"Invoiced","Faturado"
"Link has expired.","A ligação expirou"
"Link is not available.","A ligação não se encontra disponível."
"Links can be purchased separately","Ligações podem ser adquiridas separadamente"
"Max. Downloads","Máx. Descargas"
"Message:","Mensagem:"
"Move to Wishlist","Mover para Lista de Presentes"
"My Downloadable Products","Os Meus Produtos Descarregáveis"
"Open Links in New Window","Abrir Ligações numa Nova Janela"
"Order #","Encomenda #"
"Order id cannot be null","A id da encomenda não pode ser null"
"Order item id cannot be null","O Item da encomenda não pode ser null"
"Order Item Status to enable Downloads","Estado do item da encomenda para ativar downloads"
"Ordered","Encomendado"
"Out of Stock","Indisponível"
"Pending","Pendente"
"Please log in to download your product.","Por favor inicie sessão para transferir o seu produto."
"Please set resource file and link type","Por favor defina o ficheiro e o tipo de ligação"
"Please set resource file and link type.","Por favor defina o ficheiro de recurso e o tipo de ligação."
"Please specify product link(s).","Por favor defina a(s) ligação(ões) do produto"
"Price","Preço"
"Qty","Qt"
"Refunded","Reembolsado"
"Remaining Downloads","Descargas Restantes"
"Remove item","Remover item"
"Requested link does not exist.","A Hiperligação pedida não foi encontrada."
"Requested link doesn't exist.","O link pedido não existe"
"Sample","Amostra"
"See price before order confirmation.","Mostrar preço antes de confirmação encomenda."
"Shareable","Partilhável"
"Shipped","Enviado"
"Sorry, the was an error getting requested content. Please contact store owner.","Pedimos desculpa, mas ocorreu um erro ao obter o conteúdo pedido. Por favor entre em contacto com os responsáveis da Loja."
"Sorry, there was an error getting requested content","Pedimos desculpa mas ocorreu um erro ao obter o conteúdo"
"Sorry, there was an error getting requested content. Please contact store owner.","Pedimos desculpa, mas ocorreu um erro ao obter o conteúdo pedido. Por favor entre em contacto com os responsáveis da Loja."
"Sort Order","Ordenar Encomenda"
"Start Download","Iniciar Descarga"
"Status","Estado"
"The file does not exist.","O ficheiro não existe"
"The link has expired.","A Hiperligação expirou"
"The link is not available.","A Hiperligação não está disponível"
"Title","Título"
"To:","Para:"
"U","U"
"Unlimited","Ilimitado"
"Use Content-Disposition","Utilizar Content-Disposition"
"Use Default Value","Utilizar Valor por Omissão"
"View Order","Ver encomenda"
"What's this?","O que é isto?"
"You have not purchased any downloadable products yet.","Ainda não comprou produtos passíveis de serem transferidos"
