""%s" contains not only digit characters.",""%s" não contém apenas caracteres numéricos."
""%s" does not fit the entered date format.",""%s" não está em conformidade com o formato de data."
""%s" exceeds the allowed file size.",""%s" excede o tamanho máximo."
""%s" exceeds the allowed length.",""%s" excede o comprimento máximo."
""%s" has not only alphabetic and digit characters.",""%s" não tem apenas caracteres numéricos e ltras"
""%s" has not only alphabetic characters.",""%s" não contém apenas caracteres alfabéticos"
""%s" height exceeds allowed value of %s px.","A altura de "%s" excede o valor permitido de %s px."
""%s" invalid type entered.",""%s" tipo inserido inválido"
""%s" is a required value.",""%s" é um valor obrigatório"
""%s" is an empty string.",""%s" é um texto vazio"
""%s" is not a valid date.",""%s" não é uma data válida"
""%s" is not a valid email address.",""%s" não é um endereço de email válido"
""%s" is not a valid file",""%s" não é um ficheiro válido"
""%s" is not a valid file extension.",""%s" não é uma extensão de ficheiro válida"
""%s" is not a valid file.",""%s" não é um ficheiro válido"
""%s" is not a valid hostname.",""%s" não é um nome de host válido"
""%s" is not a valid image format",""%s" não é um formato de imagem válido"
""%s" is not a valid URL.",""%s" não é um URL válido"
""%s" length must be equal or greater than %s characters.","O comprimento de "%s" deve ser igual ou maior que %s caracteres"
""%s" length must be equal or less than %s characters.","O comprimento de "%s" tem que ser igual ou inferior a %s caracteres."
""%s" width exceeds allowed value of %s px.","A largura de "%s" excede o valor permitido de %s px."
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' parece ser um hostname DNS válido, mas não foi possível extrair a parte TLD"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' parece ser um hostname DNS válido, mas não foi possível encontrar correspondência para o shema TLD '%tld%'"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' parece ser um hostname DNS válido, mas não foi possível encontrar correspondência do TLD numa lista branca."
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' parece ser um hostname DNS válido, mas contém um _ numa posição errada."
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' parece ser um hostname DNS válido, mas o punycode não parece ser descodificado"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' parece ser um nome de uma rede local, mas redes locais não são permitidas."
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' parece ser um endereço IP, mas endereços IP's não são permitidos"
"'%value%' does not appear to be a valid local network name","'%value%' não parece ser um nome de rede local válido."
"'%value%' does not appear to be a valid URI hostname","'%value%' não parecer ser um URI válido"
"'%value%' does not match the expected structure for a DNS hostname","'%value%' não coincide com a estrutura expectável de um hostname DNS"
"A joint field with this alias (%s) is already declared","Joint field or attribute expression with this alias is already declared"
"A joint field with this alias (%s) is already declared.","Já foi declarado um campo de união com o mesmo pseudónimo."
"Add Option","Adicionar opção"
"An error occurred while loading a record, aborting. Error: %s","Ocorreu um erro ao carregar o registo, abortado. Erro: %s"
"An error occurred while loading the collection, aborting. Error: %s","Ocorreu um erro ao carregar a coleção, abortado. Erro: %s"
"An error occurred while saving a record, aborting. Error: ","Ocorreu um erro ao guardar o registo, abortado. Erro: %s"
"Attempt to add an invalid object","Tentativa de adição de objeto inválido"
"Attempt to add an invalid object.","Tentativa de adicionar um objeto inválido."
"Attribute '%s' used in configurable products","O atributo '%s' é usado em produtos configuráveis"
"Attribute '%s' used in configurable products.","Atributo '%s' utilizado em produtos configuráveis"
"Attribute Code","Código de Atributo"
"Attribute Label","Rótulo do Atributo"
"Attribute object is undefined","O atributo do abjeto não está definido"
"Attribute Properties","Propriedades do Atributo"
"Attribute set with the "%s" name already exists","Já existe uma grupo de atributos com o nome "%s""
"Attribute set with the "%s" name already exists.","Já existe um Grupo de Atributos com o mesmo nome "%s"."
"Attribute used in configurable products.","Atributo utilizado em produtos configuráveis"
"Attribute with the same code","Atributo como o mesmo código"
"Can't create table: %s","Não foi possível criar a tabela: %s"
"Catalog Input Type for Store Owner","Tipo de entrada para Dono da Loja"
"Current module EAV entity is undefined","Joint field or attribute expression with this alias is already declared"
"Current module pathname is undefined","Joint field or attribute expression with this alias is already declared"
"Data integrity: No header row found for attribute","Integridade de dados: Não foi encontrado o cabeçalho para o atributo"
"Data integrity: No header row found for attribute.","Integridade de Dados: Não foi encontrado cabeçalho para atributo."
"Date","Data"
"Decimal Number","Número decimal"
"Default option value is not defined","Valor por omissão de opção não definido"
"Default option value is not defined.","O valor por omissão não está definido."
"Default Product Listing Sort by not exists on Available Product Listing Sort by","Ordenação padrão de listagem de produtos não existe na listagem de produtos disponíveis para ordenar"
"Default Value","Valor por omissão"
"Delete","Remover"
"Dropdown","Lista de seleção"
"EAV types and attributes","Tipos e Atributos EAV"
"Email","Email"
"Entity collection expected","Coleção de Entidades esperada"
"Entity collection expected.","Esperada coleção de entidades."
"Entity collections expected","Coleções de Entidades esperada"
"Entity collections expected.","Esperada coleções de entidades."
"Entity instance is not defined","A instância da entidade não está definida"
"Entity is not initialized","A entidade não foi iniciada"
"Entity is not initialized.","A entidade não foi inicializada"
"Entity object is undefined","O objeto de entidade não está definido."
"Failed to load node %s from config","Não foi possível carregar o nó %s a partir da configuração"
"Failed to load node %s from config.","Falha ao carregar o nó %s da configuração."
"For internal use. Must be unique with no spaces","Para uso interno. Tem que ser único e sem espaços"
"Form code is not defined","Código Formulário não está definido"
"Form Element with the same attribute","Elemento de formulário com o mesmo atributo"
"Form Fieldset with the same code","Fieldset de formulário com o mesmo código"
"Form Type with the same code","Tipo de Formulário com o mesmo código"
"Frontend label is not defined","Rótulo da Interface do Utilizador não está definido"
"Frontend label is not defined.","O texto da loja não está definido."
"Input Validation for Store Owner","Validação de entrada para dono da Loja"
"Integer Number","Número Inteiro"
"Invalid alias, already exists in joined attributes","Sinónimo inválido, já existe em atributos unidos"
"Invalid alias, already exists in joint attributes","Sinónimo inválido, já existe em atributos unidos"
"Invalid alias, already exists in joint attributes.","Pseudónimo inválido, já existe em atributos unidos"
"Invalid attribute name: %s","Nome de atributo inválido: %s"
"Invalid attribute name: %s.","Nome de atributo inválido: %s."
"Invalid attribute requested: %s","Pedido de atributo inválido: %s"
"Invalid attribute type","Tipo de atributo inválido"
"Invalid attribute type.","Tipo de atributo inválido."
"Invalid character encountered in increment ID: %s","Carácter inválido encontrado na ID de auto_incremento: %s"
"Invalid data object key","Chave de objeto inválida"
"Invalid date","Data Inválida"
"Invalid default date","Data por omissão inválida"
"Invalid default decimal value","Valor decimal por defeito inválido"
"Invalid EAV attribute.","Atributo EAV inválido"
"Invalid entity specified","Entidade inválida especificada"
"Invalid entity supplied","Entidade indicada inválida"
"Invalid entity supplied.","Entidade inválida especificada."
"Invalid entity supplied: %s","Entidade inválida fornecida: %s"
"Invalid entity supplied: %s.","Entidade inválida especificada. %s."
"Invalid entity type","Tipo de entidade inválido"
"Invalid entity type.","Tipo de entidade inválido."
"Invalid entity_id, skipping the record","entity_id inválida, ignorando os dados"
"Invalid entity_id, skipping the record.","entity_id inválido, ignorando o registo."
"Invalid entity_type specified: %s","entity_type inválida especificada: %s"
"Invalid foreign key","Chave estrangeira inválida"
"Invalid foreign key.","Foreign key inválida."
"Invalid form type.","Tipo de formulário inválido."
"Invalid joined fields","Joined fileds invalidos"
"Invalid joint fields","Invalid joint fields"
"Invalid joint fields.","União de campos inválido"
"Invalid store specified","Loja espeficiada inválida"
"Invalid type given. String expected","Tipo inválido. Era esperado texto"
"Joined field or attribute expression with this alias is already declared","Campo joined ou expressão do atributo com este alias já está declarado"
"Joined field with this alias (%s) is already declared","Campos joined com este alias (%s) já declarado"
"Joined field with this alias is already declared","Já existe um campo de ligação com o mesmo sinónimo"
"Joined field with this alias is already declared.","Já existe um campo unido com o mesmo pseudónimo declarado."
"Joint field or attribute expression with this alias is already declared","Joint field or attribute expression with this alias is already declared"
"Joint field or attribute expression with this alias is already declared.","Já existe um campo ou expressão de atributo unido com o mesmo pseudónimo declarado."
"Letters","Letras"
"Letters (a-z, A-Z) or Numbers (0-9)","Letras (a-z, A-Z) ou Números (0-9)"
"Loaded %d records","%d registos carregados"
"Maximum length of attribute code must be less then %s symbols","Comprimento máximo do código de atributo tem que ser inferior a %s símbolos"
"Multiple Select","Selecão Múltipla"
"No","Não"
"No options found in config node %s","Não foram encontradas opções no nó %s"
"None","Nenhum"
"Not shared with other products","Não está partilhado com outros produtos"
"Problem loading a record, aborting. Error: %s","Problema ao carregar dados, cancelando. Erro: %s"
"Problem loading the collection, aborting. Error: %s","Problema ao carregar a coleção, cancelando. Erro: %s"
"Problem saving a record, aborting. Error: ","Problema ao guardar os dados, abortar. Erro:"
"Problem saving the collection, aborting. Error: %s","Problema ao guardar a coleção, abortado. Erro: %s"
"Required","Obrigatório"
"Saved ","Guardado"
"Saved %d record(s).","Guadado(s) %s registo(s)"
"Scope must not be changed, because the attribute is used in configurable products.","O âmbito atual não pode ser alterado porque o atributo é utilizado em produtos conflagráveis."
"Source model "%s" not found for attribute "%s"","Source model "%s" not found for attribute "%s""
"System","Sistema"
"Text Area","Área de texto"
"Text Field","Campo de texto"
"The attribute code '%s' is reserved by system. Please, try another attribute code.","O código do atributo '%s' está reservado pelo sistema. Por favor tente novamente com um outro código."
"The attribute code '%s' is reserved by system. Please try another attribute code","O código do atributo '%s' é reservado pelo sistema. Por favor insira outro código de atributo"
"The attribute code '%s' is reserved by system. Please try another attribute code.","O código do atributo '%s? está reservado pelo sistema. Por favor tente outro código de atributo."
"The value of attribute "%s" must be unique","O valor do atributo "%s" tem que ser único"
"The value of attribute "%s" must be unique.","O valor do atributo "%s" tem que ser único."
"This attribute is used in configurable products","O atributo é utilizado na configuração de produtos"
"This attribute is used in configurable products.","Este atributo é utilizado em produtos configuráveis."
"Unique Value","Valor único"
"Unique Value (not shared with other products)","Valor único (não é partilhado com outros produtos)"
"Unknown parameter","Parâmetro desconhecido"
"Unknown parameter.","Parâmetro Desconhecido."
"URL","Url"
"Valid store_id is expected!","Era esperado uma store_id válida"
"Valid store_id is expected.","Esperado um valor válido para store_id"
"Value of attribute "%s" must be unique","O valor do atributo "%s" tem que ser único"
"Values Required","Valores Necessários"
"Wrong attribute group ID","ID de atributo de grupo inválida"
"Wrong attribute group ID.","ID do grupo de atributos Inválido"
"Wrong attribute ID","ID de atributo errado"
"Wrong attribute ID.","ID de Atributo Inválido"
"Wrong attribute set ID","ID de atributo errado"
"Wrong attribute set ID.","ID do grupo de atributos inválido"
"Wrong entity ID","ID de entidade errada"
"Wrong entity ID.","ID da entidade inválido."
"Wrong type definition for %s","Tipo de definição inválido para %s"
"Yes","Sim"
"Yes/No","Sim/Não"
