"Account login","Nome de utilizador"
"Account password","Palavra-passe"
"Account Type","Tipo de Conta"
"Active","Ativo"
"Add Attribute Mapping","Adicionar atributo de mapeamento"
"Add New Attribute","Adicionar novo atributo"
"Add to Google Base","Adicionar ao Google Base"
"Are you sure?","Tem a certeza?"
"Attribute","Atributo"
"Attribute Set","Grupo de Atributos"
"Attribute Set and Item Type","Grupo de Atributos e Tipo de item"
"Attributes","Atributos"
"Attributes mapping","Mapeamento de Atributos"
"Attributes Set","Grupo de Atributos"
"AuthSub","AuthSub"
"Available Products","Produtos disponiveís"
"Base Currency should be set to %s for %s in system configuration. Otherwise item prices won't be correct in Google Base.","Moeda base deve ser definida para %s para %s na configuração do sistema. Caso contrário o preços dos itens não estará correto no Google Base."
"British Pound Sterling","Libra Esterlina Britânica"
"Cannot update Google Base Item for Store '%s'","Não foi possível atualizar o oogle Base item para a Loja %s"
"Captcha confirmation error: %s","Erro de confirmação do captcha: %s"
"Captcha confirmed successfully","Captcha confirmado com sucesso"
"Captcha has been confirmed.","A imagem de verificação foi confirmada."
"Catalog","Catálogo"
"Clicks","Cliques"
"ClientLogin","Inicio de Sessão do Cliente"
"Confirm","Confirmar"
"Current Mapping will be reloaded. Continue?","Mapeamento atual será recarregado. Continuar?"
"Custom attribute, no mapping","Atributo personalizado sem mapeamento"
"Default Store (%s)","Loja por omissão (%s)"
"Delete","Remover"
"Delete Mapping","Remover Mapeamento"
"Edit Item Type","Editar Tipo de Item"
"Edit Item Type "%s"","Editar Tipo de Item "%s""
"Error: %s","Erro: %s"
"Euro","Euro"
"Expires","Expira"
"Germany","Alemanha"
"Google","Google"
"Google Base","Google base"
"Google Base Attribute","Atributo do Google Base"
"Google Base ID","Google Base ID"
"Google Base Item Type","Tipo de Item do Google Base"
"Google Base Items","Itens do Google Base"
"Hide","ocultar"
"Hosted","Alojamento Próprio"
"Hosted or Google","Alojamento Próprio ou Google"
"Impr.","Impr."
"Invalid Product Model for Google Base Item","Modelo de Produto inválido para o Item Google Base"
"Item model is not specified to delete Google Base entry","O modelo do item não está especificado para remover o registo Google Base"
"Item model is not specified to delete Google Base entry.","O modelo do item não está especificado para remover a entrada no Google Base."
"Item Type was deleted","O tipo de Item foi removido"
"Item type was successfully saved","Tipo de item guardado corretamente"
"Item Types","Tipos de Itens"
"Items","Itens"
"Manage Attribute Mapping","Gerir Mapeamento de Atributos"
"Manage Attributes","Gerir Atributos"
"Manage Items","Gerir Itens"
"New Item Type","Novo tipo de Item"
"New ItemType","Novo ItemType"
"No","Não"
"No items were deleted from Google Base","Não foram removidos itens do Google Base"
"No items were published","Não foram publicados itens"
"No items were saved as Inactive items","Não foram guardados itens como Itens Inativos"
"No products were added to Google Base","Não foram adicionados produtos ao Google Base"
"Object model is not specified to save Google Base entry","Modelo de Objecto não está especificado para guardar o registo do Google Base"
"Object model is not specified to save Google Base entry.","O modelo do item não está especificado para guardar a entrada no Google Base."
"Page views","Visualizações"
"Please, select Attribute Set and Google Item Type to load attributes","Por favor, selecione Grupo de Atributos e Tipo de Item do Google para carregar os atributos"
"Product Name","Nome Produto"
"Publish","Publicar"
"Published","publicado"
"Remove","Remove"
"Save Mapping","Guardar Mapeamento"
"Session expired during export. Please revise exported products and repeat the process if necessary.","A sessão expirou durante a exportação. Por favor analise os produtos exportados e repita o processo se necessário."
"Synchronize","Sincronizar"
"Target Country","País de Destino"
"The item type has been saved.","O tipo de item foi guardado."
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Esta ação irá atualizar as estatísticas dos itens e remover os que não estão disponíveis no Google Base. Continuar?"
"Total of %d items(s) have been deleted; total of %d items(s) have been updated.","Um total de %d item(ns) foram removidos. Um total de %d item(ns) foram atualizados."
"Total of %d items(s) have been published.","Um total de %d produtos foram publicados."
"Total of %d items(s) have been removed from Google Base.","Um total de %d item(ns) foram removidos do Google Base"
"Total of %d items(s) have been saved as inactive items.","Um total de %d item(ns) foram marcados com inativos."
"Total of %d items(s) were successfully deleted, Total of %d items(s) were successfully updated","Foram removidos %d item(ns) e %d foram atualizados"
"Total of %d items(s) were successfully published","%d Item(ns) foram corretamente publicados"
"Total of %d items(s) were successfully removed from Google Base","%d Item(ns) foram corretamente removidos do Google Base"
"Total of %d items(s) were successfully saved as Inactive items","%d Item(ns) foram guardados como Itens Inativos"
"Total of %d product(s) have been added to Google Base.","Um total de %d item(ns) foram adicionados ao Google Base."
"Total of %d product(s) were successfully added to Google Base","%d produto(s) foram adicionados ao Google Base"
"Unable to connect to Google Base. Please, check Account settings in configuration.","Incapaz de se ligar ao Google Base. Por favor verifique as as opções da conta em configuração"
"Unable to select a Store View.","Não é possível selecionar uma Vista de Loja."
"United Kingdom","Reino Unido"
"United States","Estados Unidos"
"Update Google Base item when product is updated","Atualizar o item no Google Base quando o produto for atualizado"
"US Dollar","US Dollar"
"View Available Products","Visualizar produtos disponíveis"
"View Item in Google Base","Visualizar item no Google Base"
"Yes","Sim"
