"* Select shipping method","* Selecione o método de envio"
"<br />Warning: <strong>%s</strong><br />","<br />Atenção: <strong>%s</strong><br />"
"<strong style="color:red">Warning!</strong> This option disables the merchant calculated shipping. With this option, Google API ignores any attempt to affect shipping prices.","<strong style="color:red">Atenção!</strong> Esta opção desativa o montante de envio calculado pelo comerciante. Com esta opção, a API do Google ignora qualquer tentativa para alterar preços de envio."
"A virtual item to reflect the discount total","Um item virtual para refletir o total de desconto"
"A virtual item to reflect the tax total","Um item virtual para refletir o total de imposto"
"Add","Adicionar"
"Add Shipping Method","Adicionar Método de Envio"
"Allowed Methods","Allowed methods"
"Amount: %s","Valor: %s"
"Auto-generated from GoogleCheckout Charge","Gerado Automaticamente do GoogleCheckout Charge"
"AVS Status: %s","Estado AVS: %s"
"Buyer account age: %s days","Tempo da conta de comprador: %s dias"
"Carrier Calculated Methods","Métodos calculados pelo transportador"
"Cart Discount","Desconto carrinho"
"CC Partial: xxxx-%s","CC Parcial: xxx-%s"
"Checkout Image Style","Estilo da Imagem de finalização encomenda"
"CID Status: %s","Estado CID: %s"
"Continue Shopping URL","URL de Continuar a comprar"
"Credit memo has been created automatically","Nota de crédito foi criada automaticamente"
"Debug","Debug"
"Default Package Height (in)","Altura por defeito da embalagem (in)"
"Default Package Length (in)","Comprimento por defeito da embalagem (in)"
"Default Package Width (in)","Largura por defeito da embalagem (in)"
"Default price for methods","Preço por omissão para os métodos"
"Default price:","Preço por omissão:"
"Delivery Address Category","Categoria de endereço de entrega"
"Delivery schedule","Horário de entrega"
"Disable Default Tax Tables","Desativar Tabelas de Imposto por Defeito"
"Discount Tax","Desconto Imposto"
"Eligible for protection: %s","Proteção elegível para: %s"
"Enable","Ativar"
"Enable Carrier Calculated","Ativar cálculo efetuado pelo transportador"
"Enable Digital Delivery","Ativar entrega digital"
"Enable Flat Rate","Ativar Taxa Fixa"
"Enable Merchant Calculated","Ativar cálculo pelo comerciante"
"Enable this if your checkout request is too big and being cut off.","Ative se o seu processo de finalização é demasiado grande e está a ser recusado"
"Expiration: %s","Expiração: %s"
"Financial: %s -> %s","Financeiro: %s -> %s"
"Free Shipping","Envio gratuito"
"Fulfillment: %s -> %s","Cumprimento: %s -> %s"
"Google API","API Google"
"Google Authorization:","Autorização Google:"
"Google Buyer Id: %s","ID Comprador Google: %s"
"Google Charge:","Cobrança Google:"
"Google Chargeback:","Reembolso Google:"
"Google Checkout","Finalizar Encomenda com o Google"
"Google Checkout Shipping - Carrier Calculated","Finalizar Encomenda Google - Transporte"
"Google Checkout Shipping - Digital Delivery","Google Checkout Shipping - Entrega Digital"
"Google Checkout Shipping - Flat Rate","Envio Finalização encomenda Google - taxa fixa"
"Google Checkout Shipping - Merchant Calculated","Finalizar Encomenda Google - Comerciante"
"Google Checkout: %s","Finalizar Encomenda com o Google: %s"
"Google Order Number: %s","Número Encomenda Google: %s"
"Google order status change:","O estado da encomenda no Google Alterou-se:"
"Google Refund:","Reembolso Google:"
"Google Risk Information:","Informação de Riso Google:"
"Hide Cart Contents","Ocultar Conteúdo do Carrinho de Compras"
"Hide Cart Contents During Checkout","Ocultar o conteúdo do carrinho durante a Finalização da Encomenda"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if "Edit Cart" link was activated.","Se ativo, o conteúdo do carrinho de compras será ocultado depois de clicar no botão Google Checkout, e mostrado novamente se o link "Editar Carrinho" estiver ativo"
"Invoice auto-created: %s","Fatura gerada automaticamente: %s"
"IP Address: %s","Endereço IP: %s"
"Is Buyer Willing To Receive Marketing E-Mails: %s","O cliente está disposto a receber emails de Marketing: %s"
"Is Buyer Willing to Receive Marketing Emails: %s","Está o Cliente Disponível para receber Emails de Marketing: %s"
"Large - %s","Grande - %s"
"Latest Charge: %s","Última Cobrança: %s"
"Latest Chargeback: %s","Último Reembolso: %s"
"Latest Refund: %s","Último Reembolso: %s"
"Location","Localização"
"Medium - %s","Médio - %s"
"Merchant ID","ID Comerciante"
"Merchant Key","Chave Comerciante"
"Method","Método"
"New order status","Estado Nova Encomenda"
"No","Não"
"Optional, leave empty for home page.","Opcional. Deixe em branco para a Página Principal"
"Rate 1 Amount","Taxa 1 Montante"
"Rate 1 Ship To Applicable Countries","Taxa 1 Envio para países Aplicáveis"
"Rate 1 Ship to Specific Countries","Taxa 1 Envio para Países Específicos"
"Rate 1 Title","Taxa 1 Título"
"Rate 2 Amount","Taxa 2 Montante"
