"-- Please Select --","-- Por Favor Selecione --"
"Account Registration","Registo de Conta"
"All fields of script types have to be filled.","Todos os campos de tipos de scripts tem que ser preenchidos"
"Attributes","Atributos"
"Category View Optimization","Optimização da vista de categoria"
"Control Script","Script de Controlo"
"Conversion Page","Página de Conversão"
"Conversion Page URL","Url da página de conversão"
"Conversion Script","Script de Conversão"
"Enable","Ativar"
"Google Optimizer Scripts","Scripts de optimização Google"
"Google Website Optimizer","Optimizador de sites Google"
"Install Scripts","Scripts de instalação"
"Limit is 8 attributes only.","O limite é de apenas 8 atributos."
"Multi Address Checkout","Finalização com múltiplos-endereços"
"One Page Checkout","Finalizar encomenda numa página apenas"
"Order Success (Multi Address Checkout)","Sucesso Encomenda (Finalização com múltiplos-endereços)"
"Order Success (One Page Checkout)","Sucesso Encomenda (Finalização numa única página )"
"Original Page","Página original"
"Other","Outro"
"Page Type","Tipo Página"
"Page View Optimization","Optimização da visualização da página"
"Please copy and paste this value to experiment edit form","Por favor copie e cole este valor para experimentar o formulário de edição"
"Please copy and paste this value to experiment edit form.","Por favor, copie e cole este valor para experimentar a edição do formulário."
"Please select store view to see the URL","Por favor selecione a Vista de Loja para visualizar a URL"
"Please select store view to see the URL.","Por favor, selecione uma vista de loja para ver a URL."
"Product View Optimization","Optimização da visualização do Produto"
"Scripts Install URL","Url scripts de instalação"
"Shopping Cart","Carrinho de Compras"
"The limit is 8 attributes only.","O limite são apenas 8 atributos."
"Tracking Script","Script de monitorização"
"Use Default","Utilizar por omissão"
"Use Default Values","Utilizar valores por omissão"
"Variant Page","Página variável"
