"(Make sure you keep it in a safe place.)","(Anote-a num local seguro)"
"(Optional. Leave blank for no prefix)","(Opcional. Deixe em branco para não utilizar prefixo)"
"(ver. %s)","(versão %s)"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","Caminho adicional a adicionar após da URL base para aceder ao seu painel administrativo. (ex: admin, backend, contorlo etc)"
"Admin Path","Caminho de administração"
"After successfull installation please click the button below.","Após instalação com sucesso, por favor clique no botão abaixo."
"All packages were installed successfully, click 'Ok' to continue with installation","Todos os pacotes foram instalados com sucesso, clique em 'OK' para continuar a instalação"
"All packages were installed, click 'OK' to continue with installation.","Todos os pacotes foram instalados, click "OK" para continuar a instalação."
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","Em alternativa pode tentar o método 'Transferir e atualizar manualmente'."
"Base URL","Url Base"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Antes de prosseguir para a sua loja, tome nota da sua chave de encriptação (O Magento utiliza-a para encriptar palavras-passe, cartões de crédito entre outros)."
"Check out our","D&ecirc; uma vista de olhos na nossa"
"Check this box only if it is not possible to automatically validate Base URL.","Assinale esta caixa apenas se não for possível validar automaticamente a URL base"
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Assinale esta caixa apenas se não for possível validar automaticamente a URL segura, por exemplo se for necessária uma autenticação HTTP"
"Check this box only if it is not possible to automatically validate the Base URL.","Marque esta caixa se não for possível validar automaticamente a URL Base."
"Choose this if you would like to test frontend and backend functionality.","Escolha esta opção de deseja testar o frontend e backend."
"Configuration","Configuration"
"Confirm Password","Confirmar palavra-passe"
"Connection","Ligação"
"Continue","Continuar"
"Continue After Manual Download","Continuar após Transferência Manual"
"Continue Full Download / SVN Installation","Continuar transferência total / Instalação SVN"
"Create Admin Account","Criar conta administrativa"
"Currently this is the most stable state available for Magento packages.","Atualmente esta é a versão mais estável disponível para pacotes do Magento."
"Database","Base de dados"
"Database Connection","Ligação à Base de Dados"
"Database connection error","Erro com ligação à base de dados"
"Database connection error.","Erro de ligação à base de dados."
"Database host","Servidor de Base de Dados"
"Database Name","Nome da Base de Dados"
"Database Name cannot be empty.","O nome da base de dados não pode ficar vazio"
"Database server does not support InnoDB storage engine","O servidor de Base de Dados não suporta o motor de armazenamento InnoDB"
"Database server does not support the InnoDB storage engine.","O servidor de dados não suporta o motor de armazenamento InnoDB."
"Database server version does not match system requirements (required: %s, actual: %s)","A versão da base de dados não se enquadra nos requisitos do sistema (requerida: %s, atual: %s)"
"Database Type","Tipo de Base de Dados"
"Database user name","Nome de Utilizador da Base de Dados"
"Database user password","Nome de Utilizador da Base de Dados"
"Default Currency","Moeda por omissão"
"Download","Transferir"
"Download Magento Core Modules and Updates","Descarregar Módulos Principais do Magento e Atualizações"
"Downloading and installing Magento, please wait...","A transferir e a instalar o Magento, por favor aguarde..."
"Email","Email"
"Email Address","Endereço de Email"
"Enable Charts","Permitir Gráficos"
"Enable this option if you want the charts to be displayed on Dashboard.","Ative esta opção se deseja que os gráficos sejam mostrados no Painel de Controlo"
"Enable this option only if you have SSL available.","Ative esta opção apenas se tiver SSL disponível."
"Encryption Key","Chave de Encriptação"
"File system","Ficheiro de Sistema"
"First Name","Primeiro Nome"
"Full Download / SVN Installation","Transferir Total / Instalação SVN"
"Get ready to experience Open-Source eCommerce Evolved.","Prepara-se para experimentar a evolução do Comércio Eletrónico Open-Source"
"Go to Backend","Ir para a administração"
"Go to Frontend","Ir para a Loja"
"Having trouble installing Magento?","Problemas com a instalação do Magento?"
"Help Us to Keep Magento Healthy","Ajude-nos a melhorar o Magento"
"Host","Servidor"
"I agree to the above terms and conditions","Eu concordo com os termos e condições acima"
"I agree to the above terms and conditions.","Concordo com os termos e condições acima descritos."
"If you are a developer and would like to have the latest public updates, choose this option.","Se é um programador e deseja possuir as últimas atualizações, assinale esta opção."
"If you are running install wizard over previously downloaded and installed Magento installation, proceed with this method.","Se está a correr este assistente depois de ter transferido e instalado o Magento, continue com esta opção."
"If you are running PHP as CGI, your PHP processes may run under the same user as the user you used when uploading Magento files.","Se está a correr o PHP como CGI, o seu processo de PHP pode correr com o mesmo utilizador que utiliza quando carrega ficheiros do Magento"
"If you are running the install wizard over a previously downloaded and installed Magento installation, proceed with this method.","Se está a correr este assistente numa instalação previamente, prossiga com este método"
"If you do not wish or are not able to have Magento folders writeable for the web process, you could use PEAR executable located in the root of Magento installation.","Se não deseja ou não pode dar permissões de escrita às pastas do Magento para o processo Web, pode utilizar PEAR localizado na root da instalação do Magento."
"If you have downloaded the full package or installed Magento through SVN, you should skip packages installation and validation by clicking the button below.","Se descarregou o pacote completo ou instalou o Magento através de SVN, deve ignorar a instalação de pacotes e validação e clicar no botão abaixo."
"If you wish to manage Magento packages through the web admin interface, you will need to have web writeable permissions applied to all Magento folders and files.","Se deseja gerir os pacotes Magento através da Web, necessita de ter permissões de escrita em todos os ficheiros e pastas do Magento."
"If your server is running on MS Windows, most probably you will not need to change anything.","Se o seu servidor corre em Windows, é provável que não tenha que alterar nada."
"In other cases you will need to make Magento files writeable for the user that the web server process is running under.","Em outros casos necessita de dar permissões de escrita aos ficheiros Magento para o utilizador em que corre o processo web server."
"Installation","Instalação"
"Installation Guide","Guia de Instalação"
"Last Name","Apelido"
"License Agreement","Acordo de Utilização"
"Locale","Região"
"Locale settings","Configurações região"
"Localization","Localização"
"Login Information","Informação de inicio de sessão"
"Magento","Magento"
"Magento Connect Manager Deployment","Magento Connect Manager Deployment"
"Magento Installation Wizard","Assistente de Instalação do Magento"
"Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.","Magento &trade; é uma marca registada de Irubin Consulting Inc. DBA Varien. &copy; Copyright 2007"
"Magento is a trademark of Magento Inc. Copyright &copy; %s Magento Inc.","Magento é uma marca registada de Magento Inc. Copyright &copy; %s Magento Inc."
"Magento uses this key to encrypt passwords, credit cards and more. If this field is left empty the system will create an encryption key for you and will display it on the next page.","Magento utiliza esta chave para encriptar palavras-passe, cartões de crédito e mais. Se deixar este campo em branco o sistema irá criar uma chave automaticamente e irá mostrá-la na página seguinte"
"Manual Downloads and Upgrades","Transferir e Atualizar Manualmente"
"No resource for %s DB model.","Sem resource para o model %s DB"
"One from PHP Extensions "%s" must be loaded","Uma das extensões do PHP "%s" tem que ser carregada"
"One of PHP Extensions "%s" must be loaded.","Uma das extensões PHP "%s" tem que estar carregadas."
"Package Management through the Web","Gestão de Pacotes através da Web"
"Password","Senha"
"Password Confirmation","Confirmação da Palavra-passe"
"Path "%s" must be writable","O caminho "%s" tem que ter permissões de escrita"
"Path "%s" must be writable.","O caminho "%s" tem que ter permissão de escrita."
"Personal Information","Informação Pessoal"
"PHP Extension "%s" must be loaded","A extensão do PHP "%s" tem que ser carregada"
"PHP extension "%s" must be loaded.","A extensão PHP "%s" tem que estar carregada."
"PHP Extension '%s' loaded","Extensão do PHP '%s' carregada"
"Please correct the user data and try again.","Por favor, corrija os dados do utilizador e tente novamente."
"Please make sure that <code>mod_rewrite</code> is enabled in Apache configuration.","Por favor certifique-se que <code>mod_rewrite</code> está disponível na configuração Apache"
"Please note that it is much less stable than beta.","Por favor note que é menos estável que uma versão beta"
"Please note that only UNIX, Linux and Mac OS X shells are currently supported. For Windows use the '%s' option.","Por favor, apenas os sistemas operativos UNIX, Linux e Mac OS X são suportados. Para windows utilize a opção '%s'."
"Please note that only UNIX, Linux and Mac OSX shells are currently supported. For Windows use the '%s' option.","De momento apenas as shells UNIX, Linux e Mac OS X são suportadas atualmente. Para Windows utilize a opção '%s'"
"Please set all required settings before clicking Continue","Por favor defina todas as opções obrigatórias antes de continuar"
"Preferred stability: %s","Estabilidade preferida: %s"
"Proceed With Automatic Download (%s)","Preceder com o descarregamento automático (%s)"
"Provide a complete base URL for SSL connection. For example: %s","Insira uma URL completa para a conexão SSL. Por exemplo: %s"
"Report All Bugs","Reportar todos os erros"
"Required Fields","Campos obrigatórios"
"Response from server isn't valid.","Resposta do servidor inválida."
"Run admin interface with SSL","Correr a administração com SSL"
"Run this in your shell from Magento root folder:","Corra o seguinte na sua Shell a partir da pasta root do Magento"
"Save session data in","Guardar dados da sessão em"
"Save session files in","Guardar ficheiros da sessão em"
"Secure Base URL","Base URL Segura"
"Session storage options","Opções de Sessão"
"Setting preferred state to: %s","Definir estado predefinido para: %s"
"Skip Base URL validation before next step","Ignorar validação da URL base antes do próximo passo"
"Skip Base URL Validation Before the Next Step","Ignorar Validação de URL Base Antes do próximo Passo"
"Skip Secure URL validation before next step","Saltar a validação de URL segura antes do próximo passo"
"Table prefix should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","O prefixo das tabelas deve conter apenas letras (a-z), números (0-9) ou sublinhado (_), o primeiro carácter deve ser uma letra"
"Tables Prefix","Prefixo das tabelas"
"The database server version does not match system requirements (required: %s, actual: %s).","A versão do servidor de base de dados não cumpre os requisitos (Requisitos: %s, atual: %s)."
"The table prefix should contain only letters (a-z), numbers (0-9) or underscores (_), the first character should be a letter.","O prefixo das tabelas devem conter apenas letras (a-z), números (0-9) ou underscores(_) e o primeiro caracter tem que ser uma letra."
"The URL "%s" is invalid.","A URL "%s" é inválida."
"The URL "%s" is not accessible.","A URL "%s" não está acessível."
"There was a problem installing Magento packages. Please read the log, correct errors and retry again.","Ocorreu um erro ao instalar os pacotes. Por favor leia o registo de erros, corrija-os e tente novamente."
