" Copy","Copiar"
"<!-- This tag is for unsubscribe link  --> Follow this link to unsubscribe <a href="{{var subscriber.getUnsubscriptionLink()}}">{{var subscriber.getUnsubscriptionLink()}}</a>","<!-- Esta tag é para o link de cancelamento da subscrição --> Clique neste link para cancelar a subscrição <a href="{{var subscriber.getUnsubscriptionLink()}}">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Action","Ação"
"Add New Template","Adicionar novo Template"
"Add to Queue","Adicionar à lista de espera"
"Allow Guest Subscription","Autorizar subscrição de convidados."
"An error occurred while saving your subscription.","Ocorreu um erro enquanto estava a guardar a sua subscrição."
"Are you sure that you want to delete this template?","Tem a certeza que deseja remover o Template?"
"Are you sure that you want to strip all tags?","Tem a certeza que deseja remover todas as etiquetas?"
"Back","Voltar"
"Cancel","Cancelar"
"Cancelled","Cancelado"
"Cannot delete subscriber","Não é possível remover o subscritor"
"Cannot delete template","Não é possível remover o Template"
"Cannot mark as received subscriber","Não é possível marcar como subscritor inscrito"
"Cannot mark as received subscriber.","Não é possível marcar como subscritor recebido."
"Cannot save your subscription: %s","Não é possível guardar a sua subscrição: %s"
"Confirmation Email Sender","Remetente do Email de Confirmação"
"Confirmation Email Template","Template Confirmação Email"
"Confirmation request has been sent","Foi enviado o pedido de confirmação"
"Confirmation request has been sent.","Foi enviado um pedido de confirmação."
"Convert to Plain Text","Converter para texto"
"Create Newsletter Template","Criar Template de Newsletter"
"Customer","Cliente"
"Customer First Name","Primeiro nome do Cliente"
"Customer Firstname","Primeiro Nome Cliente"
"Customer Last Name","Último nome do Cliente"
"Customer Lastname","Apelido do Cliente"
"Customer My Account Newsletter Subscriptions","Subscrições de Newsletter da Minha Conta de Cliente"
"Date Added","Data Adição"
"Date Updated","Data de atualização"
"Delete","Remover"
"Delete Selected Problems","Remover problemas selecionados"
"Delete Template","Remover Template"
"Do you really want to cancel the queue?","Tem a certeza que deseja cancelar a lista de espera?"
"Duplicate of template code","Duplicado do código de Template"
"Duplicate template code.","Duplicar código de template"
"Edit Newsletter","Editar Newsletter"
"Edit Newsletter Template","Editar Template de Newsletter"
"Edit Queue","Editar lista de espera"
"Edit Template","Editar Template"
"Email","Email"
"Enter your email address","Insira o seu endereço de email"
"Error Code","Código de Erro"
"Error Text","Mensagem erro"
