"An error occurred while clearing the external full page cache.","Ocorreu um erro ao limpar o cache externo de página completa"
"Cookie Lifetime (seconds)","Tempo de Vida do cookie (segundos)"
"Enable External Cache","Ativar cache externo"
"External Cache Control","Controlo de Cache Externo"
"External Full Page Cache Settings","Definições de Cache Externo de Página Completa"
"External full page cache.","Cache Externo de Página Completa"
"Failed to load external cache control","Falha ao carregar controlo de cache externo"
"Flush External Page Cache","Esvaziar Cache Externo de Página Completa"
"If empty, default value will be used.","Se vazio, será utilizador o valor por omissão."
"The external full page cache has been cleaned.","O cache externo de página completa foi limpo."
"Zend Full Page Cache","Cache de Página Completa Zend"
