"%s %s %s - %s. %s. %s","%s %s %s - %s. %s. %s"
"3D Secure","3D Secure"
"3D Secure Card Validation","Validação Cartão 3D Secure"
"Accepted Currency","Moeda Aceite"
"Allow Partial Authorization","Permitir Autorização Parcial"
"amount %s","montante %s"
"API Login ID","Login ID API"
"Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment.","Tem a certeza que deseja cancelar o pagamento? Clique Ok para cancelar o pagamento e libertar o montante cativo. Clique cancelar para inserir outro cartão de crédito e continuar com o pagamento."
"authorize","autorizar"
"Authorize and Capture","Autorizar e cativar"
"Authorize Only","Autorizar apenas"
"Authorize.net","Authorize.net"
"Authorize.Net Transaction ID %s","Authorize.Net Transaction ID %s"
"Cancel","Cancelar"
"capture","Cativar"
"Centinel Api URL","URL API Centinel"
"Credit Card Types","Tipos Cartão Crédito"
"Credit Card Verification","Verificação Cartão Crédito"
"Credit Card: xxxx-%s","Cartão de Crédito: xxxx-%s"
"Debug","Debug"
"Email customer","Email Cliente"
"Enabled","Ativo"
"Error in authorizing the payment","Erro ao autorizar o pagamento"
"Error in capturing the payment","Erro ao proceder ao pagamento"
"Error in capturing the payment.","Erro ao cobrar pagamento."
"Error in payment gateway","Erro ao processar pagamento (no gateway)"
"Error in payment gateway.","Erro no gaeway de pagamento"
"Error in refunding the payment","Erro ao reembolsar o pagamento"
"Error in refunding the payment.","Erro ao reembolsar o pagamento."
"Error in retrieving the transaction","Erro ao receber transação"
"failed","Falhado"
"Fraud order status","Estado de encomendas Fraudulentas"
"Gateway actions are locked because the gateway cannot complete one or more of the transactions. Please log in to your Authorize.Net account to manually resolve the issue(s).","Ações junto do provedor do serviço de pagamento estão bloqueadas porque este não conseguiu completar uma ou mais transações. Por favor inicie sessão na sua conta Authorize.net para revolver este erro manualmente."
"Gateway error: %s","Erro Gateway: %s"
"Gateway request error: %s","Erro de pedido ao Gateway: %s"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Se vazio será utilizado o valor por omissão. URL personalizada pode ser cedida pelo acordo CardinalCommerce."
"Invalid amount for authorization","Montante inválido para autorização"
"Invalid amount for authorization.","Montante inválido para autorização."
"Invalid amount for capture.","Montante para cativação inválido"
"Invalid amount for partial authorization.","Montante para cobrança parcial inválido"
"Invalid amount for refund.","Montante para reembolso inválido"
"Invalid split tenderId ID.","Invalid split tenderId ID."
"Invalid transaction id","Id de transação inválido"
"Invalid transaction ID.","ID transação inválido."
"Maximum Order Total","Total Máximo Encomenda"
"Merchant Login","Início Sessão Comerciante"
"Merchant's email","Email Comerciante"
"Minimum Order Total","Mínimo Total Encomenda"
"New order status","Estado Nova Encomenda"
"Partner","Parceiro"
"Password","Senha"
"Payflow Pro","Payflow Pro"
"Payment Action","Ação Pagamento"
"Payment authorization error.","Erro autorização pagamento"
"Payment authorization transaction has been declined.","A autorização de pagamento da transação foi recusado"
"Payment canceling error.","Erro ao cancelar pagamento."
"Payment capturing error.","Erro ao cobrar pagamento."
"Payment from applicable countries","Pagamento de países aplicáveis"
"Payment from Specific countries","Pagamento de países específicos"
"Payment partial authorization error.","Erro na autorização parcial pagamento."
"Payment refunding error.","Erro ao reembolsar pagamento."
"Payment updating error.","Erro ao atualizar pagamento."
"Payment voiding error.","Erro ao anular pagamento."
"Processed Amount","Montante Processado"
"Proxy Host","Servidor Proxy"
"Proxy Port","Porta Proxy"
"refund","Reembolso"
"Remaining Balance","Montante Restante"
"Severe 3D Secure Card Validation","Validação Severe 3D Secure Card"
"Severe Validation Removes Chargeback Liability on Merchant","A Validação Severe retira a responsabilidade ao comerciante em caso de pedido de reembolso"
"Shopping cart contents and/or address has been changed.","O conteúdo do carrinho de compras e/ou endereços foi alterado."
"Sort order","Ordenar Encomenda"
"successful","Successful"
"TENDER","ENCARREGADO"
"Test mode","Modo de testes"
"The amount on your credit card is insufficient to complete your purchase. The available amount has been put on hold. To complete your purchase click OK and specify additional credit card number. To cancel the purchase and release the amount on hold, click Cancel.","O montante disponível no seu cartão de crédito é insuficiente para completar esta encomenda. O montante disponível foi colocado em espera. Para completar a sua encomenda clique em O e especifique um cartão de crédito adicional. Para cancelar a encomenda e libertar o montante cativo clique em Cancelar."
"There was an error canceling transactions. Please contact us or try again later.","Ocorreu um erro ao cancelar transações. Por favor entre em contacto connosco ou tente novamente."
"Title","Título"
"Transaction key","Chave de Transação"
"URL","Url"
"Use Proxy","Usar Proxy"
"User","Utilizador"
"VERBOSITY","VERBOSITY"
"void","Vazio"
"Voided transaction","Transação anulada"
"You have reached the maximum number of credit card allowed to be used for the payment.","Chegou ao limite máximo de cartões de crédito permitidos no processo de pagamento."
"You have reached the maximum number of credit cards that can be used for one payment. The available amounts on all used cards were insufficient to complete payment. The payment has been cancelled and amounts on hold have been released.","Atingiu o limite máximo de cartões de crédito que podem ser utilizados por encomenda. Os montantes disponíveis não foram suficientes para completar a sua encomenda. O pagamento foi cancelado e todos os montantes cativos foram libertados."
"Your credit card has been declined. Click OK to specify another credit card to complete your purchase. Click Cancel to release the amount on hold and select another payment method.","O seu cartão de crédito foi recusado. Clique em Ok para especificar outro cartão para finalizar a sua encomenda. Clique em Cancelar para libertar o montante cativo e selecionar outro método de pagamento."
"Your order has not been placed, because contents of the shopping cart and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent cart contents.","A sua encomenda não foi realizada porque o conteúdo do seu carrinho de compras ou endereço foi alterado. Montantes autorizados do pagamento anterior que estivessem cativos foram libertados. Por favor inicie o processo de pagamento para o conteúdo mais recente do seu carrinho."
"Your payment has been cancelled. All authorized amounts have been released.","O seu pagamento foi cancelado. Todos os montantes autorizados foram libertados."
