"%s %s cycle.","ciclo %s %s"
"--Please Select--","--Por favor selecione--"
"3D Secure Card Validation","Validação Cartão 3D Secure"
"3D Secure Credit Card Validation","Validação de Cartão de Crédito 3D Secure"
"<label>Make Check payable to:</label> %s","<label>Cheque à ordem de:</label> %s"
"<label>Make Check payable to</label>: %s","<label>Cheque à ordem de:</label>: %s"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","É necessário um valor para o modo ativo. Por favor verifique o seu contracto com CardinalCommerce"
"Allow Initial Fee Failure","Permitir Falha Primeiro Taxa"
"An internal reference ID is required to save the payment profile.","Um ID interno de referência é necessário para guardar o perfil de pagamento."
"Auto Bill on Next Cycle","Faturar Automaticamente no próximo Ciclo"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","Saldar automaticamente a dívida no próximo ciclo de faturação (se existirem pagamentos falhados)"
"Automatically invoice all items","Faturar automaticamente todos os itens"
"Billing Agreement status is not set.","Estado do Acordo de Faturação não definido"
"Billing Amount","Montante a Faturar"
"Billing Frequency","Frequência a Faturar"
"Billing Period","Período de Faturação"
"Billing Period Unit","Unidades de Período de Faturação"
"Billing period unit is not defined or wrong.","Período de faturação não definido ou inválido."
"Can not configuration for payment method with code: %s","Não foi possível configurar o método de pagamento com o código: %s"
"Can not retrieve payment info model object.","Não foi possível obter o modelo de objeto para a informação de pagamento"
"Can not retrieve payment method instance","Não foi possível obter a instância do método de pagamento"
"Can not retrieve payment method model object.","Não foi possível obter o objeto do modulo para o método de pagamento"
"Cannot load configuration for payment method "%s"","Não foi possível carregar a configuração para o método de pagamento "%s""
"Cannot retrieve payment method instance.","Não foi possível obter a instância do método de pagamento."
"Cannot retrieve the payment info model object.","Não foi possível obter o objeto do modelo de informação de pagamento."
"Cannot retrieve the payment method model object.","Não foi possível obter o objeto do modelo do método de pagamento."
"Card Verification Number","Número Verificação Cartão Crédito"
"Centinel API URL","URL API Centinel"
"Check / Money order","Encomenda cheque / Dinheiro"
"Credit Card Number","Número Cartão Crédito"
"Credit Card Number: %s","Cartão de Crédito Número: %s"
"Credit Card Number: xxxx-%s","Número do Cartão de Crédito: xxxx-%s"
"Credit Card Type","Tipo Cartão Crédito"
"Credit Card Type: %s","Tipo de cartão de crédito: %s"
"Credit Card Types","Tipos Cartão Crédito"
"Credit Card Verification","Verificação Cartão Crédito"
"Currency","Moeda"
"Currency code is undefined.","Código de moeda indefinido"
"Customer ID is not set.","ID Cliente não definido"
"Day","Dia"
"Debug Mode","Modo de depuração"
"Enabled","Ativo"
"Expiration Date","Data Expiração"
"Expiration Date: %s/%s","Data Validade: %s/%s"
"Full name of the person receiving the product or service paid for by the recurring payment.","Nome completo da pessoa que irá receber o produto ou serviço pago pelo pagamento recorrente."
"Initial Fee","Taxa Inicial"
"Initial non-recurring payment amount due immediately upon profile creation.","montante do pagamento inicial não-recorrentes em dívida imediatamente após a criação do perfil."
"Internal Reference ID","ID Referência Interna"
"Issue Number","Número Edição"
"Make Check payable to","Passar Cheque à Ordem de"
"Make Check payable to:","Passe Cheque à Ordem de:"
"Make Check payable to: %s","Passar Cheque à Ordem de: %s"
"Maximum Billing Cycles","Número Máximo de Ciclos de Faturação"
"Maximum Order Total","Total Máximo Encomenda"
"Maximum Payment Failures","Número Máximo de Falhas de Pagamento"
"Maximum Trial Billing Cycles","Número Máximo de Ciclos de Faturação de Testes"
"Merchant Id","ID Comerciante"
"Minimum Order Total","Mínimo Total Encomenda"
"Month","M&ecirc;s"
"N/A","N/D"
"Name on Card","Nome no cartão"
"Name on the Card","Nome no Cartão"
"Name on the Card: %s","Nome no Cartão: %s"
"New order status","Estado Nova Encomenda"
"Number of billing periods that make up one billing cycle.","Número de períodos de faturação para perfazer um ciclo de faturação"
"Overrides API URL that may be specified by a payment method.","Rescreve URL da API que possa ter sido definida por um método de pagamento."
"Password","Senha"
"Payment from applicable countries","Pagamento de países aplicáveis"
"Payment from Specific countries","Pagamento de países específicos"
"Payment ID: %s","ID pagamento: %s"
"Payment Method","Método de Pagamento"
"Payment method code is not set.","O código do pagamento não está definido."
"Payment method code is undefined.","O código do pagamento não está definido."
"Payment Methods","Métodos de pagamento"
"Payment Methods Section","Secção de Métodos de Pagamento"
"Payment profile is invalid:n%s","Perfil de pagamento inválido: n%s"
"Payment Reference ID","ID Referência de Pagamento"
