"-OR-","-OU-"
"2-pixel perimeter around the header space.","Perímetro de 2px à volta do cabeçalho"
"3D Secure","3D Secure"
"3D Secure Card Validation","Validação Cartão 3D Secure"
"3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href="http://www.paypal.com/amexupdate">http://www.paypal.com/amexupdate</a>.","3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href="http://www.paypal.com/amexupdate">http://www.paypal.com/amexupdate</a>."
"<a href="http://www.magentocommerce.com/paypal">Start accepting payments via PayPal!</a>","<a href="http://www.magentocommerce.com/paypal">Aceitar pagamentos via PayPal!</a>"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","É necessário um valor para o modo ativo. Por favor verifique o seu contracto com CardinalCommerce"
"Ability for buyer to purchase without PayPal account.","Possibilidade do comprador adquirir sem ter conta Paypal."
"Accept payments without customers leaving your website. Many popular web-hosting services and shopping carts come with the Payflow payment gateways built in, so they are easy to set up.","Aceitar pagamentos sem que os clientes tenham que sair do seu site. Muitos alojamentos populares e carrinhos de compras vem com integração Payflow, sendo assim mais fáceis de configurar."
"Accept PayPal payments in your shopping cart. PayPal will process your credit card payments through the Payflow Pro Gateway.","Aceitar pagamentos Paypal no seu carrinho de compras. Paypal irá processar os seus pagamentos através do serviço de pagamentos Payflow Pro."
"Acceptance Mark","Marca de Aceitação"
"Acceptance Mark Image","Imagem Marca Aceitação"
"Account-to-Account Payment, initiated by PayPal","Pagamento Conta-para-Conta, iniciado pelo Paypal"
"ACH Deposit (Hold for Dispute or Other Investigation)","ACH Deposit (Hold for Dispute or Other Investigation)"
"ACH Deposit (Reversal)","Depósito ACH (Anulação)"
"ACH Funding for Funds Recovery from Account Balance","ACH Funding for Funds Recovery from Account Balance"
"ACH Withdrawal","Revogação ACH"
"Add an Express Checkout button to your existing shopping cart for quick and easy credit card payments. PayPal handles all payment processing.","Adicionar um botão de Finalização Expressa da Encomenda a seu carrinho de compras para fácil e rapidamente aceitar pagamentos por cartão de crédito. Paypal trata de todo o processo de pagamento."
"Additional Options","Opções Adicionais"
"Address Verification System Response","Resposta do Sistema para Verificação Endereço"
"All the address information matched","Informação de endereços coincide"
"Allow in Billing Agreement Wizard","Permitir no Assistente de Acordo de Faturação"
"Allowable values: "paypal", "primary" (default), your_custom_value (a custom payment page style from your merchant account profile).","Allowable values: "paypal", "primary" (default), your_custom_value (a custom payment page style from your merchant account profile)."
"Allowed Credit Card Types","Tipos de Cartão de Crédito Permitidos"
"Also affects mini-shopping cart.","Também afeta o mini-carrinho de compras."
"Amex","Amex"
"API Authentication Methods","Métodos de Autenticação API"
"API Certificate","Certificado API"
"API Password","Palavra-passe API"
"API Signature","Assinatura API"
"API User Name","Nome Utilizador API"
"API Username","Nome de Utilizador API"
"API Uses Proxy","A API utiliza Proxy"
"API/Integration","API/Integração"
"API/Integration Settings","Definições API/Integração"
"Ask Customer","Perguntar ao Cliente"
"Attempted Authentication, Bad Result","Autenticação Tentada, Mau Resultado"
"Attempted Authentication, Good Result","Autenticação Tentada, Bom Resultado"
"Auction Payment other than through eBay","Pagamento Leilão que não Ebay"
"Authenticated, Bad Result","Autenticado, Mau Resultado"
"Authenticated, Good Result","Autenticado, Bom Resultado"
"Authorization","Autorização"
"Authorization Honor Period (days)","Authorization Honor Period (dias)"
"Authorization transaction is required to void.","Authorization transation is required to void."
"Authorize and Capture","Autorizar e cativar"
"Authorized amount of %s.","Autorizado um montante de %s."
"Authorizing amount of %s is pending approval on gateway.","A autorização do montante de %s está pendente no gateway de pagamento,"
"Auto","Automático"
"AutoSweep","AutoSweep"
"Available Balance","Saldo Disponível"
"Balance Manager Account Bonus","Balance Manager Account Bonus"
"Billing Address","Endereço de Faturação"
"Billing Agreement Signup ","Acordo Faturação Inscrição"
"Billing Information","Informações de Faturação"
"Bonus for first ACH Use","Bónus para primeiro uso ACH"
"Business Account","Conta Empresa"
"Business Name","Nome Empresa"
"Buyer Credit Payment","Pagamento de crédito do comprador"
"Buyer's Tax ID","ID Imposto Comprador"
"Buyer's Tax ID Type","Tipo ID Imposto Comprador"
"By default it is "reports.paypal.com".","Por omissão é "reports.paypal.com"."
"Can not send new order email.","Não foi possível enviar o email de nova encomenda."
"Cannot create target file for reading reports.","Não foi possível criar o ficheiro para relatórios de leitura."
"Card Verification Number","Número Verificação Cartão Crédito"
"Centinel API URL","URL API Centinel"
"Centinel Custom Api URL","URL Personalizada API Centinel"
"Change Payment Method","Alterar Método de Pagamento"
"Change Shipping Address","Alterar Morada de Envio"
"Charge-off","Em Lista Negra"
"Chargeback","Devolução"
"Chargeback by customer.","Devolução pelo cliente."
"Checkout with PayPal","Finalizar Encomenda com Paypal"
"CNPJ","CNPJ"
"Completion Date","Data Término"
"Connecting to PayPal SFTP server to fetch new reports. Are you sure you want to proceed?","A ligar-se ao servidor SFTP do Paypal para obter novos relatórios. Tem a certeza que deseja continuar?"
"Countries Payment Applicable From","Pagamento de Países Aplicável De"
"Coupon Redemption","Amortização Cupão"
"CPF","CPF"
"Credit","Crédito"
"Credit Card Number","Número Cartão Crédito"
"Credit Card Number: xxxx-%s","Número do Cartão de Crédito: xxxx-%s"
"Credit Card Settings","Definições Cartão Crédito"
"Credit Card Type","Tipo Cartão Crédito"
"Credit Card Type: %s","Tipo de cartão de crédito: %s"
"Credit Card Types","Tipos Cartão Crédito"
"Currency Conversion required to cover negative balance","Conversão de moeda necessária para cobrir balanço negativo"
"Custom","Personalizado"
"Custom Endpoint Hostname or IP-Address","Custom Endpoint Hostname or IP-Address"
"Custom Path","Caminho Personalizado"
"Customer complaint.","Queixa Cliente."
"Customer did not include a confirmed address.","O cliente não inclui um email confirmado."
"Customer returned from PayPal site.","Cliente voltou do site Paypal"
"Customer triggered a money-back guarantee.","O cliente acionou a garantia de satisfação."
"CVV2 Check Result by PayPal","Resultado Verificação CVV2 pelo Paypal"
"Daily","Diariamente"
"Debit","Débito"
"Debit Card Cash Back","Debit Card Cash Back"
"Debit Card Transaction","Transação Cartão de Débito"
"Debit or Credit","Débito ou Crédito"
"Debug Flag","Marcador de depuração"
"Debug Mode","Modo de depuração"
"Direct Payment API","Direct Payment API"
"Discount","Desconto"
"Discount Tax","Desconto Imposto"
"Discover","Discover"
"Displays on catalog pages and homepage.","Mostrado em páginas do catalogo e homepage."
"Does not work if there are more than 10 shipping options available.","Não funciona se existirem mais de 10 opções de envio diferentes"
"Don't have a PayPal account? Simply enter your email address.","Don't have a PayPal account? Simply enter your email address."
"Don?t have a PayPal merchant account? You can still accept credit card payments through the Payflow Pro Gateway.","Não tem uma conta de comerciante Paypal? Ainda pode aceitar pagamentos por cartão de crédito a partir do Gateway Payflow Pro ."
"Don?t have a PayPal merchant account? You can still accept credit card payments through the Payflow Pro Gateway.","Não tem uma conta de comerciante Paypal? Ainda pode aceitar pagamentos por cartão de crédito a partir do Gateway Payflow Pro ."
"Don?t have a PayPal merchant account? You can still accept credit card payments through the Payflow Pro Gateway.","Não tem uma conta de comerciante Paypal? Ainda pode aceitar pagamentos por cartão de crédito a partir do Gateway Payflow Pro ."
"Dont have a PayPal merchant account? You can still accept credit card payments through the Payflow Pro Gateway.","Não tem uma conta de comerciante Paypal? Ainda pode aceitar pagamentos por cartão de crédito a partir do Gateway Payflow Pro ."
"Dynamic","Dinâmico"
"eBay Auction Payment","Pagamento Leilão Ebay"
"Edit Shopping Cart","Editar Carrinho de Compras"
"EFT Funding (German banking)","EFT Funding (German banking)"
"Email Associated with PayPal Merchant Account","Email Associado à conta de Comerciante PayPal"
"Enable Automatic Fetching","Ativar Obtenção Automática"
"Enable PayPal Guest Checkout","Ativar Finalização Encomenda Paypal para Convidados"
"Enabled","Ativo"
"Error in creating an invoice","Erro ao criar fatura"
"Error in refunding the payment","Erro ao reembolsar o pagamento"
"Event","Evento"
"Event Code","Código Evento"
"Every 10 days","A cada 10 dias"
"Every 14 days","A cada 14 dias"
"Every 3 days","A cada 3 dias"
"Every 30 days","A cada 30 dias"
"Every 40 days","A cada 40 dias"
"Every 7 days","A cada 7 dias"
