"Abandoned carts","Carrinhos Abandonados"
"Action","Ação"
"Add to Cart","Adicionar ao Carrinho"
"Add to Compare","Adicionar para comparar"
"Add to Wishlist","Adicionar à Lista de Presentes"
"Any","QUALQUER"
"Applied Coupon","Cupão Aplicado"
"Applies to Any of the Specified Order Statuses","Aplica-se a Qualquer uma dos Estados Especificados de Encomenda"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","Tem a certeza que deseja atualizar o acumulado de estatísticas? A performance do site pode sofrer um impacto negativo durante esta operação."
"Are you sure?","Tem a certeza?"
"Avg. approved rating","Média de classificação aprovada"
"Avg. rating","Classificação média"
"Bestsellers","Mais vendidos"
"Bought from wishlists","Comprada de Listas de Presentes"
"Carrier/Method","Transportador/Método"
"Carts","Carrinhos"
"Catalog Category (Without Subcategories)","Catálogo Categoria (Sem Subcategorias)"
"Compared Products Grid Template","Modelo de Grelha de Produtos Comparados"
"Compared Products List Template","Modelo de Lista de Comparação de Produtos."
"Coupons","Cupões"
"Coupons Usage Report","Relatório de Utilização dos Cupões"
"Created at","Criado Em"
"CSV","CSV"
"Current Month Starts","Início Mês Atual"
"Customer","Cliente"
"Customer Name","Nome do Cliente"
"Customer Tags","Etiquetas do Cliente"
"Customers","Clientes"
"Customers by number of orders","Clientes pelo número de encomendas"
"Customers by orders total","Clientes pelo total encomendas"
"Customers Report","Relatório de Clientes"
"Customers Reviews","Análises dos clientes"
"Customers Tags","Etiquetas dos clientes"
"Customers that have wishlist: %s%","Clientes com Lista de Presentes: %s%"
"Dashboard","Painel de Controlo"
"Day","Dia"
"Default Recently Compared Products count","Número de Produtos Recentemente Comparados por Omissão"
"Default Recently Viewed Products count","Número de Produtos Recentemente Visualizados por Omissão"
"Description","Descrição"
"Detail","Detalhe"
"Discounts","Descontos"
"Downloads","Descargas"
"Email","Email"
"Empty Rows","Linhas Vazias"
"Excel","Excel"
"Excel XML","Excel XML"
"Filter","Filtro"
"First Name","Primeiro Nome"
"From","De"
"Guest","Convidado"
"Hits","Acessos"
"ID","ID"
"Index model name must be defined","O nome do modelo do Index tem que ser especificado"
"Invalid date specified","Data inválida especificada"
