"%d Review(s)","%s Análises"
"%s Review(s)","%s Análises"
"(Posted on %s)","(Colocado em %s)"
"1 star","1 estrela"
"2 stars","2 estrelas"
"3 stars","3 estrelas"
"4 stars","4 estrelas"
"5 stars","5 estrelas"
"Add New Review","Adicionar nova análise"
"Add Your Review","Adicionar a sua Análise"
"Administrator","Administrador"
"All Reviews","Todas as análises"
"All reviews of customer `%s`","Todas as análises do cliente '%s'"
"Allow guests to write reviews","Permitir que utilizadores não registados efetuem análises"
"Are you sure you want to do this?","Tem a certeza que é o que deseja fazer?"
"Are you sure?","Tem a certeza?"
"Average Customer Rating","Média de classificação dos clientes"
"Average Customer Rating:","Média de classificação dos clientes:"
"Back","Voltar"
"Back to Main Product Info","Voltar à página do produto"
"Back to My Reviews","Voltar às Minhas Análises"
"Back to Product Reviews","Voltar às análises ao produto"
"Be the first to review this product","Seja o primeiro a analisar este produto"
"Catalog Product Review View","Catálogo Produto Análise Visualizar"
"Catalog Product Reviews List","Catálogo Produto Análises Lista"
"Created On","Criado a"
"Customer","Cliente"
"Customer My Account Product Reviews","Cliente A Minha Conta Produto Análises"
"Customer My Account Review Details","Cliente A Minha Conta Produto Detalhe Análise"
"Customer Reviews","Análises de clientes"
"Customers Reviews","Análises dos clientes"
"Delete","Remover"
"Delete Review","Remover Análise"
"Detailed Rating","Classificação Detalhada"
"Edit Review '%s'","Editar Análise '%s'"
"Guest","Convidado"
"How do you rate this product?","Como classifica este produto?"
"ID","ID"
"Manage Ratings","Gerir Classificações"
"My Product Reviews","As minhas análises a produtos"
"My Recent Reviews","As minhas análises recentes"
"Name","Nome"
"Name In Store","Nome na loja"
"New Review","Nova análise"
"Nickname","Nome de utilizador"
"Only registered users can write reviews. Please, <a href="%s">log in</a> or <a href="%s">register</a>","Apenas utilizadores registados podem criar análises. Por favor, <a href="%s">inicie sessão</a> ou <a href="%s">registe-se</a>"
"OR","OU"
"Pending Reviews","Análises Pendentes"
"Pending reviews of customer `%s`","Análises pendentes do cliente '%s'"
"Please select a product","Por favor selecione o produto"
"Please select one of each of the ratings above","Por favor selecione uma das classificações acima"
"Posted By","Colocado por"
"Price","Preço"
"Product","Produto"
"Product Name","Nome Produto"
"Product Rating","Classificação do produto"
"Product Rating:","Classificação do produto:"
"Product Review (submitted on %s):","Análise ao produto (submetida a %s)"
"Product Reviews","Análises ao produto"
"Product SKU","SKU do produto"
"Products Reviews","Análises de produtos"
"Qty","Qt"
"Rating:","Classificação:"
"Review","Análise"
"Review (submitted on %s):","Análise (submetida em %s):"
"Review by %s","Análise por %s"
"Review by <span>%s</span>","Analisado por <span>%s</span>"
"Review Details","Analisar detalhes"
"Review Form Fields Before","Análise Formulário Campos"
"Reviews and Ratings","Análises e Classificações"
"Save Review","Guardar Análise"
"SKU","SKU"
"Status","Estado"
"Submit Review","Submeter análise"
"Summary of Review","Sumário da Análise"
"Summary of Your Review","Título da sua análise"
"Summary Rating","Sumário da Avaliação"
"Title","Título"
"Type","Tipo"
"Unable to post review. Please, try again later.","Incapaz de adicionar a análise. Por favor tente novamente mais tarde."
"Unable to post the review.","Não foi possível colocar a análise."
"Update status","Atualizar estado"
"View All Reviews","Ver todas as análises"
"View Details","Ver detalhes"
"Visible In","Visível em"
"Websites","Sites"
"Write Your Own Review","Escreva a sua análises"
"You have submitted no reviews.","Ainda não enviou nenhuma análise"
"You're reviewing:","A sua análise:"
"You're reviewing: %s","Está a analisar: %s"
"Your Rating:","A sua classificação:"
"Your Review (submitted on %s):","A sua análises (enviada a %s):"
"Your review has been accepted for moderation","A sua análise foi aceite para moderação"
"Your review has been accepted for moderation.","A sua análise foi aceite."
