"Add","Adicionar"
"ALL","Todos"
"ANY","QUALQUER"
"Apply","Aplicar"
"by","por"
"Conditions Combination","Condições de Combinação"
"contains","contém"
"Description: %s","Descrição: %s"
"does not contain","não contém"
"End Date should be greater than Start Date","A Data de Término deve ser posterior à Data de Início"
"equals or greater than","maior ou igual que"
"equals or less than","igual ou menos que"
"Expire at: %s","Expira em: %s"
"FALSE","FALSO"
"greater than","maior que"
"If %s of these conditions are %s:","Se destas condições são %s:"
"Invalid discount amount.","Montante de desconto inválido."
"is","é"
"is not","não é"
"is not one of","não é um dos"
"is one of","é um dos"
"less than","menor que"
"MATCHING ALL","CORRESPONDEM TODOS"
"MATCHING ANY","CORRESPONDE QUALQUER"
"Name: %s","Nome: %s"
"NOT MATCHING ALL","NÃO CORRESPONDEM TODOS"
"NOT MATCHING ANY","NÃO CORRESPONDE NENHUM"
"Open Chooser","Abrir Navegador"
"Perform following actions","Realizar as seguintes ações"
"Please choose a condition to add...","Por favor escolha uma condição a adicionar"
"Please choose an action to add...","Por favor escolha uma ação a adicionar..."
"Remove","Remove"
"Start at: %s","Iniciar em: %s"
"to","Até"
"TRUE","VERDADEIRO"
