" The customer doesn't exist in the system anymore","O Cliente já não existe no sistema"
""%s" coupon code is not valid.",""%s" o código do cupão não é válido"
"%s","%s"
"%s / %s rate:","Taxa %s / %s:"
"%s for %s","%s por %s"
"%s order(s) cannot be canceled","%s encomenda(s) não podem ser canceladas."
"%s order(s) have been canceled.","%s encomenda(s) cancelada(s)."
"%s order(s) have been put on hold.","%s encomenda(s) foram bloqueadas."
"%s order(s) have been released from holding status.","%s encomenda(s) foram desbloqueadas."
"%s order(s) successfully canceled","%s encomenda(s) canceladas com sucesso"
"%s order(s) successfully put on hold","%s encomenda(s) corretamente bloqueadas"
"%s order(s) successfully released from holding status","%s encomenda(s) corretamente desbloqueadas"
"%s order(s) were not put on hold.","%s encomenda(s) não foram bloqueadas."
"%s order(s) were not released from holding status.","%s encomenda(s) não foram desbloqueadas."
"* - Enter custom price excluding tax","* - Insira preços personalizado excluindo imposto"
"* - Enter custom price including tax","* - Insira preços personalizado incluindo imposto"
"-- Please Select --","-- Por Favor Selecione --"
"-- Please Select Billing Agreement--","-- Por Favor Selecione um Acordo de Faturação --"
"About This Order:","Sobre Esta Encomenda:"
"About This Profile:","Acerca do Perfil:"
"About Your Invoice","Sobre a Sua Fatura"
"About Your Order","Sobre a sua encomenda"
"About Your Refund","Sobre o Seu Reembolso"
"About Your Shipment","Sobre o Seu Envio"
"Accept or Deny Payment","Aceitar ou Negar Pagamento"
"Accept Payment","Pagamento aceite."
"Account Information","Informação da conta"
"Action","Ação"
"Actions","Ações"
"Activate","Ativar"
"Active","Ativo"
"Add","Adicionar"
"Add a gift message for <strong>each gift item</strong>","Adicionar uma Mensagem de presente para <strong>para cada item</strong> na encomenda"
"Add a gift message for the <strong>entire order</strong>","Adicionar uma Mensagem de presente para <strong>toda</strong> a encomenda"
"Add comment to order","Adicionar comentário à encomenda"
"Add Gift Messsage","Adicionar Mensagem de Presente"
"Add New Address","Adicionar Novo Endereço"
"Add new comment to shipment","Adicionar novo comentário ao envio"
"Add new tracking number","Adicionar novo número de monitorização"
"Add Order Comments","Adicionar Comentários Encomenda"
"Add Package","Adicionar Pacote"
"Add Products","Adicionar Produtos"
"Add Selected Product(s) to Option","Adicionar produto(s) selecionado(s) à Opção"
"Add Selected Product(s) to Order","Adicionar Produto(s) Selecionado(s) à encomenda"
"Add Selected Product(s) to Package","Adicionar produto(s) selecionado(s) ao pacote"
"Add to Cart","Adicionar ao Carrinho"
"Add To Order","Adicionar à encomenda"
"Add Tracking Number","Adicionar Número de Monitorização"
"Additional Product Info","Informação Adicional Produto"
"Address","Endereço"
"Address model is not defined.","O model do Endereço não está definido."
"Adjustment Fee","Montante Ajustamento"
"Adjustment Fee:","Taxa de Ajustamento:"
"Adjustment Refund","Montante de Reembolso"
"Adjustment Refund:","Ajuste Reembolso:"
"Agreement Information","Informação de Acordo"
"Allow Reorder","Permitir re-encomendas"
"Amount","Quantidade"
"Amount: %s.","Quantia: %s"
"An error occurred while assigning order status. Status has not been assigned.","Ocorreu um erro ao definir o estado da encomenda. O Estado não foi atribuído."
"An error occurred while creating shipping label.","Ocorreu um erro ao criar o rótulo de envio."
"An error occurred while saving order status. The status has not been added.","Ocorreu um erro ao guardar o estado da encomenda. O Estado não foi adicionado."
"An error occurred while unassigning order status.","Ocorreu um erro ao remover estados de encomenda atribuídos"
"An error occurred while updating the order address. The address has not been changed.","Ocorreu um erro ao atualizar o endereço da encomenda. O endereço não foi alterado."
"An item option with code %s already exists.","Já existe um item com o código %s."
"Anchor Custom Title","Título Personalizado da Âncora"
"And Use As Default","E Utilizar Como Omissão"
"Append Comments","Anexar Comentários"
"Apply","Aplicar"
"Apply Coupon Code","Aplicar Código de Cupão"
"Approved the payment online.","Pagamento online aprovado."
"Are you sure you want to accept this payment?","Tem a certeza que deseja aceitar este pagamento?"
"Are you sure you want to cancel this order?","Tem a certeza que deseja cancelar esta encomenda?"
"Are you sure you want to deny this payment?","Tem a certeza que deseja rejeitar este pagamento?"
"Are you sure you want to do this?","Tem a certeza que é o que deseja fazer?"
"Are you sure you want to send Creditmemo email to customer?","Tem a certeza que deseja enviar um email da Nota de Crédito ao Cliente?"
"Are you sure you want to send Invoice email to customer?","Tem a certeza que deseja enviar um email da fatura ao cliente?"
"Are you sure you want to send order email to customer?","Tem a certeza que deseja enviar um email da encomenda ao cliente?"
"Are you sure you want to send Shipment email to customer?","Tem a certeza que deseja enviar um email de envio ao cliente?"
"Are you sure you want to void the payment?","Tem a certeza que deseja anular este pagamento?"
"Are you sure?","Tem a certeza?"
"Are you sure? This order will be canceled and a new one will be created instead","Tem a certeza? Esta encomenda será cancelada e será criada uma nova."
"Are you sure? This order will be cancelled and a new one will be created instead","Tem a certeza? A encomenda será cancelada e será criada uma nova"
"Assign Order Status","Definir Estado Encomenda"
"Assign Order Status to State","Atribuir Estado Encomenda a Estado"
"Assign Status to State","Atribuir Estado a Estado"
"Assignment Information","Informação Atribuição"
"At least a payment ID must be set.","Pelo menos o ID do pagamento tem que ser definido."
"Authorization","Autorização"
"Authorized amount of %s.","Autorizado um montante de %s."
"Authorizing amount of %s is pending approval on gateway.","A autorização do montante de %s está pendente no gateway de pagamento,"
"Back","Voltar"
"Back to Billing Agreements","Voltar aos Acordos de Faturação"
"Back to My Orders","Voltar às Minhas Encomendas"
"Back to Recurring Profiles","Voltar aos Perfis Recorrentes"
"Backordered","Devolução"
"Bestsellers","Mais vendidos"
"Bill to First name","Nome de Facuração"
"Bill to Last name","Apelido de Faturação"
"Bill to Name","Nome Faturação"
"Billing","Faturação"
"Billing Address","Endereço de Faturação"
"Billing Agreement","Condições de Faturação"
