"%d Shopping Cart Price Rules based on "%s" attribute have been disabled.","%d Regras do Carrinho de Compras baseadas no atributo "%s" foram desativadas."
"Actions","Ações"
"Active","Ativo"
"Add New Rule","Adicionar Nova Regra"
"Apply","Aplicar"
"Apply the rule only if the following conditions are met (leave blank for all products)","Aplicar a regra apenas se as seguintes condições se verificarem (deixe em branco para todos os produtos)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Aplicar a regra apenas a itens do carrinho de compras que cumpram as seguintes condições (deixe em branco para todos os itens)"
"Apply the rule to cart items matching the following conditions","Aplicar a regra a itens do carrinho de compras que cumpram as seguintes condições"
"Apply to","Aplicar a"
"Apply to Shipping Amount","Aplicar ao Montante de Envio"
"Auto","Automático"
"Buy X get Y free (discount amount is Y)","Compre X e leve Y grátis (quantidade de desconto é Y)"
"By Fixed Amount","Por montante fixo"
"By Fixed value","Por valor fixo"
"By Percentage","Por percentagem"
"By Percentage of the original price","Por percentagem do preço original"
"Can't acquire coupon.","Não foi possível validar o cupão"
"Cart Attribute","Atributo de Carrinho"
"Catalog","Catálogo"
"Conditions","Condições"
"Conditions combination","Condições de Combinação"
"Coupon","Cupão"
"Coupon Code","Código Cupão"
"Customer Groups","Grupos de Clientes"
"Customer is new buyer: %s","Cliente é um novo comprador: %s"
"Customer registered: %s","Cliente registado em: %s"
"Date Expire","Data Validade"
"Date Start","Data início"
"Default Label","Título por Omissão"
"Default Rule Label for All Store Views","Texto por Omissão para as Regras das Vistas de Lojas"
"Delete Rule","Remover Regra"
"Description","Descrição"
"Description: %s","Descrição: %s"
"Discount amount","Valor Desconto"
"Discount Qty Step (Buy X)","Qt desconto (Compre X)"
"Edit Rule","Editar Regra"
"Edit Rule '%s'","Editar Regra '%s'"
"Expire at: %s","Expira em: %s"
"Fixed amount discount","Montante de desconto fixo"
"Fixed amount discount for whole cart","Desconto fixo para todo o carrinhp"
"For matching items only","Apenas para itens coincidentes"
"For shipment with matching items","Para envios com itens coincidentes"
"FOUND","ENCONTRADO"
"Free shipping","Envio gratuito"
"From Date","Data início"
"General Information","Informação Geral"
"ID","ID"
"Inactive","Inativo"
"Item totals are not set for rule.","Total dos itens não definidos para a regra"
"Labels","Títulos"
"Maximum Qty Discount is Applied to","Quantidade máxima de desconto é aplicado a"
"Name: %s","Nome: %s"
"New Rule","Nova regra"
"No","Não"
"No Coupon","Sem cupão"
"NOT FOUND","NÃO ENCONTRADO"
"NOT LOGGED IN","Não está ligado"
"Number of Uses","Número de utilizações"
"Payment Method","Método de Pagamento"
"Percent of product price discount","Percentagem de desconto sobre o preço do produto"
"Period","Período"
"Price in cart","Preço no carrinho"
"Priority","Prioridade"
"Product attribute combination","Combinação de atributos do produto"
"Products subselection","Sub seleção de produtos"
"Promotions","Promoções"
"Public In RSS Feed","Público no Feed RSS"
"Quantity in cart","Quantidade no carrinho"
"Row total in cart","Linha total no carrinho"
"Rule Information","Informação da Regra"
"Rule Name","Nome da Regra"
"Rule was successfully deleted","Regra corretamente removida"
"Rule was successfully saved","A Regra foi corretamente guardada"
"Sales Discount Amount","Montante de Desconto nas Vendas"
"Sales Subtotal Amount","Montante Sub-Total nas Vendas"
"Sales Total Amount","Montante Total Vendas"
"Save and Continue Edit","Guardar e Continuar Edição"
"Save Rule","Guardar Regra"
"Shipping Country","País de Envio"
"Shipping Method","Método de Envio"
"Shipping Postcode","Código Postal Envio"
"Shipping Region","Região Envio"
"Shipping State/Province","Estado/Província Envio"
"Shopping Cart Price Rule","Regra de preço no carrinho de compras"
"Shopping Cart Price Rules","Regras de Preços no Carrinho de Compras"
"Shopping Cart Price Rules based on deleted attribute "%s" has been disabled.","Regras no Carrinho de Compras baseadas no atributo "%s" foram removidas."
"Special price","Preço especial"
"Specific Coupon","Cupão Específico"
"Start at: %s","Iniciar em: %s"
"Status","Estado"
"Stop further rules processing","Parar processamento de regras"
"Store View Specific Labels","Texto Específico para Vistas de Lojas"
"Subtotal","Sub-Total"
"Subtotal Amount","Montante Sub-total"
"The page you are trying to save no longer exists","A página que está a tentar guardar não existe"
"The rule has been deleted.","A regra foi removida"
"The rule has been saved.","A regra foi guardada"
"This rule no longer exists","Esta regra já não existe"
"This rule no longer exists.","Esta regra já não existe."
"To Date","Data término"
"To Fixed Amount","Para montante fixo"
"To Fixed Value","Para valor fixo"
"To Percentage","Para percentagem"
"To Percentage of the original price","Para percentagem do preço original"
"Total","Total"
"Total Amount","Montante Total"
"Total Items Quantity","Quantidade do total de Itens"
"Total Weight","Peso Total"
"Unable to find a page to delete","Não foi possível encontrar a página a remover"
"Unable to find a rule to delete.","Não foi possível encontrar a regra a remover"
"Update prices using the following information","Atualizar os preços utilizando a seguinte informação"
"Update product's %s %s: %s","Atualizar produtos %s %s: %s"
"Update the Product","Atualizar o produto"
"Uses per coupon","Utilizações por cupão"
"Uses per customer","Utilizações por cliente"
"Wrong rule specified.","Regra inválida especificada"
"Yes","Sim"
