"Add Recipient","Adicionar destinatário"
"Allow for Guests","Permitir para visitantes"
"An invalid email address for recipient was entered.","Foi inserido um email inválido para o destinatário."
"At least one recipient must be specified.","Tem que especificar pelo menos um destinatário."
"Back","Voltar"
"Catalog Product Email to a Friend","Enviar Produto do Catálogo a um Amigo por Email"
"Email Address","Endereço de Email"
"Email Address:","Endereço de Email:"
"Email templates","Email Template"
"Email to a Friend","Enviar por email a um amigo"
"Email:","Email:"
"Enabled","Ativo"
"Invalid sender email.","Email do Remetente Inválido"
"Invalid Sender Information","Informação do Remetente Inválida"
"Limit Sending By","Limitir o envio a"
"Link to a friend was sent.","Foi enviado o link para o seu amigo"
"Max Products Sent in 1 Hour","Máximo produtos enviados por hora"
"Max Recipients","Máximo de destinatários"
"Maximum %d email addresses allowed.","Máximo de emails permitidos %d."
"Message:","Mensagem:"
"Name","Nome"
"Name:","Nome:"
"No more than %d emails can be sent at a time.","Não podem ser enviados mais que %d de uma só vez."
"Please define a correct Cookie instance.","Por favor defina uma instância de Cookie válida."
"Please define a correct Product instance.","Por favor defina uma instância de produto válida."
"Please define the correct Sender information.","Por favor defina a informação correta do Remetente."
"Recipient:","Remetente:"
"Remove Email","Remover Email"
"Select email template","Selecionar o template do email"
"Send email","Enviar email"
"Send product to a friend","Enviar o Produto a um amigo"
"Sender:","Remetente:"
"Some emails was not sent","Alguns emails não foram enviados"
"Some emails were not sent.","Alguns dos emails não foram enviados."
"Some problems with data.","Alguns problemas com os dados"
"The link to a friend was sent.","A hiperligação para o amigo foi enviada."
"The message cannot be empty.","A mensagem não pode estar vazia"
"The messages cannot be sent more than %d times in an hour","As mensagens não podem ser envias mais que %d numa hora"
"The sender name cannot be empty.","O nome do remetente não pode estar em branco."
"There were some problems with the data.","Existem erros com os dados."
"You cannot email this product to a friend","Não pode enviar este produto por email para um amigo"
"You cannot send more than %d times in an hour","Não pode enviar mais de %d emails por hora"
"You have exceeded limit of %d sends in an hour","Excedeu o limite de envios por hora (%d)"
