" for more information or ","para mais informação ou"
" for more information or email us at ","para mais informações envie-nos um email para"
"# of Items (and above)","# de itens (e superiores)"
"# of Items vs. Destination","# de Itens Vs. Destino"
"Allow Shipping to multiple addresses","Permitir envio para múltiplos endereços"
"An error occurred while import table rates.","Ocorreu um erro ao importar a tabelas de imposto."
"Calculate Handling Fee","Calcular taxa manuseamento"
"Carrier:","Transportador:"
"City","Cidade"
"Close Window","Fechar janela"
"Condition","Condição"
"contact us","Contacte-nos"
"Country","País"
"Date","Data"
"Delivered on:","Entregue em:"
"Delivered to:","Entregue a:"
"Description","Descrição"
"Displayed Error Message","Displayed Error Message"
"Duplicate Row #%s (Country "%s", Region/State "%s", Zip "%s" and Value "%s")","Duplicate Row #%s (Country "%s", Region/State "%s", Zip "%s" and Value "%s")"
"Duplicate Row #%s (Country "%s", Region/State "%s", Zip "%s" and Value "%s").","Linha Duplicada #%s (País "%s", estado "%s", CP "%s" e valor "%s")."
"email us at ","envie-nos um email para"
"Enabled","Ativo"
"Error:","Erro:"
"Export","Exportar"
"Fixed","Fixo"
"Flat Rate","Taxa Fixa"
"Free Shipping","Envio gratuito"
"Google Sitemap Section","Secção de Mapas do Sítio do Google"
"Handling Fee","Handling fee"
"Import","Importar"
"Include Virtual Products in Price Calculation","Incluir Produtos Virtuais no Cálculo do Preço"
"Info:","Info:"
"Invalid %s "%s" in the Row #%s","%s "%s" inválido na Linha #%s"
"Invalid %s "%s" in the Row #%s.","%s "%s" inválido na Linha #%s"
"Invalid Country "%s" in the Row #%s","País inválido "%s" na Linha #%s"
"Invalid Country "%s" in the Row #%s.","País Inválido "%s" na linha #%s."
"Invalid Region/State "%s" in the Row #%s","Região/Estado inválido "%s" na Linha #%s"
"Invalid Region/State "%s" in the Row #%s.","Região/Estado inválido "%s" na Linha #%s"
"Invalid Shipping Price "%s" in the Row #%s","Preço de envio inválido "%s" na Linha #%s"
"Invalid Shipping Price "%s" in the Row #%s.","Preço de envio inválido "%s" na Linha #%s"
"Invalid Table Rate code for type %s: %s","Código da Tabela de Taxa inválido para o tipo %s: %s"
"Invalid Table Rate code type: %s","Tipo de código da Tabela de Taxa inválido"
"Invalid Table Rates File Format","Formato da tabela de taxas inválido"
"Local Time","Hora Local"
"Location","Localização"
"Maximum qty allowed for Shipping to multiple addresses","Qt. máxima permitida de envio para múltiplos endereços"
"Method name","Nome método"
"Minimum order amount","Qt. mínima de encomenda"
"N/A","N/D"
"None","Nenhum"
"Options","Opções"
"Order Subtotal (and above)","Sub-total da encomenda (e acima)"
"Origin","Origem"
"Per Order","Por Encomenda"
"Per Package","Por Pacote"
"Percent","Percentagem"
"Price","Preço"
"Price vs. Destination","Preço Vs. Destino"
"Region/State","Região/Estado"
"Service Type:","Tipo de Serviço:"
"Ship to applicable countries","Ship to applicable countries"
"Ship to Specific countries","Ship to Specific countries"
"Shipment #","Envio #"
"Shipment Tracking Popup","Janela de Monitorização do Envio"
"Shipped or billed on:","Enviado ou Faturado em:"
"Shipping Methods","Métodos de Envio"
"Shipping Methods Section","Secção de Métodos de Envio"
"Shipping Settings","Definições de Envio"
"Shipping Settings Section","Secção de Definições de Envio"
"Show method if not applicable","Show method if not applicable"
"Signed by:","Assinado por:"
"Sort order","Ordenar Encomenda"
"Status:","Estado:"
"Store Pickup","Levantamento na Loja"
"Street Address","Rua"
"Street Address Line 2","Endereço linha 2"
"Table rates","Tabelas de taxa"
"The shipping module is not available for selected delivery country","O módulo de envio não está disponível para entrega no país seleccionado"
"The shipping module is not available for selected delivery country.","O módulo de envio não se encontra disponível para entrega no país especificado."
"The shipping module is not available.","O Método de Envio não está disponível"
"There is no tracking available for this shipment.","Não existe monitorização disponível para este envio."
"There is no tracking available.","Não existe monitorização disponível"
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Este método de envio está atualmente indisponível. Se ainda assim desejar utilizar este método de envio, por favor entre em contacto connosco"
"This shipping method is not available, please specify ZIP-code","O Método de Envio não está disponível, por favor especifique o código-postal"
"Title","Título"
"Track:","Monitorizar:"
"Tracking Information","Informação de Monitorização"
"Tracking information is currently not available. Please ","Informação de monitorização não está disponível. Por favor"
"Tracking information is currently unavailable.","A Informação de Monitorização está atualmente indisponível"
"Tracking Number:","Número Monitorização:"
"Type","Tipo"
"Weight (and above)","Peso (e acima)"
"Weight vs. Destination","Peso Vs. Destino"
"Weight:","Peso:"
"ZIP/Postal Code","Código Postal"
