"Action","Ação"
"Add Sitemap","Adicionar Mapa do Site"
"Always","sempre"
"Categories Options","Opções de Categorias"
"CMS Pages Options","Opções de Páginas no CMS"
"Daily","Diariamente"
"Edit Sitemap","Editar Mapa do Site"
"Enabled","Ativo"
"Error Email Recipient","Email do Destinatário de Erros"
"Error Email Sender","Email do Remetente de Erros"
"Error Email Template","Template do Email de Erros"
"File "%s" cannot be saved. Please, make sure the directory "%s" is writeable by web server.","O ficheiro "%s" não pode ser salvo. Por favor confirme que o diretório "%s" tem privilégios de escrita pelo servidor"
"Filename","Nome ficheiro"
"Frequency","Frequência"
"Generate","Gerar"
"Generation Settings","Opções Gerais"
"Google Sitemap","Mapa Site Google"
"Google Sitemap Section","Secção de Mapas do Sítio do Google"
"Hourly","todas as horas"
"ID","ID"
"Last Time Generated","Gerado pela última vez"
"Link for Google","Ligação para Google"
"Monthly","Mensalmente"
"Never","Nunca"
"New Sitemap","Novo Mapa do Site"
"Path","Caminho"
"Please create the specified folder "%s" before saving the sitemap.","Por favor crie a pasta "%s" antes de guardar o mapa do sítio"
"Please define correct path","Por favor defina o caminho correto"
"Please make sure that "%s" is writable by web-server.","Por favor confirme que "%s" tem permissões de escrita pelo servidor"
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Por favor utilize apenas letras (a-zA-Z), números(0-9) ou sublinhado(_) no nome do ficheiro. Não são permitidos espaços ou outros caracteres"
"Priority","Prioridade"
"Priority must be between 0 and 1","A prioridade deve ser entre 0 e 1."
"Products Options","Opções Produtos"
"Sitemap","Mapa do Site"
"Sitemap "%s" has been successfully generated","O Mapa do Sítio "%s" foi corretamente gerado"
"Sitemap generate Warnings","Alertas ao Gerar Mapa do Site"
"Sitemap was successfully deleted","Mapa do Site removido corretamente"
"Sitemap was successfully saved","O Mapa do Site foi guardado com sucesso"
"Start Time","Data Início"
"Store View","Vista da Loja"
"The priority must be between 0 and 1.","A prioridade deve ser entre 0 e 1."
"The sitemap "%s" has been generated.","O Mapa do Sítio "%s" foi gerado."
"The sitemap has been deleted.","O Mapa do Sítio foi removido."
"The sitemap has been saved.","O Mapa do Sítio foi guardado."
"This sitemap no longer exists","O Mapa do Site já não existe"
"This sitemap no longer exists.","O Mapa do Sítio não existe."
"Unable to find a sitemap to delete","Incapaz de encontrar Mapa do Site para remover"
"Unable to find a sitemap to delete.","Não foi possível encontrar o Mapa do Sítio para remover"
"Unable to find a sitemap to generate","Incapaz de encontrar um Mapa do Sítio para geração"
"Unable to find a sitemap to generate.","Não foi possível encontrar o Mapa do Sítio para gerar"
"Unable to generate a sitemap","Incapaz de gerar o Mapa do Sítio"
"Unable to generate the sitemap.","Não foi possível gerar o Mapa do Sítio"
"Valid values range from 0.0 to 1.0","Valores válidos entre 0.0 e 1.0"
"Valid values range: from 0.0 to 1.0.","Intervalo de Valores Válido: de 0.0 a 1.0"
"Weekly","Semanalmente"
"Yearly","anualmente"
