"%s is not supported currency.","%s não é uma moeda suportada"
"Accept","Aceitar"
"Basic","Básico"
"Cannot retreive rate from strikeirion.","Não foi possível obter informação do strikeirion."
"Cannot retrieve rate from %s to %s","Não foi possível obter a taxa de %s para %s"
"Check all email servers","Verificar todos os servidores de email"
"Complete","Finalizado"
"Country/Region/Postal code combination","Combinação País/Região/Código postal"
"Customer Tax Class","Classe de imposto do cliente"
"Email address cannot be verified. Please check again and make sure your email address entered correctly.","O endereço de email não pode ser verificado. Por favor tente novamente e confirme que inseriu o endereço de email corretamente."
"Email Verification","Verificação de Email"
"Enable email verification","Ativar verificação por email"
"Enable foreign exchange rate","Ativar conversão de moeda estrangeira"
"Enable global address verification","Ativar verificação global de endereço"
"Enable sales and use tax","Ativar vendas e utilizar imposto"
"Enable US address verification","Ativar a verificação de endereços EUA"
"Error address action","Ação do endereço de erro"
"Error Email Recipient","Email do Destinatário de Erros"
"Error Email Sender","Email do Remetente de Erros"
"Error Email Template","Template do Email de Erros"
"Foreign Exchange Rates","Conversão Moeda Estrangeira"
"Global Address Verification","Verificação global endereço"
"If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate.","Se o tipo está completo e o código postal pertence a múltiplas taxas de imposto, escolha cobrar a taxa de imposto máxima ou a taxa de imposto mínima"
"Invalid email address","Endereço de Email inválido"
"Maximum tax rate","Taxa máxima de imposto"
"Minimum tax rate","Taxa mínima de imposto"
"Password","Senha"
"Pop up warning and accept","Mostrar aviso e aceitar"
"Product Tax Class","Classe de imposto do Produto"
"Reject","Rejeitar"
"Sales and Use Tax","Vendas e utilizar Imposto"
"Sales and Use Tax Type","Vendas e utilizar tipo de imposto"
"Strikeiron","Strikeirion"
"Strikeiron Config","Configuração strikeirion"
"Strikeiron foreign exchange rate is disabled","A conversão de moeda estrangeira não está ativa no strikeirion"
"Strikeiron Section","Secção strikeirion"
"Tax","Imposto"
"There is an error in retrieving tax rate. Please contact us","Ocorreu um erro ao obter a taxa de importo. Por favor entre em contacto connosco."
"There is an error in verifying an email. Please contact us.","Ocorreu um erro ao obter a taxa de importo. Por favor entre em contacto connosco."
"There is no more hits remaining for the foreign Exchange Rate Service.","Não existem mais hits para o Serviço de Conversão Imposto estrangeiro"
"There is no response back from Strikeiron server","Não existe resposta do servidor Strikeiron"
"Undetermined email action","Ação de email indeterminada"
"US Address Verification","Verificação Endereço EUA"
"Use","Utilizar"
"User ID","User ID"
"Verify address in admin","Verificar endereço na administração"
"Verify email in admin","Verificar email na administração"
