"# of Uses","# de Utilizações"
"%s tag(s) have been accepted for moderation","%s etiqueta(s) aceites para moderação"
"%s tag(s) have been accepted for moderation.","%s etiqueta(s) foram aceites para moderação."
"<strong>Tag Name:</strong> %s","<strong>Nome da Etiqueta:</strong> %s"
"Action","Ação"
"Actions","Ações"
"Add New Tag","Adicionar Nova Etiqueta"
"Add Tags","Adicionar etiquetas"
"Add to Cart","Adicionar ao Carrinho"
"Add to Wishlist","Adicionar à Lista de Presentes"
"Add Your Tags:","Adicionar as suas etiquetas:"
"All Tags","Todas as etiquetas"
"Approved","Aprovado"
"Are you sure that you want to delete this tag?","Tem a certeza que deseja remover esta etiqueta?"
"Are you sure you want to delete this tag?","Tem a certeza que deseja remover este etiqueta?"
"Are you sure you want to do this?","Tem a certeza que é o que deseja fazer?"
"Are you sure?","Tem a certeza?"
"Back","Voltar"
"Back to Tags List","Voltar à listagem de etiquetas"
"Back to view Tag","Voltar à visualização da Etiqueta"
"Base Popularity","Popularidade Base"
"Block Information","Informação do bloco"
"Catalog Product View","Catálogo Produto Visualizar"
"Change status","Alterar Estado"
"Click on a tag to view your corresponding products.","Clica na etiqueta para visualizar os produtos associados"
"Country","País"
"CSV","CSV"
"Customer My Account My Tags List","Cliente A Minha Conta A Minha Lista de Etiquetas"
"Customer My Account Tag View","Cliente A Minha Conta Análise da Etiqueta"
"Customer Since","Cliente desde"
"Customers","Clientes"
"Customers Submitted this Tag","Clientes que enviaram esta etiqueta"
"Customers Tagged '%s'","Clientes com a Etiqueta '%s'"
"Delete","Remover"
"Delete Tag","Remover Etiqueta"
"Disabled","Inativo"
"Edit Tag","Editar Etiqueta"
"Edit Tag '%s'","Editar Etiqueta '%s'"
"Email","Email"
"First Name","Primeiro Nome"
"General Information","Informação Geral"
"Grid","Grelha"
"ID","ID"
"Last Name","Apelido"
"List","Lista"
"Manage Tags","Gerir Etiquetas"
"My Recent Tags","As minha etiquetas recentes"
"My Tags","As minhas Etiquetas"
"Name","Nome"
"New Tag","Nova etiqueta"
"No matches found.","Não foram encontrados resultados"
"Other people marked this product with these tags:","Outros marcaram este produto com as seguintes etiquetas:"
"Pending","Pendente"
"Pending Tags","Etiquetas Pendentes"
"Popular","Popular"
"Popular Tags","Etiquetas populares"
"Popularity","Popularidade"
"Price","Preço"
"Product Name","Nome Produto"
"Product SKU","SKU do produto"
"Product Tags","Etiquetas de Produtos"
"Products","Produtos"
"Products Tagged by Administrators","Produtos Etiquetados por Administradores"
"Products Tagged by Customers","Produtos Etiquetados por Clientes"
"Products Tagged with '%s'","Produtos etiquetados com '%s'"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Produtos etiquetados com '%s' (<a hre='%s'>RSS</a>)"
"Rebuild Tag aggregation data","Reconstruir dados de agregação de Etiquetas"
"Save and Continue Edit","Guardar e Continuar Edição"
"Save Tag","Guardar Etiqueta"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Resultados da pesquisa para '%s' (<a href='%s'>RSS</a>)"
"Search Terms","Termos de pesquisa "
"SKU","SKU"
"Status","Estado"
"Store View","Vista da Loja"
"Tag","Etiqueta"
"Tag "%s" has already been added to the product","A Etiqueta "%s" já tinha sido adicionada ao produto"
"Tag "%s" has already been added to the product.","A Etiqueta "%s" já foi adicionada ao produto."
"Tag "%s" has been added to the product.","A Etiqueta "%s" foi adicionada ao produto"
"Tag "%s" has been rejected by administrator.","A Etiqueta "%s" foi rejeitada pelo administrador."
"Tag Aggregation Data","Dados de Agregação de Etiquetas"
"Tag can't be empty.","A etiqueta não pode ficar vazia"
"Tag Information","Informação de Etiqueta"
"Tag Name","Nome da etiqueta"
"Tag Name: %s","Nome da Etiqueta: %s"
"Tagged in","Etiquetado em"
"Tagged Products List","Lista de Produtos com Etiquetas"
"Tags","Etiquetas"
"Tags Aren't Available","As etiquetas não estão disponíveis"
"Tags List (All Available)","Listagem de etiquetas (Todas as disponíveis)"
"Tags List Before","Etiquetas Antes Listagem"
"Tags:","Etiquetas:"
"Telephone","Telefone"
"Thank you. Your tag has been accepted for moderation.","Obrigado. A sua etiqueta foi aceite para moderação"
"The tag has been deleted.","A etiqueta foi removida"
"There are no tags available.","Não existem etiquetas disponíveis"
"Unable to find any products tagged with '%s' in the current store","Não foi possível encontrar nenhum produto com a etiqueta '%s' na loja atual"
"Unable to remove tag. Please, try again later.","Não foi possível remover a etiqueta. Por favor tente novamente mais tarde."
"Unable to save tag(s)","Incapaz de guardar as etiqueta(s)"
"Unable to save tag(s).","Não foi possível guardar a(s) etiqueta(s)"
"Unable to save your tag. Please, try again later.","Incapaz de guardar a sua etiqueta. Por favor tente novamente mais tarde."
"Use spaces to separate tags. Use single quotes (') for phrases.","Utilize um espaço para separar as etiquetas. Utilize aspas simples (') para frases."
"Uses","Usos"
"View All","Ver todo"
"View All Tags","Ver todas as etiquetas"
"View Customers","Ver clientes"
"View Products","Ver produtos"
"Visible In","Visível em"
"XML","XML"
"You have not tagged any products yet.","Ainda não etiquetou nenhum produto"
"Your tag was successfully deleted","A sua etiqueta foi removida com sucesso"
"Your tag was successfully saved","A sua etiqueta foi guardada com sucesso"
"ZIP/Post Code","Código Postal"
