"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.","'*' - encontra tudo; 'xyz*' - encontra o que se inicia por 'xyz' e não mais compridos que %s."
"-- Please Select --","-- Por Favor Selecione --"
"Add New Class","Adicionar nova classe"
"Add New Tax Rate","Adicionar Nova Taxa de Imposto"
"Add New Tax Rule","Adicionar Nova Regra de Imposto"
"After Discount","Depois do Desconto"
"An error occurred while deleting this rate.","Ocorreu um erro ao remover a taxa."
"An error occurred while deleting this rate. Incorrect rate ID.","Ocorreu um erro ao remover esta taxa. ID incorreto."
"An error occurred while deleting this tax class.","Ocorreu um erro ao remover a classe de imposto."
"An error occurred while deleting this tax rule.","Ocorreu um erro ao remover a regra de imposto"
"An error occurred while saving this rate.","Ocorreu um erro ao guardar a taxa."
"An error occurred while saving this tax class.","Ocorreu um erro ao guardar a classe de imposto"
"An error occurred while saving this tax class. A class with the same name already exists.","Ocorreu um erro ao guardar a classe de imposto. Já existe uma com o mesmo nome."
"An error occurred while saving this tax rule.","Ocorreu um erro ao guardar a regra de imposto"
"Apply Customer Tax","Aplicar Imposto Cliente"
"Apply discount on price including tax is calculated based on store tax, if "Apply Tax after Discount" is selected.","Aplicar desconto ao preço incluído imposto é calculado tendo por base o imposto da loja, se "Aplicar Imposto Depois do Desconto" estiver seleccionado."
"Apply Discount On Prices","Aplicar Desconto aos Preços"
"Apply Discount On Prices Including Tax","Aplicar Desconto nos Preços incluíndo Imposto"
"Apply Tax After Discount","Aplicar Imposto após o Desconto"
"Apply Tax On","Aplicar Imposto em"
"Are you sure you want to do this?","Tem a certeza que é o que deseja fazer?"
"Back","Voltar"
"Before Discount","Antes do Desconto"
"Calculation","Cálculo"
"Calculation Settings","Definições de Cálculo"
"Catalog Prices","Preços Catálogo"
"Catalog prices include tax","Preços no catálogo incluem imposto"
"Class Name","Nome da classe"
"Code","Código"
"Country","País"
"Country/Region/Postal code combination","Combinação País/Região/Código postal"
"County","Condado"
"CSV","CSV"
"Custom price if available","Preço personalizado, se disponível"
"Customer Tax Class","Classe de imposto do cliente"
"Customer Tax Class Information","Informação da Classe de Imposto do Clientes"
"Customer Tax Classes","Classes de Imposto de Clientes"
"Default Country","País por omissão"
"Default Post Code","Código-postal por omissão"
"Default State","Região por omissão"
"Default Tax Destination Calculation","Cálculo por Omissão do Imposto de Destino"
"Default Tax Origin Calculation","Cálculo por omissão de origem"
"Delete Class","Remover Classe"
"Delete Rate","Remover Taxa"
"Delete Rule","Remover Regra"
"Display","Listar"
"Display Cart/Order Prices","Apresentar Preços de Carrinho/Encomendas"
"Display full tax summary","Apresentar o sumário completo do imposto"
"Display Prices","Mostrar Preços"
"Display Product Prices","Listar Preço Produtos"
"Display Product Prices In Catalog","Mostrar Preços de Produtos no Catálogo"
"Display Shipping Amount","Mostrar Montante Envio"
"Display Shipping Prices","Listar Preço Envio"
"Display Subtotal","Mostrar Sub-Total"
"Display Zero Tax Subtotal","Mostrar valor zero de imposto no subtotal"
"Edit Class","Editar Classe"
"Edit Class '%s'","Editar Classe '%s'"
"Edit Rule","Editar Regra"
"Edit Tax Rate","Editar Taxa de Imposto"
"Error while deleting this class. Please try again later.","Erro ao remover a classe. Por favor tente novamente mais tarde"
"Error while deleting this rate. Incorrect rate ID","Erro ao remover a taxa. Id incorreta"
"Error while deleting this rate. Please try again later.","Erro ao remover a taxa. Por favor tente novamente mais tarde"
"Error while deleting this tax rule. Please try again later.","Erro ao remover regra de imposto. Por favor tente novamente mais tarde."
"Error while saving this rate. Please try again later.","Erro ao guardar a taxa. Por favor tente novamente mais tarde"
"Error while saving this tax class. Class with the same name ","Erro ao guardar esta classe de Imposto. Já existe uma com o mesmo nome"
"Error while saving this tax class. Please try again later.","Erro enquanto guardava a Classe de Imposto. Por favor tente novamente mais tarde."
"Error while saving this tax rule. Please try again later.","Erro ao guardar taxa de imposto. Por favor tente novamente mais tarde"
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination","Erro ao guardar a regra de imposto. A classe de imposto do produto, classe de imposto do cliente e combinação da taxa de impposto"
"Excel XML","Excel XML"
"Excl. Tax","Excl. Imp."
"Excl. Tax:","Exc. Imposto"
"Excluding tax","Excluindo Imposto"
"Export Tax Rates","Exportar Taxas de Imposto"
"Grand Total (Excl. Tax)","Total (Exc. Imposto)"
"Grand Total (Excl.Tax)","Total (Exc. Imposto)"
"Grand Total (Incl. Tax)","Total (inc. Imposto)"
"Grand Total (Incl.Tax)","Total (Inc. Imposto)"
"Grand Total Excl. Tax","Total Exc. Imposto"
"Grand Total Incl. Tax","Total Inc. Imposto"
"Ignored when 'Apply Tax After Discount' option is enabled","Ignorado quando a opção 'Aplicar imposto após desconto' está assinalada"
"Import / Export Tax Rates","Importar / Exportar Taxas de Impostos"
"Import Tax Rates","Importar Taxas de Imposto"
"Inc. Tax","Incl. Imposto"
"Incl. Tax","Incl. Imp."
"Incl. Tax:","Inc. Imposto"
"Include Tax In Grand Total","Incluir Imposto no Total FInal"
"Including and excluding tax","Incluindo e Excluindo Imposto"
"Including tax","Incluindo Imposto"
"Incorrect rate Data","Dados de taxa incorretos"
"Invalid data for tax rate calculation","Dados inválidos para cálculo do imposto"
"Invalid file format upload attempt","Tentativa de carregar um formato de ficheiro inválido"
"Invalid file upload attempt","Tentativa inválida de carregamento de ficheiro"
"Manage Customer Tax Classes","Gerir Classes de Imposto do Cliente"
"Manage Product Tax Classes","Gerir Classes de Imposto do Produto"
"Manage Tax Rates","Gerir Taxas de Imposto"
"Manage Tax Rules","Gerir Regras de Imposto"
"Manage Tax Zones & Rates","Gerir Zonas de Imposto e Taxas"
"Name","Nome"
"New Class","Nova Classe"
"New Rule","Nova regra"
"New Tax Rate","Nova Taxa de Imposto"
"No","Não"
"None","Nenhum"
"One of the country has invalid code.","Um dos países tem um código inválido"
"Orders, Invoices, Creditmemos Display Settings","Opções de Visualização das Notas de Crédito, Faturas e Encomendas."
"Original price only","Apenas no preço original"
"Please select Country","Por favor selecione o País"
