" was not delivered nor scanned","was not delivered nor scanned"
"1 Day Freight","1 Day Freight"
"2 Day","2 Dia"
"2 Day Freight","2 Day Freight"
"2Day","2Day"
"2nd Day Air","2nd Day Air"
"2nd Day Air AM","2nd Day Air AM"
"2nd Day Air AM Letter","2nd Day Air AM Letter"
"2nd Day Air Letter","2nd Day Air Letter"
"3 Day Freight","3 Day Freight"
"3 Day Select","3 Day Select"
"Access ID","Access ID"
"Access license number","Access license number"
"Account ID","Account ID"
"Account number","Número da Conta"
"Additional Protection Configuration Value","Additional Protection Configuration Value"
"Additional Protection Enabled","Additional Protection Enabled"
"Additional Protection Min Subtotal","Additional Protection Min Subtotal"
"Additional Protection Value","Additional Protection Value"
"Additional Protection Value Rounding Method","Additional Protection Value Rounding Method"
"Adult","Adulto"
"Adult Required","Adulto Obrigatório"
"Adult Signature Required","Assinatura Adulto Necessária"
"All Services","All Services"
"Allowed methods","Allowed methods"
"Bound Printed Matter","Bound Printed Matter"
"Business Service Center","Business Service Center"
"Calculate Handling Fee","Calcular taxa manuseamento"
"Canada Standard","Canada Standard"
"Cannot retrieve shipping rates","Cannot retrieve shipping rates"
"Commercial","Commercial"
"Configuration","Configuration"
"Container","Container"
"Customer Packaging","Customer Packaging"
"Customer Supplied Package","Embalagem fornecida pelo cliente"
"Debug","Debug"
"Default Package Height","Default Package Height"
"Default Package Length","Default Package Length"
"Default Package Width","Default Package Width"
"Delivered","Delivered"
"Delivery Confirmation","Confirmação Entrega"
"Destination type","Destination type"
"Development","Development"
"DHL","DHL"
"Direct","Direto"
"Displayed Error Message","Displayed Error Message"
"Documents","Documentos"
"Domestic Shipment Days","Domestic Shipment Days"
"Drop Box","Drop Box"
"Dropoff","Dropoff"
"Empty response","Empty response"
"Enable Negotiated Rates","Enable Negotiated Rates"
"Enabled","Ativo"
"Enabled for Checkout","Ativar para FInalização Encomenda"
"Enables/Disables SSL verification of Magento server by UPS.","Enables/Disables SSL verification of Magento server by UPS."
"Error #%s : %s (%s)","Error #%s : %s (%s)"
"Error #%s: %s","Error #%s: %s"
"Europe First Priority","Europe First Priority"
"Express","Express"
"Express 10:30 AM","Express 10:30 AM"
"Express Mail","Express Mail"
"Express Saturday","Express Saturday"
"Express Saver","Express Saver"
"Failed to parse xml document: %s","Failed to parse xml document: %s"
"FedEx","FedEx"
"FedEx 10kg Box","FedEx 10kg Box"
"FedEx 25kg Box","FedEx 25kg Box"
"FedEx Box","FedEx Box"
"FedEx Envelope","FedEx Envelope"
"FedEx Pak","FedEx Pak"
"FedEx Tube","FedEx Tube"
"First Overnight","First Overnight"
"First-Class","First-Class"
"Flat","Flat"
"Flat-Rate Box","Flat-Rate Box"
"Flat-Rate Envelope","Flat-Rate Envelope"
"Free method","Free method"
"Free shipping with minimum order amount","Free shipping with minimum order amount"
"Freight","Freight"
"Gateway URL","Gateway URL"
"Gateway XML URL","Gateway XML URL"
"Gift","Presente"
"Girth","Girth"
"Ground","Ground"
"Ground Commercial","Ground Commercial"
"Ground Residential","Ground Residential"
"Handling Applied","Handling Applied"
"Handling fee","Handling fee"
"Height","Peso"
"Home Delivery","Home Delivery"
"Indirect","Indireto"
"International Economy","International Economy"
"International Express","International Express"
"International First","International First"
"International Ground","Por Terra Internacional"
"International Priority","International Priority"
"International Shipment Days","International Shipment Days"
"Intl Economy Freight","Intl Economy Freight"
"Intl Priority Freight","Intl Priority Freight"
"Invalid DHL XML code for type %s: %s","Invalid DHL XML code for type %s: %s"
"Invalid DHL XML code for type %s: %s.","Invalid DHL XML code for type %s: %s."
"Invalid DHL XML code type: %s","Invalid DHL XML code type: %s"
"Invalid DHL XML code type: %s.","Invalid DHL XML code type: %s."
"Invalid FedEx XML code for type %s: %s","Invalid FedEx XML code for type %s: %s"
