"All Websites","Todos os Sites"
"Apply Discounts To FPT","Aplicar Descontos a FPT"
"Apply Percent Discounts To FPT","Aplicar Percentagens de Desconto ao FPT"
"Apply Tax To FPT","Aplicar Imposto Ao FPT"
"Display Prices In Emails","Mostrar Preços nos emails"
"Display Prices In Product Lists","Mostrar Preços Nas Lista de Produtos"
"Display Prices In Sales Modules","Mostrar Preços Nos Módulos De Venda"
"Display Prices On Product View Page","Mostrar Preços Na Página Do Produto"
"Enable FPT","Ativar FPT"
"Excluding FPT","Excluindo FPT"
"Excluding FPT, FPT description, final price","Excluindo FPT, Descrição FPT, preço final"
"Fixed Product Tax","Imposto do Produto Fixo"
"Fixed Product Taxes","Impostos do Produtos Fixos"
"Include FPT In Subtotal","Incluir FPT No Subtotal"
"Including FPT and FPT description","Incluíndo descrição FPT e FTP"
"Including FPT and FPT description [excl. FPT VAT]","Incluir FPT e Descrição FPT [excl. FPT VAT]"
"Including FPT and FPT description [incl. FPT VAT]","Incluir FPT e Descrição FPT [incl. FPT VAT]"
"Including FPT only","Incluindo apenas FPT"
"Total","Total"
"Total incl. tax","Total incl. imposto"
