"%1$s has been added to your wishlist. Click <a href="%2$s">here</a> to continue shopping","%1$s foi adicionado à sua lista de presentes. Clique <a href="%2$s">aqui</a> para continuar as suas compras"
"%1$s has been updated in your wishlist.","%1$s foi atualizado na sua lista de presentes."
"%1$s was successfully added to your wishlist. Click <a href="%2$s">here</a> to continue shopping","%1$s foi adicionada à sua Lista de Presentes. Clique <a href="%2$s">aqui</a> para continuar as compras"
"%d product(s) have been added to shopping cart: %s.","%d produto(s) foram adicionados ao carrinho de compras: %s."
"%s for "%s".","%s por "%s"."
"%s's Wishlist","Lista de Presentes de %s"
"* Required Fields","* Campos obrigatórios"
"Add All to Cart","Adicionar Tudo ao Carrinho"
"Add to Cart","Adicionar ao Carrinho"
"Add to Compare","Adicionar para Comparar"
"Add to Wishlist","Adicionar à Lista de Presentes"
"Added From","Adicionado De"
"Added On","Adicionado em"
"An error occurred while adding item to wishlist.","Ocorreu um erro ao adicionar o item à lista de presentes."
"An error occurred while adding item to wishlist: %s","Ocorreu um erro ao adicionar o item à lista de presentes: %s."
"An error occurred while deleting the item from wishlist.","Ocorreu um erro ao remover o item da lista de presentes"
"An error occurred while deleting the item from wishlist: %s","Ocorreu um erro ao remover o item da lista de presentes: %s."
"An error occurred while updating wishlist.","Ocorreu um erro ao atualizar a Lista de Presentes."
"Are you sure you want to remove this product from your wishlist?","Tema a certeza que deseja remover este produto da sua Lista de Presentes?"
"Are you sure you would like to remove this item from the wishlist?","Tem a certeza que deseja remover este item da Lista de Presentes?"
"Are You sure?","Tem a certeza?"
"Back","Voltar"
"Can't save description %s","Não foi possível guardar a descrição %s"
"Cannot add item to shopping cart","Não foi poissível adicionar o item ao carrinho de compras"
"Cannot add the item to shopping cart.","Não foi poissível adicionar o item ao carrinho de compras."
"Cannot configure product","Não foi possível configurar o produto"
"Cannot create wishlist","Não foi possível criar a Lista de Presentes"
"Cannot create wishlist.","Não foi possível criar a lista de presentes."
"Cannot load wishlist item","Não foi possível carregar item da lista de presentes."
"Cannot specify product","Não foi possível especificar o produto"
"Cannot specify product.","Não foi possível especificar o produto."
"Cannot specify wishlist item.","Não foi possível especificar item da lista de presentes"
"Cannot specify wishlist.","Não foi possível especificar a lista de presentes."
"Cannot update wishlist","Não foi possível atualizar a lista de presentes."
"Can't delete item from wishlist","Não foi possível remover o item da lista de presentes."
"Can't save description %s","Não foi possível guardar a descrição %s"
"Can't update wishlist","Não foi possível atualizar a lista de presentes"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Selecione esta caixa se deseja adicionar uma ligação a um feed rss para a sua lista de presentes"
"Click for price","Clique para preço"
"Comment","Comentar"
"Comment:","Comentário:"
"Configure Wishlist Item","Configurar Item da Lista de Presentes."
"Configured Price:","Preço Configurado:"
"Customer My Account My Wishlist","Cliente A Minha Conta A Minha Lista de Presentes"
"Customer My Account Wishlist Sharing Form","Cliente A Minha Conta Vista Partilha da Lista de Presentes"
"Customer Shared Wishlist View","Cliente Vista Partilha da Lista de Presentes"
"Date Added","Data Adição"
"Days in Wishlist","Dias na Lista de Presentes"
"Display Wishlist Summary","Mostrar Sumário Lista Presentes"
"Edit","Editar"
"Email address can't be empty.","O endereço de email não pode ficar em branco."
"Email address can't be empty.","O endereço de email não pode ficar em branco."
"Email addresses, separated by commas","Endereços de email separados por vírgulas"
"Email Sender","Remetente Email"
"Email Template","Template Email"
"Enabled","Ativo"
"General Options","Opções Gerais"
"Go to Wishlist","Ir para Lista de Presentes"
