"Points","Vernostné body"
"Reward points","Vernostné body"
"You have %d point(s) available","K dispozícii máte %d bodov"
"To get a discount you need at least %d points","Aby ste získali zľavu, potrebujete aspoň %d bodov"
"Enter quantity of credit you want to use.","Zadajte výšku kreditu, ktorý chcete použiť."
"%d points","%d bodov"
"Apply Points","Použiť body"
"Apply points","Použiť body"
"You are currently using %d point(s) of your %d point(s) available","Práve používate %d bodov z %d bodov, ktoré máte k dispozícii"
"Remove Points","Odstrániť body"
"Not enough points available.","Nedostatočný počet bodov."
"The minimum required points is not reached","Minimálny požadovaný počet bodov nebol dosiahnutý."
"Amount of points wrongly used","Suma bodov nesprávne použitá"
"Your Points","Vaše body"
"Total Accumulated Points","Celkový počet nazbieraných bodov"
"Total Points Spent","Celkový počet minutých bodov"
"Points waiting for validation","Body čakajúce na schválenie"
"Your cart amount has not reached the minimum required points","Suma Vášho košíka nedosiahla minimálny požadovaný počet bodov"
"You don't have any recorded points.","Zatiaľ nemáte žiadne vernostné body."
"yes","Áno"
"no","Nie"
"Please enter a valid email address","Prosím, zadajte platnú emailovú adresu"
"Please enter your friend name","Prosím, zadajte meno Vášho priateľa"
"This email has been already submitted","Táto emailová adresa už bola použitá"
"There was a problem with the invitation","Vyskytol sa problém s pozvánkou"
"This email was successfully invited","Pozvánka bola úspešne odoslaná na zadanú emailovú adresu."
"Friend's name","Meno priateľa"
"Statistics","Štatistiky"
"Reward Points","Vernostné body"
"Customer full name","Plné meno zákazníka"
"Customer email","Email zákazníka"
"Accumulated points","Nazbierané body"
"Spent points","Minuté body"
"Add New","Pridať nové"
"Action Type","Typ akcie"
"Rule Title","Názov pravidla"
"Type of action","Typ akcie"
"Check Order Points","Skontrolovať body objednávky"
"Refresh customer points","Obnoviť body zákazníka"
"Defaults","Prednastavené"
"Points gathered per Money spent","Minuté body voči minutým peniazom"
"Points gathered for 1 unit of money spent. (e.g. if set to 2, you will obtain 100 points for $50 spent).","Body získané za jednotku vynaložených peňazí. (Napr. ak je nastavená na 2, získate 100 bodov za 50 minutých eur)."
"Points to obtain 1 €","Počet bodov za 1 €"
"Amount of points required to obtain a discount.","Požadovaný počet bodov na získanie zľavy."
"Apply points by step","Použiť body po krokoch"
"Apply credit points step by step. e.g. 250, 500, 750, etc.","Použiť body v intervaloch, napr. 250, 500, 750 atď."
"Step value","Krok intervalu"
"The step value","Krok intervalu"
"Use max amount of points","Použiť maximum bodov"
"Apply the maximum amount of point to the order","Použiť maximum bodov na objednávku"
"Round up points","Zaokrúhliť body"
"If yes, the points will be rounded. Otherwise, it will be floored.","Ak áno, body budú zaokrúhlené, ak nie, desatinná časť bude odstránená"
"Referral points","Body za odporučenie"
"Referral points (%s)","Body za odporučenie (%s)"
"Points earned when referred friend orders.","Body získané za objednávku priateľa"
"Referral child points","Body za priateľov"
"Points earned by referred friend for first order.","Body získané odporučeným priateľom za prvú objednávku"
"Select email template (Referral subscribe)","Vyberte emailovú šablónu (prihlásenie na odporučenie)"
"Select email template (Referral confirm)","Vyberte emailovú šablónu (potvrdenie odporučenia)"
"Referrals","Odporúčania"
"Catalog point rules","Pravidlá katalógových bodov"
"Cart point rules","Pravidlá košíkových bodov"
"Order details","Detaily objednávky"
"Customer ID","ID zákazníka"
"Store ID","ID obchody"
"Points are","Body sú"
"Order ID","ID objednávky"
"Points Spent","Minuté body"
"Related to Order ID","V súvislosti s ID objednávky"
"Not related to Order ID","Nesúvisiace s ID objednávky"
"Registration points","Body za registráciu"
"Points earned upon customer registration.","Body získané za registráciu zákazníka"
"This shopping cart is worth %s loyalty point(s).","Za tento nákupný košík môžete získať <b>%s vernostných bodov</b>."
"You have %d loyalty point(s) available.","Momentálne máte na Vašom účet k dispozícii %d vernostných bodov."
"To get a discount you need at least %d loyalty point(s).","Aby ste získali zľavu, potrebujete aspoň %d bodov."
"Enter quantity of loyalty point(s) you want to use.","Zadajte počet vernostných bodov, ktoré chcete použiť."
"%d loyalty point(s)","%d vernostných bodov"
"You are currently using %d point(s) of your %d loyalty point(s) available.","Momentálne používate %d bodov z celkových %d, ktoré máte k dispozícii."
"Not enough points available.","Nemáte dosť bodov."
"The minimum required points is not reached.","Minimálny požadovaný počet bodov nebol dosiahnutý."
"Amount of points wrongly used.","Body boli nesprávne použité."
"Please enter a valid email address.","Prosím, zadajte platnú emailovú adresu."
"Please enter your friend name.","Prosím, zadajte meno Vášho priateľa."
"This email has been already submitted.","Táto emailová adresa už bola použitá."
"This email was successfully invited.","El correo electrónico se ha enviado correctamente."
"There was a problem with the invitation.","Vyskytol sa problém s pozvánkou."
"Referral","Odporúčanie"
"Referred Friends","Odporučte priateľom"
"Friend's name","Meno priateľa"
"Friend's email address","Emailová adresa priateľa"
"* Required Fields","* povinné údaje"
"Refer a friend","Odporučiť priateľovi"
"Full Name","Plné meno"
"Email","Email"
"Coupon codes restriction","Obmedzenia kupónu"
"If yes, customers will not be able to use coupon codes and reward points at the same time within an order.","Ak áno, zákazník nebude môcť používať kupón kódy a vernostné body súčasne v rámci jednej objednávky."
"With this product, you earn <span id='j2t-pts'>%d</span> loyalty point(s).","Za tento produkt získate <span id='j2t-pts'>%d</span> vernostných bodov."
"Registered?","Zaregistrovaný?"
"First order?","Prvá objednávka?"
"Show referral link","Ukázať linku pre odporučenie"
"Show refer a friend link in user account.","Ukázať linku pre odporučenie na účte používateľa"
"Apply store scope","Aplikovať na obchod (nie globálne)"
"If yes, the points collected will be available only for the store where the points were earned.","Ak áno, získané body budú k dispozícii iba pre obchod, kde boli získané."
"Client points","Klientske body"
"Type of points","Typy bodov"
"Type of point","Typ bodov"
"Points added","Pridané body"
"Points used","Použité body"
"Valid until","Platné do"
"Order: %s","Objednávka: %s"
"Referral order state: %s","Stav referenčnej objednávky: %s"
"Order state: %s","Stav objednávky: %s"
"Customer email","Email zákazníka"
"Accumulated points","Nazbierané body"
"Spent points","Minuté body"
"Admin Gift","Darček od administrátora"
"Store input %s","Body od administrátora %s"
"Parent email","Rodičovský email"
"Referred email","Odporučený email"
