"Invoice #%s comment added"," #%s numaralı fatura için not eklendi"
"Invalid input data for %s => %s rate"," %s  için hatalı giriş verisi => %s "
"to"," -> "
"items selected"," kayıt seçildi "
" The customer doesn't exist in the system anymore"," Müşteri sistemde bulunamadı."
"of %s pages"," sayfa gösteriliyor / Toplam %s sayfa var"
"Only attributes with scope ""Global"", input type ""Dropdown"" and Use To Create Configurable Product ""Yes"" are available.","""Global"" havuzundaki özelliklerle beraber, ""Açılır Menü"" girişini ve Ayarlanabilir Ürün Eklemede Kullan özelliğine ""Evet"" cevabını veriniz."
"Shipment #%s comment added","#%s için Kargo Notu eklendi"
"Shipment #%s created","#%s Kargo Oluşturuldu"
"Invoice #%s created","#%s numaralı fatura oluşturuldu"
"Upgrading $pkg, please wait...","$pkg adlı paket güncelleniyor, lütfen bekleyiniz..."
"Downloading and installing $pkg, please wait...","$pkg adlı paket indirilip yükleniyor, lütfen bekleyiniz..."
"Uninstalling $pkg, please wait...","$pkg adlı paket kaldırılıyor, lütfen bekleyiniz..."
"Installing $pkg, please wait...","$pkg kuruluyor, lütfen bekleyiniz..."
"Preparing to change $pkg, please wait...","$pkg paketi değişiklik için hazırlanıyor, lütfen bekleyiniz..."
"Total of %d record(s) were successfully updated","%d kaydın toplamı silindi"
"Total of %d record(s) were successfully deleted","%d kaydın toplamı silindi"
"Package %s data was successfully loaded","%s adlı paketin verisi yüklendi"
"Shopping Cart from %s","%s Alışveriş Sepeti"
"Size for %s","%s Boyutu"
"Watermark File for %s","%s için Kopya Koruması Dosyası"
"Position of Watermark for %s","%s için Kopya Koruması yeri"
"Logged in as %s","%s olarak giriş yapıldı"
"File %s.ser could not be read","%s.ser dosyası okunamadı"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","('Hayır' seçtiğinizde, sadece eşleştirilmiş alanların verisi alınacak. Eşleştirme yaparken, 'column1', 'column2', şeklinde alan (kolon) adları kullanın.)"
"(Starting with)","(.. ile başlayan)"
"(For US 2-letter state names)","(A.B.D. için 2 harfli eyalet kodları)"
