"Action","İşlem"
"Download","İndir"
"DB","DB"
"File compressed with Zlib, but this extension is not installed on server","Dosya Zlib kullanılarak sıkıştırılmış, ancak bu eklenti sunucuda kurulu değil"
"Time","Saat"
"All types","Tüm tipler"
"Type","Tip"
"Backup file doesn't exist","Yedek dosyası bulunamadı"
"Cannot read backup file","Yedek dosyası okunamadı"
"Backups Control","Yedek Kontrolü"
"Backups Control","Yedek Kontrolü"
"Create Backup","Yedek Oluştur"
"Backups","Yedekler"
"Wrong order of creation for new backup","Yeni yedek oluşturmak için yanlış sıralama"
"---------------version 1.2 - siteden cekilen dosyalarla eklendi--------------------","////////////////////////////////////////////////////////////////////////"
"Backup file ""%s"" can\'t read or write","""%s"" adlı yedek dosyası okunamıyor ve yazılamıyor"
"Backup file ""%s"" doesn\'t exist","""%s"" adlı yedek dosyası yok"
"Backup file handler don\'t specify","Yedek dosyası tutamacı belirtilmedi"
"Backup file path don\'t specify","Yedek dosyası yolu belirtilmedi"
"Database was successfuly backed up.","Veritabanı yedeklendi."
"Error write to Backup file ""%s"""," ""%s"" adlı yedek dosyasına yazılamıyor"
"Size, byte","Boyut, bayt"
"Unable to create backup. Please, try again later.","Yedek oluşturulamadı. Lütfen daha sonra tekrar deneyiniz."
"--------------- v 1.3 2009-04-01 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Backup file ""%s"" can't read or write","""%s"" adlı yedek dosyası okunamıyor ve yazılamıyor"
"Backup file ""%s"" doesn't exist","""%s"" adlı yedek dosyası yok"
"Backup file handler don't specify","Yedek dosyası tutamacı belirtilmedi"
"Backup file path don't specify","Yedek dosyası yolu belirtilmedi"
"--------------- v 1.3 2009-04-01 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.4.2.0 2010-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"An error occurred while writing to the backup file ""%s"".","Yedek dosyası kaydedilirken bir sorun oluştu : ""%s""."
"Backup file ""%s"" cannot be read from or written to."," ""%s"" yedek dosyasına erişilemiyor."
"Backup file ""%s"" does not exist."," ""%s"" adlı yedek dosyası bulunamıyor."
"Backup file does not exist.","Yedek dosyası yok."
"Backup file handler was unspecified.","Yedek dosyası tutamacı belirtilmedi."
"Backup file path was not specified.","Yedek dosyası yolu belirtilmedi."
"Cannot read backup file.","Yedek dosyası okunamıyor."
"Size, Bytes","Boyut, Bayt"
"The file was compressed with Zlib, but this extension is not installed on server.","Dosya Zlib ile sıkıştırılmış, ancak sunucuda bu PHP eklentisi kurulu değil."
"Wrong order of creation for new backup.","Yeni yedek oluşturmak için yanlış sıralama."
"--------------- v 1.4.2.0 2010-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
