"Collected Files Count","Toparlanan Dosya Sayýsý"
"Compilation","Derleme"
"Compilation State","Derleme Durumu"
"Compilation error","Derleme hatasý"
"Compiled","Derlendi"
"Compiled Scopes Count","Derlenen Havuz Sayýsý"
"Compiler Status","Derleyici Durumu"
"Compiler include path is disabled.","Derleme klasörü devre dýþý."
"Compiler include path is enabled.","Derleme klasörü devrede."
"Directory ""%s"" must be writeable","""%s"" klasörü yazdýrýlabilir olmalýdýr"
"Disable","Ýptal Et"
"Disabled","Ýptal Edildi"
"Enable","Çalýþtýr"
"Enabled","Çalýþýyor"
"File ""%s"" must be writeable","""%s"" dosyasý yazdýrýlabilir olmalýdýr"
"Not Compiled","Derlenmedi"
"Run Compilation Process","Derleme Ýþlemini Baþlat"
"Scopes Compilation Settings","Havuz Derleme Ayarlarý"
"System","Sistem"
"The compilation has completed.","Derleme iþlemi tamamlandý."
"Tools","Araçlar"
