"Action","Ýþlem"
"Add Author","Yazar Ekle"
"Add Contents Path","Ýçerik Dizini Ekle"
"Add PHP Extension dependency","PHP Eklenti Baðýmlýlýðý Ekle"
"Add Package dependency","Paket Baðýmlýlýðý Ekle"
"Add files","Dosyalarý Ekle"
"Authors","Yazarlar"
"Channel","Kanal"
"Contents","Ýçerik"
"Create Extension Package","Eklenti Paketi Oluþtur"
"Dependencies","Baðýmlýlýklar"
"Description","Açýklama"
"Edit Extension","Eklentiyi Düzelt"
"Email","Email"
"Extension","Eklenti"
"Extensions","Eklentiler"
"Failed to create the package.","Paket oluþturulamadý."
"Failed to load the package data.","Paket verisi okunamadý."
"Failed to save the package.","Paket kaydedilemedi."
"Files","Dosyalar"
"Folder","Dizin"
"Ignore","Gözardý Et"
"Include","Dahil Et"
"License","Lisans"
"License URI","Lisans Adresi"
"Load Local Package","Yerel Paket Yükle"
"Load local Package","Yerel Paket Yükle"
"Magento Connect","Magento Connect"
"Magento Connect Manager","Magento Connect Yöneticisi"
"Max","EnFaz."
"Maximum","En Fazla"
"Min","En Az"
"Minimum","En Az"
"Name","Adý"
"New Extension","Yeni Eklenti"
"PHP Version","PHP Versiyonu"
"Package","Paket"
"Package Extensions","Paket Eklentileri"
"Package File Name","Paket Dosyasý Adý"
"Package Info","Paket Bilgisi"
"Packages","Paketler"
"Path","Dosya Yoly"
"Release Info","Versiyon Bilgisi"
"Remove","Kaldýr"
"Save As...","Farklý Adla Kaydet"
"Save Data and Create Package","Veriyi Kaydet ve Paketi Oluþtur"
"Save package with custom package file name","Paketi farklý paket dosyasý adýyla kaydet"
"Summary","Özel"
"System","Sistem"
"Target","Hedef"
"The package %s data has been loaded.","%s paket verisi yüklendi."
"The package data has been saved.","Paket verisi kaydedildi."
"There was a problem saving package data","Paket verisi kaydedilirken hata oluþtu"
"Type","Tip"
"User","Kullanýcý"
"--------------- v 1.5.0.0-rc2 2011-02-05 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"1.5.0.0 & later","1.5.0.0 ve sonrasý"
"Pre-1.5.0.0","1.5.0.0 öncesi"
"Supported releases","Desteklenen sürümler"
"--------------- v 1.5.0.0-rc2 2011-02-05 SONU --------------------","////////////////////////////////////////////////////////////////////////"
