"%s Index process is working now. Please try run this process later.","%s Ýndeksleme iþlemi sürüyor. Lütfen bu iþlemi çalýþtýrmayý bir süre sonra tekrar deneyin."
"%s index was rebuilt.","%s indeksi yeniden oluþturuldu."
"'%s' Index Process Information","'%s' Ýndeks Ýþleme Bilgisi"
"Action","Ýþlem"
"Cannot initialize the indexer process.","Ýndek iþleticisi baþlatýlamadý."
"Change Index Mode","Ýndeksleme Modunu Deðiþtir"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","<a href=""%s"">Buraya týklayarak</a> Önbellek Yönetimi bölümüne gidip önbellek tiplerini tazeleyiniz."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","<a href=""%s"">Buraya týklayarak</a> Ýndeks Yönetimi bölümüne gidip gereken indeksleri yenileyiniz."
"Description","Açýklama"
"Disable","Kapat"
"Enable","Aç"
"General","Genel"
"Index","Ýndeks"
"Index Description","Ýndeks Açýklamasý"
"Index Management","Ýndeks Yönetimi"
"Index Mode","Ýndeks Modu"
"Index Name","Ýndeks Adý"
"Index mode","Ýndeks modu"
"Indexer code is not defined.","Ýndeksleyici kodu belirlenmedi."
"Indexer model is not defined.","Ýndeksleyici modeli belirlenmedi."
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","Ýndeksleyici modeli Mage_Index_Model_Indexer_Abstract modelini extend etmeli."
"Last Run","Son Çalýþma"
"Manual Update","Elle Güncelleme"
"Mode","Mod"
"Never","Asla"
"One or more of the Indexes are not up to date:","Bir veya daha fazla indeks güncel deðil:"
"Pending Events","Bekleyen Olaylar"
"Please select Index(es)","Lütfen Ýndeks(leri) seçiniz"
"Please select Indexes","Lütfen Ýndeksleri Seçiniz"
"Process Information","Ýþlem Bilgisi"
"Processing","Ýþlem devam ediyor"
"Ready","Hazýr"
"Refresh","Tazele"
"Reindex Data","Veriyi Yeniden Ýndeksle"
"Reindex Required","Yeniden Ýndeksleme Gerekiyor"
"Status","Durum"
"System","Sistem"
"The index has been saved.","Ýndeks kaydedildi."
"There was a problem with reindexing process.","Yeniden indeksleme iþleminde sorun oluþtu."
"There was a problem with saving process.","Ýþlem kaydedilirken sorun oluþtu."
"Total of %d index(es) have changed index mode.","Toplam %d indeksin indeks modu deðiþtirildi."
"Total of %d index(es) have reindexed data.","Toplam %d indeksin verisi yeniden oluþturuldu."
"Update on Save","Kaydedilince Güncelle"
