"An error occurred while clearing the external full page cache.","Dýþ Tam Sayfa Önbellek temizlenirken sorun oluþtu."
"Cookie Lifetime (seconds)","Çerez Ömrü (saniye)"
"Enable External Cache","Dýþ Önbelleði Aç"
"External Cache Control","Dýþ Önbellek Kontrolü"
"External Full Page Cache Settings","Dýþ Tam Sayfa Önbellek Ayarlarý"
"External full page cache.","Dýþ tam sayfa önbellek."
"Failed to load external cache control","Dýþ Tam Sayfa Önbellek yüklenirken sorun oluþtu"
"Flush External Page Cache","Dýþ Tam Sayfa Önbelleðini Tazele"
"If empty, default value will be used.","Eðer boþ býrakýrsanýz, varsayýlan deðer kullanýlacaktýr."
"The external full page cache has been cleaned.","Dýþ Tam Sayfa Önbelleði temizlendi."
"Zend Full Page Cache","Zend Tam Sayfa Önbellek"
