"Enabled","Açık"
"Qty","Adet"
"Edit Shopping Cart","Alışveriş Sepetini Düzenle"
"Amex","Amex"
"API Password","API Şifresi"
"API Signature","API İmzası"
"API User Name","API Kullanıcı Adı"
"Subtotal","Ara Toplam"
"Business Name","İş Adı"
"Business Account","İş Hesabı"
"Error in refunding the payment","Ücret iadesi yapılırken hata oluştu"
"Product Name","Ürün Adı"
"Sorry, no quotes are available for this order at this time.","Üzgünüz, bu sipariş için şu an bir fiyat yok."
"Your billing address will be ignored and you will be redirected to PayPal UK website","Ödeme adresiniz gözardı edilerek PayPal UK sitesine yönlendirileceksiniz"
"Start Date","Başlangıç Tarihi"
"Title","Başlık"
"Unknown PayPal API error: %s","Bilinmeyen PayPal API hatası: %s"
"You will be redirected to paypal in a few seconds.","Birkaç saniye içinde paypal sistemine yönlendirileceksiniz."
"What is this?","Bu nedir ?"
"Invoice ","Fatura "
"Billing Information","Fatura Bilgisi"
"Error in creating an invoice","Fatura oluşturmada hata"
"Price","Fiyat"
"Transaction Type","Hareket Tipi"
"Debug Flag","Hata Ayıklama İşareti"
"Invalid transaction id","Hatalı işlem no"
"Received IPN verification","IPN onayı alındı"
"Card Verification Number","Kart Güvenlik Numarası"
"Name on Card","Kartınızdaki İsim"
"Name on the Card: %s","Kartınızdaki İsim: %s"
"Discover","Keşfet"
"Authorization","Kimlik Onayı"
"Authorize and Capture","Kimlik Onayla ve Veri Al"
"Issue Number","Konu No"
"Credit Card Type: %s","Kredi Kartı ipi: %s"
"Credit Card Number","Kredi Kartı Numarası"
"Credit Card Number: xxxx-%s","Kredi Kartı Numarası: xxxx-%s"
"Credit Card Type","Kredi Kartı Tipi"
"Credit Card Types","Kredi Kartı Tipleri"
"Please select a shipping method...","Lütfen bir teslimat yöntemi seçiniz..."
"Please select a valid shipping method","Lütfen geçerli bir teslimat yöntemi seçiniz"
"MasterCard","MasterCard"
"Paypal Checkout","Paypal Checkout"
"PayPal Direct (Website Payments Pro)","PayPal Direkt (Website Payments Pro)"
"Paypal Express (Website Payments Pro)","Paypal Ekspres (Website Payments Pro)"
"PayPal Email","PayPal Email Adresi"
"PayPal Accounts","PayPal Hesapları"
"There was an error during communication with Paypal: %s - %s","PayPal ile iletişim sırasında hata oluştu : %s - %s"
"Problem during communication with PayPal","PayPal ile iletişimde hata oluştu"
"Paypal IPN Invalid.","Paypal IPN Hatalı."
"Paypal Logo Image URL(150x150)","Paypal Logo Adresi (150x150)"
"PayPal Standard (Website Payments Standard)","PayPal Standart (Website Payments Standard)"
"There was an error connecting to the Paypal server: %s","PayPal sunucusu ile iletişim sırasında hata oluştu : %s"
"PayPal Uk Account","PayPal Uk Hesabı"
"Switch/Solo Only","Sadece Switch/Solo"
"Sandbox Flag","Sandbox İşareti"
"Sale","Satış"
"Sort order","Sıralama"
"Payment from Specific countries","Seçili ülkelerden tahsilat"
"Selected currency code (","Seçili Para Birimi ("
"Items in Your Shopping Cart","Sepetinizdeki Ürünler"
"Order","Sipariş"
"Submitting order information...","Sipariş bilgisi gönderiliyor..."
"Place an Order","Sipariş Ekle"
"Order total amount does not match paypal gross total amount","Sipariş toplamı ile paypal sipariş toplamı eşit değil"
"Review Order","Siparişi Yorumla"
"Expiration Date","Son Kullanım Tarihi"
"Expiration Date: %s/%s","Son Kullanım Tarihi: %s/%s"
"Switch/Solo card start Date: %s/%s","Switch/Solo kart başlama tarihi : %s/%s"
"Switch/Solo card issue number: %s","Switch/Solo kart numarası : %s"
"Payment Action","Tahsilat İşlemi"
"Payment Method","Tahsilat Yöntemi"
"Change Payment Method","Tahsilat Yöntemini Değiştir"
"There has been an error processing your payment. Please try later or contact us for help.","Tahsilatınız yapılırken bir hata oluştu. Lütfen kısa bir süre sonra tekrar deneyin veya bizimle bağlantı kurun."
"Payment from applicable countries","Tüm ülkelerden tahsilat"
"Shipping Address","Teslimat Adresi"
